# FEAT_ID     Score                   Feature Expression
0             0.463762708274641444    ((feature_26 * feature_12) + (feature_19 / feature_18))
1             0.463990518090605708    ((feature_17 * feature_8) / (feature_18 + feature_3))
2             0.464004535820095099    ((feature_26 + feature_19) * (feature_8 / feature_18))
3             0.4642065419929573      ((feature_22 + feature_17) * (feature_8 + feature_6))
4             0.46555319799520839     ((feature_26 + feature_8) * (feature_8 / feature_18))
5             0.466603984885281209    ((feature_26 * feature_4) + (feature_8 / feature_18))
6             0.467818194599873616    ((feature_30 - feature_25) * (feature_17 * feature_8))
7             0.468237674242695023    ((feature_26 * feature_12) + (feature_8 / feature_18))
8             0.468726100552904312    ((feature_19 * feature_17) / (feature_18 + feature_5))
9             0.470053025586702644    ((feature_19 * feature_17) / sqrt(feature_18))
10            0.470300432345667541    ((feature_17 * feature_8) / cbrt(feature_18))
11            0.473285223966479263    ((feature_17 * feature_8) / (feature_18 + feature_5))
12            0.476723121621173529    (|(feature_19 * feature_17) - (feature_18 * feature_3)|)
13            0.478876861309986079    ((feature_17 * feature_8) / sqrt(feature_18))
14            0.479532124213272071    (|(feature_18 * feature_3) - (feature_17 * feature_8)|)
#-----------------------------------------------------------------------
15            0.135150450293614804    (|(feature_29 - feature_28) - (feature_9 * feature_5)|)
16            0.136100301775395588    ((feature_28 + feature_5) + (feature_20 / feature_18))
17            0.136132823492023741    ((feature_9^2) + (feature_5 * feature_3))
18            0.136169643578010563    ((feature_25 / feature_18) + (feature_9 * feature_5))
19            0.136653903848024283    ((feature_20 / feature_18) + (feature_16 + feature_5))
20            0.138244632601732198    ((feature_30 * feature_5) * (feature_20 + feature_9))
21            0.138415606596863278    ((feature_9 + feature_3) * (|feature_5 - feature_2|))
22            0.138427672028167109    ((feature_30 * feature_5) * (|feature_12 - feature_9|))
23            0.138556992715897748    ((feature_30 * feature_5) * (|feature_9 - feature_4|))
24            0.138726618542568236    ((feature_20 / feature_18) + (feature_9 * feature_5))
25            0.138803428242082971    ((feature_9 + feature_3) * (feature_5 - feature_2))
