# c0 + a0 * (|(feature_18 * feature_3) - (feature_17 * feature_8)|)
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.54321398837701; Max AE: 2.17536336684232
# Coefficients
# Task   a0                      c0
# all ,  2.797440125633454e-02,  8.073785459021209e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         17|2|mult|16|7|mult|abd; (|(feature_18 * feature_3) - (feature_17 * feature_8)|); $\left(\left|\left(feature_{18} feature_{3}\right) - \left(feature_{17} feature_{8}\right)\right|\right)$; abs((feature_18 .* feature_3) - (feature_17 .* feature_8)); abs((newdata$feature_18 * newdata$feature_3) - (newdata$feature_17 * newdata$feature_8)); feature_18,feature_3,feature_17,feature_8
# Number of Samples Per Task
# Task, n_samples               
# all , 1690                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
1           ,  1.160000000000000e+00,  1.320933728785715e+00,  1.835804020174710e+01
2           ,  1.160000000000000e+00,  1.556619419023807e+00,  2.678308880523504e+01
3           ,  6.000000000000000e-01,  9.588034721793748e-01,  5.412981850432462e+00
4           ,  1.780000000000000e+00,  1.508361729521366e+00,  2.505802276860220e+01
5           ,  0.000000000000000e+00,  1.382398531916005e+00,  2.055522049408210e+01
6           ,  1.900000000000000e+00,  2.138593726045677e+00,  4.758690518325626e+01
7           ,  1.540000000000000e+00,  9.819840014690394e-01,  6.241615467190055e+00
9           ,  1.600000000000000e+00,  1.954375334601310e+00,  4.100165641398534e+01
11          ,  1.160000000000000e+00,  1.003347924560645e+00,  7.005310922039790e+00
12          ,  1.620000000000000e+00,  1.071191532528413e+00,  9.430514140729073e+00
13          ,  2.180000000000000e+00,  8.890870460896593e-01,  2.920831064044179e+00
14          ,  1.140000000000000e+00,  1.445450456176074e+00,  2.280913555315033e+01
15          ,  1.600000000000000e+00,  2.084396687283671e+00,  4.564952542433350e+01
16          ,  1.440000000000000e+00,  1.949042065769884e+00,  4.081100822879074e+01
17          ,  2.620000000000001e+00,  2.303272496474977e+00,  5.347367176389971e+01
18          ,  1.060000000000000e+00,  1.220040106300559e+00,  1.475139920304800e+01
19          ,  2.540000000000000e+00,  2.173896112192515e+00,  4.884885841769211e+01
20          ,  2.180000000000000e+00,  1.521233611281485e+00,  2.551815350177401e+01
21          ,  7.000000000000000e-01,  9.981984869972749e-01,  6.821234147127443e+00
23          ,  2.600000000000001e-01,  1.091474930944449e+00,  1.015558411560274e+01
24          ,  1.360000000000000e+00,  1.008814787234440e+00,  7.200734681915876e+00
25          ,  2.040000000000000e+00,  1.994798291503395e+00,  4.244665452249471e+01
26          ,  1.400000000000000e+00,  8.344093666808303e-01,  9.662698597557506e-01
27          ,  1.400000000000000e-01,  1.225178177342462e+00,  1.493506965929197e+01
28          ,  1.040000000000000e+00,  1.211348544970061e+00,  1.444070224653922e+01
29          ,  3.140000000000000e+00,  3.131423804930310e+00,  8.307756930103844e+01
30          ,  1.540000000000000e+00,  1.423632382843257e+00,  2.202920560459150e+01
31          ,  3.840000000000000e+00,  1.782542489868974e+00,  3.485915337494620e+01
32          ,  4.000000000000000e-01,  8.855410802209603e-01,  2.794073538969499e+00
33          ,  1.280000000000000e+00,  9.320996344436014e-01,  4.458400642739001e+00
34          ,  1.840000000000000e+00,  2.432063773521947e+00,  5.807756930103844e+01
35          ,  8.200000000000000e-01,  1.270786344635565e+00,  1.656542331280494e+01
36          ,  9.000000000000001e-01,  1.061278038812910e+00,  9.076136807514196e+00
37          ,  1.380000000000000e+00,  1.299172697029557e+00,  1.758014931654968e+01
38          ,  1.440000000000000e+00,  1.305035218862916e+00,  1.778971669136637e+01
39          ,  1.060000000000000e+00,  9.170617553270195e-01,  3.920842073431757e+00
40          ,  8.000000000000003e-01,  1.210737469602100e+00,  1.441885815549465e+01
41          ,  2.020000000000000e+00,  1.897531914604345e+00,  3.896967655225039e+01
42          ,  1.840000000000000e+00,  1.468712727455904e+00,  2.364069119813708e+01
43          ,  3.500000000000000e+00,  2.440742700535802e+00,  5.838781461904643e+01
44          ,  1.640000000000000e+00,  1.772135085756231e+00,  3.448712024303470e+01
46          ,  1.520000000000000e+00,  1.341851889023595e+00,  1.910580098655188e+01
47          ,  1.260000000000000e+00,  1.641573014975907e+00,  2.981992220065445e+01
48          ,  1.640000000000000e+00,  1.597540876737407e+00,  2.824590680582882e+01
49          ,  1.900000000000000e+00,  1.661704951998987e+00,  3.053957789010451e+01
50          ,  1.660000000000000e+00,  1.114690530848751e+00,  1.098547140046625e+01
51          ,  1.880000000000000e+00,  1.732272967036568e+00,  3.306217039855370e+01
52          ,  9.000000000000001e-01,  9.655738719207893e-01,  5.655003106915345e+00
53          ,  1.240000000000000e+00,  1.600076976069450e+00,  2.833656466509110e+01
54          ,  3.200000000000000e-01,  8.999149007408899e-01,  3.307894027501838e+00
55          ,  1.300000000000000e+00,  1.725958889076946e+00,  3.283646126176951e+01
56          ,  1.880000000000000e+00,  1.584808837208338e+00,  2.779077500828280e+01
57          ,  8.200000000000000e-01,  1.090726877016221e+00,  1.012884345647751e+01
