# c0 + a0 * ((feature_9 + feature_3) * (feature_5 - feature_2)) + a1 * ((feature_17 * feature_8) / cbrt(feature_18))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.499341046306375; Max AE: 2.09627248999685
# Coefficients
# Task   a0                      a1                      c0
# all , -1.112813753944716e-01,  3.182251953211634e-02,  1.026114098575472e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         8|2|add|4|1|sub|mult; ((feature_9 + feature_3) * (feature_5 - feature_2)); $\left(\left(feature_{9} + feature_{3}\right) \left(feature_{5} - feature_{2}\right)\right)$; ((feature_9 + feature_3) .* (feature_5 - feature_2)); ((newdata$feature_9 + newdata$feature_3) * (newdata$feature_5 - newdata$feature_2)); feature_9,feature_3,feature_5,feature_2
# 1;  2; Unitless;                                         16|7|mult|17|cbrt|div; ((feature_17 * feature_8) / cbrt(feature_18)); $\left(\frac{ \left(feature_{17} feature_{8}\right) }{ \left(\sqrt[3]{ feature_{18} }\right) } \right)$; ((feature_17 .* feature_8) ./ nthroot(feature_18, 3)); ((newdata$feature_17 * newdata$feature_8) / nthroot(newdata$feature_18, 3)); feature_17,feature_8,feature_18
# Number of Samples Per Task
# Task, n_samples               
# all , 1690                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
1           ,  1.160000000000000e+00,  1.419682055552482e+00,  2.878039476833630e+00,  2.243191799059815e+01
2           ,  1.160000000000000e+00,  1.676350595612818e+00,  2.673730686193363e+00,  2.978308880523504e+01
3           ,  6.000000000000000e-01,  7.046309659945738e-01,  7.836848159484730e+00,  1.730259317803230e+01
4           ,  1.780000000000000e+00,  1.624291014500778e+00,  2.995999986291644e+00,  2.927410930305127e+01
5           ,  0.000000000000000e+00,  1.238363652648445e+00,  5.686526308076604e+00,  2.655522049408210e+01
6           ,  1.900000000000000e+00,  2.266428684547442e+00,  1.016876156837908e+00,  4.253195482981057e+01
7           ,  1.540000000000000e+00,  1.274469657179861e+00,  1.454581807029311e+00,  1.289097873914023e+01
9           ,  1.600000000000000e+00,  2.189985047825637e+00,  2.696027609562534e+00,  4.600165641398534e+01
11          ,  1.160000000000000e+00,  1.160423463628790e+00,  4.981575709039671e+00,  2.164083710882533e+01
12          ,  1.620000000000000e+00,  1.322926146684283e+00,  3.926863371634161e+00,  2.305910455486901e+01
13          ,  2.180000000000000e+00,  9.812217967360043e-01,  6.604274549291823e+00,  2.168402953738526e+01
14          ,  1.140000000000000e+00,  1.364808617066413e+00,  4.322875173475922e+00,  2.576006003002489e+01
