# c0 + a0 * (|(feature_22 / feature_30) - (feature_5 / feature_8)|) + a1 * ((feature_28 + feature_5) * (feature_9 + feature_3)) + a2 * ((feature_17 * feature_8) / cbrt(feature_18))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.479592740211986; Max AE: 2.22222250867673
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.600520701910075e-01, -1.075915257279224e-01,  3.120033459120356e-02,  8.737824239445624e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         21|29|div|4|7|div|abd; (|(feature_22 / feature_30) - (feature_5 / feature_8)|); $\left(\left|\left(\frac{ feature_{22} }{ feature_{30} } \right) - \left(\frac{ feature_{5} }{ feature_{8} } \right)\right|\right)$; abs((feature_22 ./ feature_30) - (feature_5 ./ feature_8)); abs((newdata$feature_22 / newdata$feature_30) - (newdata$feature_5 / newdata$feature_8)); feature_22,feature_30,feature_5,feature_8
# 1;  2; Unitless;                                         27|4|add|8|2|add|mult; ((feature_28 + feature_5) * (feature_9 + feature_3)); $\left(\left(feature_{28} + feature_{5}\right) \left(feature_{9} + feature_{3}\right)\right)$; ((feature_28 + feature_5) .* (feature_9 + feature_3)); ((newdata$feature_28 + newdata$feature_5) * (newdata$feature_9 + newdata$feature_3)); feature_28,feature_5,feature_9,feature_3
# 2;  2; Unitless;                                         16|7|mult|17|cbrt|div; ((feature_17 * feature_8) / cbrt(feature_18)); $\left(\frac{ \left(feature_{17} feature_{8}\right) }{ \left(\sqrt[3]{ feature_{18} }\right) } \right)$; ((feature_17 .* feature_8) ./ nthroot(feature_18, 3)); ((newdata$feature_17 * newdata$feature_8) / nthroot(newdata$feature_18, 3)); feature_17,feature_8,feature_18
# Number of Samples Per Task
# Task, n_samples               
# all , 1690                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
1           ,  1.160000000000000e+00,  1.312674210484505e+00,  3.040329192274143e-01,  2.878039476833630e+00,  2.243191799059815e+01
2           ,  1.160000000000000e+00,  1.599071275999884e+00,  5.230627756683113e-01,  2.673730686193363e+00,  2.978308880523504e+01
3           ,  6.000000000000000e-01,  8.253722725517298e-01,  1.592741676067546e+00,  7.836848159484730e+00,  1.730259317803230e+01
4           ,  1.780000000000000e+00,  1.480738252569326e+00,  9.958029969266469e-02,  2.995999986291644e+00,  2.927410930305127e+01
5           ,  0.000000000000000e+00,  1.238036528233585e+00,  9.218523767441802e-01,  5.686526308076604e+00,  2.655522049408210e+01
6           ,  1.900000000000000e+00,  2.303374573407292e+00,  1.324495115197394e+00,  1.016876156837908e+00,  4.253195482981057e+01
7           ,  1.540000000000000e+00,  1.131720258506510e+00,  1.602433714655072e+00,  3.724622789485450e+00,  1.289097873914023e+01
9           ,  1.600000000000000e+00,  2.041028720755672e+00,  1.377610975997041e-01,  2.696027609562534e+00,  4.600165641398534e+01
11          ,  1.160000000000000e+00,  1.343519331487887e+00,  2.065020962144011e+00,  4.981575709039671e+00,  2.164083710882533e+01
12          ,  1.620000000000000e+00,  1.276659148053336e+00,  6.617981759068710e-01,  3.926863371634161e+00,  2.305910455486901e+01
13          ,  2.180000000000000e+00,  1.072728033034451e+00,  1.455530109946746e+00,  6.604274549291823e+00,  2.168402953738526e+01
14          ,  1.140000000000000e+00,  1.226842140638085e+00,  9.023288543317731e-02,  4.322875173475922e+00,  2.576006003002489e+01
15          ,  1.600000000000000e+00,  2.362419036832823e+00,  1.824006855385139e+00,  1.225574144568965e+00,  4.258165654809083e+01
16          ,  1.440000000000000e+00,  1.631534717581970e+00,  8.007735999097356e-01,  3.613152018451369e+00,  3.263847560970567e+01
17          ,  2.620000000000001e+00,  2.738034803306592e+00,  2.729889080351219e+00,  3.110556074962610e+00,  5.647367176389971e+01
18          ,  1.060000000000000e+00,  8.722320462701177e-01,  1.416834807840345e+00,  9.660280016875168e+00,  2.599480277417442e+01
19          ,  2.540000000000000e+00,  1.848246211031059e+00,  1.805130198658293e-01,  4.049358637765955e+00,  4.427032583832425e+01
20          ,  2.180000000000000e+00,  1.413606875533403e+00,  6.803358777528041e-01,  4.141572764326919e+00,  2.809371854632466e+01
21          ,  7.000000000000000e-01,  1.339160880532691e+00,  3.549214629867937e+00,  4.365674815521218e+00,  1.176362133830855e+01
23          ,  2.600000000000001e-01,  6.989418882412624e-01,  2.033777335261751e+00,  8.037322634318942e+00,  1.167926566329776e+01
24          ,  1.360000000000000e+00,  1.108660786193948e+00,  1.712530909782948e+00,  3.045431284319307e+00,  9.244991985865406e+00
25          ,  2.040000000000000e+00,  1.721873082615139e+00,  2.979510550499544e-01,  3.237846090763600e+00,  3.681908516441224e+01
26          ,  1.400000000000000e+00,  1.164239126336256e+00,  1.524123728485291e+00,  1.186559929906514e+00,  5.582675311942075e+00
27          ,  1.400000000000000e-01,  6.681245020578049e-01,  1.058891396753414e-01,  9.189135998973255e+00,  2.455318105993480e+01
28          ,  1.040000000000000e+00,  1.319558825169968e+00,  2.213871089239878e+00,  4.787688073371757e+00,  1.944070224653922e+01
29          ,  3.140000000000000e+00,  2.689123406195670e+00,  2.312761515580202e-01,  3.191677734220161e+00,  6.800318843578070e+01
30          ,  1.540000000000000e+00,  1.222959596468330e+00,  9.302272332259953e-02,  4.338333809015921e+00,  2.567461718619123e+01
31          ,  3.840000000000000e+00,  1.617777491323273e+00,  1.415253021568796e-01,  4.854241711908235e+00,  3.985915337494620e+01
32          ,  4.000000000000000e-01,  8.378789020901469e-01,  6.772316202633970e-01,  6.802834247467541e+00,  1.883414004952646e+01
33          ,  1.280000000000000e+00,  1.056534822006133e+00,  1.586770347649381e+00,  2.781455059622805e+00,  7.309136764044319e+00
34          ,  1.840000000000000e+00,  1.958133922178059e+00,  3.077844475798686e-02,  6.600003934519376e+00,  5.735611047140761e+01
35          ,  8.200000000000000e-01,  9.873832378773324e-01,  1.113209478626475e+00,  8.013832159823664e+00,  2.556542331280494e+01
36          ,  9.000000000000001e-01,  7.738181811389820e-01,  2.236096612476891e+00,  8.651839970764485e+00,  1.516036716356642e+01
37          ,  1.380000000000000e+00,  1.789710863249013e+00,  1.709218173539496e+00,  2.993195431134549e+00,  3.091014914086446e+01
38          ,  1.440000000000000e+00,  1.220936329301497e+00,  5.287349754176418e-01,  3.495819893612047e+00,  2.046931170291840e+01
39          ,  1.060000000000000e+00,  1.161140989739437e+00,  7.573835837125134e-01,  5.056295169641554e+00,  2.276104652177922e+01
40          ,  8.000000000000003e-01,  1.092929282821531e+00,  5.981755427378668e-01,  7.332864361801867e+00,  2.924204825109600e+01
41          ,  2.020000000000000e+00,  2.156860621174103e+00,  1.875962121923549e+00,  1.215616105322976e+00,  3.569245593285596e+01
42          ,  1.840000000000000e+00,  1.464855585502591e+00,  1.074326889450180e+00,  2.466378940329001e+00,  2.193843114252547e+01
