# c0 + a0 * ((feature_24 / feature_30) + (feature_6 + feature_2)) + a1 * (|(feature_30 / feature_22) - (feature_26 + feature_12)|) + a2 * ((feature_28 + feature_5) * (feature_9 + feature_3)) + a3 * ((feature_17 * feature_8) / cbrt(feature_18))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.46380728390625; Max AE: 2.05536593791279
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.215962322803169e+00,  8.114646125413351e-01, -1.055117142185354e-01,  2.839194337905819e-02,  5.744424997091353e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         23|29|div|5|1|add|add; ((feature_24 / feature_30) + (feature_6 + feature_2)); $\left(\left(\frac{ feature_{24} }{ feature_{30} } \right) + \left(feature_{6} + feature_{2}\right)\right)$; ((feature_24 ./ feature_30) + (feature_6 + feature_2)); ((newdata$feature_24 / newdata$feature_30) + (newdata$feature_6 + newdata$feature_2)); feature_24,feature_30,feature_6,feature_2
# 1;  2; Unitless;                                         29|21|div|25|11|add|abd; (|(feature_30 / feature_22) - (feature_26 + feature_12)|); $\left(\left|\left(\frac{ feature_{30} }{ feature_{22} } \right) - \left(feature_{26} + feature_{12}\right)\right|\right)$; abs((feature_30 ./ feature_22) - (feature_26 + feature_12)); abs((newdata$feature_30 / newdata$feature_22) - (newdata$feature_26 + newdata$feature_12)); feature_30,feature_22,feature_26,feature_12
# 2;  2; Unitless;                                         27|4|add|8|2|add|mult; ((feature_28 + feature_5) * (feature_9 + feature_3)); $\left(\left(feature_{28} + feature_{5}\right) \left(feature_{9} + feature_{3}\right)\right)$; ((feature_28 + feature_5) .* (feature_9 + feature_3)); ((newdata$feature_28 + newdata$feature_5) * (newdata$feature_9 + newdata$feature_3)); feature_28,feature_5,feature_9,feature_3
# 3;  2; Unitless;                                         16|7|mult|17|cbrt|div; ((feature_17 * feature_8) / cbrt(feature_18)); $\left(\frac{ \left(feature_{17} feature_{8}\right) }{ \left(\sqrt[3]{ feature_{18} }\right) } \right)$; ((feature_17 .* feature_8) ./ nthroot(feature_18, 3)); ((newdata$feature_17 * newdata$feature_8) / nthroot(newdata$feature_18, 3)); feature_17,feature_8,feature_18
# Number of Samples Per Task
# Task, n_samples               
# all , 1690                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
1           ,  1.160000000000000e+00,  1.313163883299698e+00,  1.487434364854123e-01,  9.352553976880962e-02,  2.878039476833630e+00,  2.243191799059815e+01
2           ,  1.160000000000000e+00,  1.493738011146812e+00,  1.415838647513853e-01,  5.183360805752057e-02,  2.673730686193363e+00,  2.978308880523504e+01
3           ,  6.000000000000000e-01,  1.032586732905137e+00,  2.103145212620080e-01,  4.038626092032441e-01,  7.836848159484730e+00,  1.730259317803230e+01
4           ,  1.780000000000000e+00,  1.530818163553328e+00,  1.839734431851372e-01,  4.148262952821258e-02,  2.995999986291644e+00,  2.927410930305127e+01
5           ,  0.000000000000000e+00,  1.122911734471210e+00,  1.297461619981257e-01,  1.318571982312274e-01,  5.686526308076604e+00,  2.655522049408210e+01
6           ,  1.900000000000000e+00,  2.089044490568128e+00,  1.021509810792220e-01,  2.316388857533383e-01,  1.016876156837908e+00,  4.253195482981057e+01
7           ,  1.540000000000000e+00,  1.707088747289099e+00,  3.940541944112237e-01,  3.529770640260265e-01,  3.724622789485450e+00,  1.289097873914023e+01
9           ,  1.600000000000000e+00,  2.047836442959929e+00,  1.922261568473286e-01,  3.181172935650223e-02,  2.696027609562534e+00,  4.600165641398534e+01
11          ,  1.160000000000000e+00,  1.277760736946072e+00,  1.977202780320214e-01,  2.173437000690246e-01,  4.981575709039671e+00,  2.164083710882533e+01
12          ,  1.620000000000000e+00,  1.562622572153975e+00,  1.848222273047812e-01,  4.168490776338384e-01,  3.926863371634161e+00,  2.305910455486901e+01
13          ,  2.180000000000000e+00,  1.009086776518948e+00,  1.286046047078270e-01,  2.844707023337660e-01,  6.604274549291823e+00,  2.168402953738526e+01
14          ,  1.140000000000000e+00,  1.331487776675704e+00,  1.998675430208409e-01,  4.791599728786655e-02,  4.322875173475922e+00,  2.576006003002489e+01
15          ,  1.600000000000000e+00,  2.036637604885706e+00,  1.093739448298357e-01,  1.727284337068393e-01,  1.225574144568965e+00,  4.258165654809083e+01
16          ,  1.440000000000000e+00,  1.596153092138278e+00,  1.840210854655453e-01,  8.439913594148751e-02,  3.613152018451369e+00,  3.263847560970567e+01
17          ,  2.620000000000001e+00,  2.593832998555851e+00,  2.633031528767735e-01,  1.980658708051075e-01,  3.110556074962610e+00,  5.647367176389971e+01
18          ,  1.060000000000000e+00,  5.891532240935512e-01,  1.283354258185558e-01,  1.423844220492521e-02,  9.660280016875168e+00,  2.599480277417442e+01
19          ,  2.540000000000000e+00,  1.900430426744355e+00,  2.196222719850708e-01,  1.188891505671430e-02,  4.049358637765955e+00,  4.427032583832425e+01
20          ,  2.180000000000000e+00,  2.092623014482494e+00,  3.941348248808683e-01,  3.501591615848077e-01,  4.141572764326919e+00,  2.809371854632466e+01
21          ,  7.000000000000000e-01,  9.350315385055897e-01,  1.234199266870633e-01,  2.633915153019697e-01,  4.365674815521218e+00,  1.176362133830855e+01
23          ,  2.600000000000001e-01,  7.724812402657191e-01,  1.572906572720573e-01,  4.509416727611357e-01,  8.037322634318942e+00,  1.167926566329776e+01
