# FEAT_ID     Score                   Feature Expression
0             0.38986120353933329     ((feature_10 - feature_9) * (feature_4 * feature_3))
1             0.389966916967207811    ((feature_15 * feature_3) + (feature_12 * feature_2))
2             0.390041875164339691    ((feature_9 - feature_5) * (feature_5 * feature_4))
3             0.390046743562668941    ((feature_27 * feature_26) * (feature_10 - feature_9))
4             0.391441552724791031    ((feature_9 - feature_5) * (feature_4 * feature_1))
5             0.391672577132744559    ((feature_10 - feature_9) * (feature_8 * feature_4))
6             0.392286271994248037    ((feature_26 * feature_20) * (feature_9 - feature_5))
7             0.392474538050101074    ((feature_9 - feature_5) * (feature_4 * feature_3))
8             0.392616615760622345    ((feature_10 * feature_4) * (feature_9 - feature_5))
9             0.394285049908921104    ((feature_26 * feature_20) * (feature_10 - feature_9))
10            0.395057329924481337    ((feature_15 * feature_1) + (feature_12 * feature_2))
11            0.395371404220955291    ((feature_20 * feature_4) * (feature_9 - feature_5))
12            0.39705615204148087     ((feature_27 * feature_4) * (feature_9 - feature_5))
13            0.397919145440859323    ((feature_20 * feature_4) * (feature_10 - feature_9))
14            0.399200356936479317    ((feature_27 * feature_4) * (feature_10 - feature_9))
#-----------------------------------------------------------------------
15            0.124857430058888066    (cbrt(feature_25) - (feature_13 + feature_3))
16            0.125307933061972271    ((feature_13 + feature_1) / (feature_25 + feature_10))
17            0.12587052231706361     ((feature_13 / feature_25) + (feature_3^3))
18            0.126180464600610054    ((feature_27 - feature_20) * (feature_13 - feature_7))
19            0.12661223234394095     ((feature_25 / feature_15) + (feature_16 - feature_13))
20            0.126771875652789745    ((feature_13 + feature_1) / (feature_25 + feature_22))
21            0.127147264485194172    ((feature_13 + feature_3) / (feature_25 + feature_16))
22            0.127183627703516905    ((feature_22 / feature_25) + (feature_13 * feature_3))
23            0.127201802865645197    ((feature_13 + feature_1) / (feature_25 + feature_20))
24            0.127634480970314823    ((feature_13 + feature_1) / (feature_25 + feature_8))
25            0.127661771123605383    ((feature_13 / feature_25) + (feature_1^3))
26            0.128454729442924243    (cbrt(feature_25) - (feature_13 + feature_1))
27            0.128995911122048057    ((feature_13 + feature_1) / sqrt(feature_25))
28            0.129281188504345529    ((feature_22 / feature_25) + (feature_13 * feature_1))
29            0.129853714341954363    ((feature_13 + feature_1) / (feature_25 + feature_16))
#-----------------------------------------------------------------------
30            0.0676060588375533567   ((1.0 / feature_16) + (feature_2 / feature_20))
31            0.0677984642697994216   (cbrt(feature_29) - (feature_29 / feature_1))
32            0.0683373797141744871   ((feature_27 + feature_2) + (feature_22 / feature_16))
