# c0 + a0 * ((feature_13 / feature_25) + (feature_1^3)) + a1 * ((feature_20 * feature_4) * (feature_10 - feature_9))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.541990588562585; Max AE: 2.218440483781
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.277929369994832e+00,  6.613472930824704e-02,  1.064331985532869e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         12|24|div|0|cb|add; ((feature_13 / feature_25) + (feature_1^3)); $\left(\left(\frac{ feature_{13} }{ feature_{25} } \right) + \left(feature_{1}^3\right)\right)$; ((feature_13 ./ feature_25) + (feature_1).^3); ((newdata$feature_13 / newdata$feature_25) + (newdata$feature_1)^3); feature_13,feature_25,feature_1
# 1;  2; Unitless;                                         19|3|mult|9|8|sub|mult; ((feature_20 * feature_4) * (feature_10 - feature_9)); $\left(\left(feature_{20} feature_{4}\right) \left(feature_{10} - feature_{9}\right)\right)$; ((feature_20 .* feature_4) .* (feature_10 - feature_9)); ((newdata$feature_20 * newdata$feature_4) * (newdata$feature_10 - newdata$feature_9)); feature_20,feature_4,feature_10,feature_9
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
0           ,  1.240000000000000e+00,  1.352233213179952e+00,  9.378590090079830e-02, -2.951903124314094e-01
1           ,  1.080000000000000e+00,  1.320263930041703e+00,  7.916196686192162e-02, -5.375982772750439e-02
2           ,  1.680000000000000e+00,  1.237386442387223e+00,  1.513657310970678e-02,  1.866460187984454e+00
3           ,  6.000000000000000e-01,  1.305187712438147e+00,  5.051847394268243e-02,  1.137976041157782e+00
4           ,  6.200000000000000e-01,  1.112261298630887e+00,  7.788059938585527e-02, -3.135384285239994e+00
6           ,  6.000000000000000e-01,  1.120207219080412e+00,  2.837843173723009e-02, -5.616906836524188e-01
8           ,  1.240000000000000e+00,  5.850257276175074e-01,  9.479899108962599e-03, -7.717287164666343e+00
9           ,  1.540000000000000e+00,  1.050633804119333e+00,  2.730670432805984e-03, -3.424694780172442e-01
12          ,  5.400000000000000e-01,  1.579131341990831e+00,  7.461070675136174e-02,  4.086063892725482e+00
13          ,  4.799999999999998e-01,  1.269373727505079e+00,  1.030772295641961e-01, -2.008598773797403e+00
15          ,  1.600000000000000e+00,  1.804634396402928e+00,  2.429551840003621e-01, -8.480797146051406e-01
16          ,  1.420000000000000e+00,  1.644070717764102e+00,  1.103602650523415e-01,  3.296083319850619e+00
17          ,  1.140000000000000e+00,  1.531268699328680e+00,  1.609886488712037e-01, -9.189227386361217e-01
18          ,  1.920000000000000e+00,  1.558464701690282e+00,  1.113871716680928e-01,  1.950766806719620e+00
19          ,  9.000000000000001e-01,  1.639018127620608e+00,  1.480420878134476e-01,  1.352007264321492e+00
21          ,  6.400000000000000e-01,  1.391053928077479e+00,  1.035908109302457e-01, -1.941705847977698e-01
22          ,  1.520000000000000e+00,  1.464824644683447e+00,  9.285455174771544e-02,  1.453426933843208e+00
23          ,  3.960000000000000e+00,  3.235552212913332e+00,  2.897947242202698e-01,  1.846675116634963e+01
24          ,  1.660000000000000e+00,  1.710284175109416e+00,  1.015298289693240e-01,  4.734949164272134e+00
25          ,  1.540000000000000e+00,  1.200932140383135e+00,  1.100313358170970e-01, -3.388156189465465e+00
26          ,  3.660000000000000e+00,  2.759579941564327e+00,  3.226132331263408e-01,  9.643111428568412e+00
27          ,  9.600000000000000e-01,  1.521874706011105e+00,  1.696245904294033e-01, -1.489001427747123e+00
28          ,  8.200000000000000e-01,  1.095850034244627e+00,  4.772811946738079e-02, -1.889043127139749e+00
