# c0 + a0 * (|(feature_22 / feature_16) - (feature_7 - feature_2)|) + a1 * ((feature_13 / feature_25) + (feature_1^3)) + a2 * ((feature_20 * feature_4) * (feature_9 - feature_5))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.519116702788858; Max AE: 2.09454554302282
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.836172156153270e-01,  2.782818809938256e+00, -6.022094447310451e-02,  8.702161927219599e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         21|15|div|6|1|sub|abd; (|(feature_22 / feature_16) - (feature_7 - feature_2)|); $\left(\left|\left(\frac{ feature_{22} }{ feature_{16} } \right) - \left(feature_{7} - feature_{2}\right)\right|\right)$; abs((feature_22 ./ feature_16) - (feature_7 - feature_2)); abs((newdata$feature_22 / newdata$feature_16) - (newdata$feature_7 - newdata$feature_2)); feature_22,feature_16,feature_7,feature_2
# 1;  2; Unitless;                                         12|24|div|0|cb|add; ((feature_13 / feature_25) + (feature_1^3)); $\left(\left(\frac{ feature_{13} }{ feature_{25} } \right) + \left(feature_{1}^3\right)\right)$; ((feature_13 ./ feature_25) + (feature_1).^3); ((newdata$feature_13 / newdata$feature_25) + (newdata$feature_1)^3); feature_13,feature_25,feature_1
# 2;  2; Unitless;                                         19|3|mult|8|4|sub|mult; ((feature_20 * feature_4) * (feature_9 - feature_5)); $\left(\left(feature_{20} feature_{4}\right) \left(feature_{9} - feature_{5}\right)\right)$; ((feature_20 .* feature_4) .* (feature_9 - feature_5)); ((newdata$feature_20 * newdata$feature_4) * (newdata$feature_9 - newdata$feature_5)); feature_20,feature_4,feature_9,feature_5
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
0           ,  1.240000000000000e+00,  1.508560803233299e+00,  2.720442030080437e+00,  9.378590090079830e-02,  2.028605670295414e+00
1           ,  1.080000000000000e+00,  1.279347762303948e+00,  1.046249660053155e+00,  7.916196686192162e-02,  5.432147036452689e-02
2           ,  1.680000000000000e+00,  1.253735172639951e+00,  1.252483614723343e+00,  1.513657310970678e-02, -1.850171673423925e+00
3           ,  6.000000000000000e-01,  1.432661666207586e+00,  1.924288219939271e+00,  5.051847394268243e-02, -1.137964034963567e+00
4           ,  6.200000000000000e-01,  1.030244453459958e+00,  7.238487478095077e-01,  7.788059938585527e-02,  3.148579442262494e+00
6           ,  6.000000000000000e-01,  9.329992360747681e-01,  9.641705892911623e-02,  2.837843173723009e-02,  5.628078814941984e-01
8           ,  1.240000000000000e+00,  5.558744722746947e-01,  7.015439214019575e-01,  9.479899108962599e-03,  7.796923605098730e+00
9           ,  1.540000000000000e+00,  1.322945347688335e+00,  2.550425254827869e+00,  2.730670432805984e-03,  3.847795846946964e-01
12          ,  5.400000000000000e-01,  1.401496336947578e+00,  4.354128864584308e-01,  7.461070675136174e-02, -4.046810728939214e+00
13          ,  4.799999999999998e-01,  1.044874615318096e+00,  1.412288161689850e+00,  1.030772295641961e-01,  6.169070476357802e+00
15          ,  1.600000000000000e+00,  1.878581441783836e+00,  2.090771190655420e+00,  2.429551840003621e-01,  8.574523683582129e-01
16          ,  1.420000000000000e+00,  1.449780105136391e+00,  4.057793498919844e-01,  1.103602650523415e-01, -3.286949720027129e+00
17          ,  1.140000000000000e+00,  1.474111821987341e+00,  1.157251147067281e+00,  1.609886488712037e-01,  9.398365450306787e-01
18          ,  1.920000000000000e+00,  1.634270319475527e+00,  1.833574328926975e+00,  1.113871716680928e-01, -1.949620657326283e+00
19          ,  9.000000000000001e-01,  1.550807648022243e+00,  1.019501323180534e+00,  1.480420878134476e-01, -1.352007264321492e+00
21          ,  6.400000000000000e-01,  1.180880523595847e+00,  1.907589741472080e-01,  1.035908109302457e-01,  2.098399172691138e-01
22          ,  1.520000000000000e+00,  1.344118853637042e+00,  6.973006223816967e-01,  9.285455174771544e-02, -1.452465911318572e+00
23          ,  3.960000000000000e+00,  3.107528688427070e+00,  1.736383947576396e+00,  2.897947242202698e-01, -1.846593922032552e+01
