# c0 + a0 * ((feature_17 * feature_4) * (feature_1^3)) + a1 * (|(1.0 / feature_16) - (feature_7 - feature_2)|) + a2 * ((feature_29 - feature_5) * sqrt(feature_29)) + a3 * ((feature_13 + feature_1) / (feature_25 + feature_10)) + a4 * ((feature_20 * feature_4) * (feature_9 - feature_5))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.474891522181283; Max AE: 1.93629537490555
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  5.869300024730299e-05,  2.039560414213433e-01,  1.155567320851987e+01,  1.970384629769658e+00, -4.713934741712289e-02,  7.975426476420342e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         16|3|mult|0|cb|mult; ((feature_17 * feature_4) * (feature_1^3)); $\left(\left(feature_{17} feature_{4}\right) \left(feature_{1}^3\right)\right)$; ((feature_17 .* feature_4) .* (feature_1).^3); ((newdata$feature_17 * newdata$feature_4) * (newdata$feature_1)^3); feature_17,feature_4,feature_1
# 1;  2; Unitless;                                         15|inv|6|1|sub|abd; (|(1.0 / feature_16) - (feature_7 - feature_2)|); $\left(\left|\left(\frac{1.0}{ feature_{16} }\right) - \left(feature_{7} - feature_{2}\right)\right|\right)$; abs((feature_16).^(-1) - (feature_7 - feature_2)); abs((newdata$feature_16)^(-1) - (newdata$feature_7 - newdata$feature_2)); feature_16,feature_7,feature_2
# 2;  2; Unitless;                                         28|4|sub|28|sqrt|mult; ((feature_29 - feature_5) * sqrt(feature_29)); $\left(\left(feature_{29} - feature_{5}\right) \left(\sqrt{ feature_{29} }\right)\right)$; ((feature_29 - feature_5) .* sqrt(feature_29)); ((newdata$feature_29 - newdata$feature_5) * sqrt(newdata$feature_29)); feature_29,feature_5,feature_29
# 3;  2; Unitless;                                         12|0|add|24|9|add|div; ((feature_13 + feature_1) / (feature_25 + feature_10)); $\left(\frac{ \left(feature_{13} + feature_{1}\right) }{ \left(feature_{25} + feature_{10}\right) } \right)$; ((feature_13 + feature_1) ./ (feature_25 + feature_10)); ((newdata$feature_13 + newdata$feature_1) / (newdata$feature_25 + newdata$feature_10)); feature_13,feature_1,feature_25,feature_10
# 4;  2; Unitless;                                         19|3|mult|8|4|sub|mult; ((feature_20 * feature_4) * (feature_9 - feature_5)); $\left(\left(feature_{20} feature_{4}\right) \left(feature_{9} - feature_{5}\right)\right)$; ((feature_20 .* feature_4) .* (feature_9 - feature_5)); ((newdata$feature_20 * newdata$feature_4) * (newdata$feature_9 - newdata$feature_5)); feature_20,feature_4,feature_9,feature_5
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
0           ,  1.240000000000000e+00,  1.615503051145687e+00,  5.979298161937808e+02,  3.193024566468826e+00, -0.000000000000000e+00,  1.153361642933678e-01,  2.028605670295414e+00
1           ,  1.080000000000000e+00,  1.224332084667641e+00,  6.521550356549831e+02,  1.492227087710362e+00, -7.972697809274301e-03,  9.077128296743274e-02,  5.432147036452689e-02
2           ,  1.680000000000000e+00,  1.384198805529638e+00,  4.869253425955316e+02,  1.586167666484254e+00, -0.000000000000000e+00,  7.478371624830618e-02, -1.850171673423925e+00
3           ,  6.000000000000000e-01,  1.457453718585278e+00,  2.411366529511550e+02,  2.351755880783824e+00, -9.885859937744097e-04,  6.287306056718206e-02, -1.137964034963567e+00
4           ,  6.200000000000000e-01,  8.976253606594210e-01,  8.228218192936197e+02,  1.079294269096420e+00, -1.646191730958261e-02,  8.643528758889976e-02,  3.148579442262494e+00
6           ,  6.000000000000000e-01,  9.043309502650005e-01,  2.359864538512049e+02,  6.310262352838996e-01, -7.840227343476829e-03,  4.129419034966889e-02,  5.628078814941984e-01
8           ,  1.240000000000000e+00,  5.908100127413186e-01,  2.715378977632319e+03,  8.911119571895539e-01, -2.664083517028153e-02,  6.472880104237495e-02,  7.796923605098730e+00
9           ,  1.540000000000000e+00,  1.404400266519703e+00,  4.759448142895203e+01,  3.278527800469286e+00, -8.689538038779187e-03,  2.737553049793624e-02,  3.847795846946964e-01
12          ,  5.400000000000000e-01,  1.590171973816713e+00,  5.163561358509768e+03,  8.435465584743622e-01, -0.000000000000000e+00,  6.432956411849620e-02, -4.046810728939214e+00
13          ,  4.799999999999998e-01,  7.592054531593954e-01,  2.647793946659342e+03,  1.956080415093367e+00, -4.102672811121052e-02,  8.739351357041222e-02,  6.169070476357802e+00
15          ,  1.600000000000000e+00,  2.043181316478254e+00,  6.040413361953693e+03,  2.483368987240935e+00, -0.000000000000000e+00,  2.157093171186721e-01,  8.574523683582129e-01
16          ,  1.420000000000000e+00,  1.478836162124499e+00,  2.103413824912790e+03,  9.266280025376716e-01, -1.286665707476082e-02,  1.840172122934028e-01, -3.286949720027129e+00
17          ,  1.140000000000000e+00,  1.513003082269827e+00,  1.461414292330694e+03,  1.531246205413647e+00, -6.550322213431029e-03,  2.219746279083349e-01,  9.398365450306787e-01
18          ,  1.920000000000000e+00,  1.772225837101662e+00,  2.881478015880060e+03,  2.670094523066211e+00, -0.000000000000000e+00,  8.580804090927632e-02, -1.949620657326283e+00
19          ,  9.000000000000001e-01,  1.521808004172201e+00,  1.200724216312657e+03,  1.570928926926340e+00, -0.000000000000000e+00,  1.368555460175352e-01, -1.352007264321492e+00
