#sample_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30
0,0.62,0.5790120042959371,0.0023021437264235,0.5823168699842874,0.4670396491206727,0.4661198668007936,1.5999999999999996,0.7199999999999998,0.0,0.0,0.0,0.0,0.6304000000000001,2.56,32.95,2506.0,8.0,8.0,0.3939999999999999,1.6,2.4,3.2,9.105,45.00000000000001,23.845,0.0002533475987691,0.4419541064159,0.054663292999999995,0.47239643,0.7896897375364617,2.3083206827367624
1,1.56,0.6099350989382021,0.0,0.6102860593593601,0.4773125184515422,0.4775771569467545,1.2599999999999998,0.79,0.0,0.0,0.0,0.0,0.6304000000000001,1.92,16.05,3695.0,6.0,6.0,0.3939999999999999,1.2,0.8,2.6,7.889999999999999,50.99999999999999,8.16,0.0005913102949988,0.4462768083303863,0.12786956,0.5972255,0.7896662055724547,2.2041455248249875
2,1.2400000000000002,0.281450765754323,0.0,0.4853692897585739,0.3454175614854666,0.3034677921663111,0.6133333333333336,0.73,0.0,0.0,0.0,0.0,0.7046399999999999,0.0,25.786875,1337.33,5.0,0.0,0.4404,0.0,4.0,2.6,9.105,66.0,16.681874999999998,0.0003718731603881,0.3498003631947012,0.21187399999999998,0.5200954000000001,0.8463824588098864,2.1676759290388765
3,1.2800000000000002,0.6051928288522372,0.0003192297407055,0.6054590672763215,0.4818241089424097,0.4815138459338572,1.93,0.03,0.0,0.0,0.0,0.0,0.6304000000000001,1.6,19.495,2180.0,6.0,5.000000000000001,0.3939999999999999,1.0,3.0,2.6,9.105,49.0,10.39,0.0002468398553512,0.4455074841443363,0.02022537,0.32273359999999995,0.7896076285541351,2.3187285761642658
4,0.5800000000000001,0.6069702688685881,0.0,0.6078095757049263,0.4782152765400511,0.4773032732027196,1.3266666666666662,0.3500000000000001,0.0,0.0,0.0,0.0,2.01768,1.6,18.8575,2896.0,6.0,5.000000000000001,1.6814,1.0,3.0,2.6,9.105,50.00000000000001,9.7525,0.0005510969144169,0.446236249304598,0.003057621,0.14259556,0.7896146760970061,2.2138362848417596
5,1.16,0.4291354791753369,0.0004753920317678,0.4302375790990065,0.3435524629483605,0.3431231429174544,0.0,0.0,0.0,0.0,0.0,0.0,0.6304000000000001,0.0,31.56,903.78,3.0,0.0,0.3939999999999999,0.0,2.0,3.2,9.105,1.0,22.455,0.0018357613891423,0.4459797056623385,0.054659065,0.30897567,0.7896853092391168,2.0437534539875544
6,1.4,0.3528580712919337,0.0,0.3530253775482295,0.2881092035443638,0.2882453093050199,1.08,0.1999999999999997,0.0,0.0,0.0,0.0,0.0,2.64,16.05,3695.0,6.0,6.0,0.0,2.2,1.8,2.4,9.105,50.00000000000001,6.945,0.0008065270679172,0.4464248260719754,0.27998796,0.60305095,0.7896573501374634,2.161862776755143
7,0.7,0.2023991017703651,0.0352253866841908,0.2332039846017778,0.180431458518885,0.1976404806681185,1.9466666666666663,0.75,0.0,0.0,0.0,0.0,2.01768,2.56,115.765,1941.0,8.0,8.0,1.6814,1.6,0.4,2.4,9.105,5.0,106.66,0.0010950877264305,0.3824636612135504,0.012619378,0.18475756,0.7847161444053061,2.1701851465777464
8,0.9200000000000002,0.0334982120589988,0.0278923094255084,0.0617703188198422,0.0502834197055263,0.0651417774227248,0.9533333333333336,0.02,0.0,0.0,0.0,0.0,0.7046399999999999,0.0,25.786875,1828.05,3.0,0.0,0.4404,0.0,4.0,3.0000000000000004,9.105,61.99999999999999,16.681874999999998,0.0014084126194128,0.2861039572499754,0.14339477,0.5796634,0.8265576441152299,2.063960079196523
9,3.2,0.6030199616512786,0.0002775069334222,0.6037381590643721,0.4845587465378613,0.4851303276091545,1.4199999999999997,1.38,0.0,0.0,0.0,0.0,0.6304000000000001,0.96,73.10666666670002,2607.0,4.0,3.0,0.3939999999999999,0.6,1.4,2.6,9.105,3.0,64.00166666669999,7.188572915381722e-05,0.4464328682230525,0.015991338,0.109986104,0.7897096530501667,2.474074746737974
