# FEAT_ID     Score                   Feature Expression
0             0.420734598085593936    ((feature_28 - feature_1) * (feature_14 * feature_5))
1             0.421066942008244849    ((feature_28 - feature_3) * (feature_26 * feature_24))
2             0.421146149419454052    ((feature_28 - feature_1) * (feature_14 * feature_4))
3             0.421399694308114303    ((feature_28 - feature_3) * (feature_14 * feature_3))
4             0.422471622161385618    ((feature_28 - feature_1) * (feature_24 / feature_21))
5             0.423560295594424541    ((feature_18 + feature_3) * (feature_14 * feature_4))
6             0.423767940181244973    ((feature_28 - feature_1) * (feature_14 * feature_3))
7             0.424451659196316278    ((feature_18 + feature_1) * (feature_14 * feature_4))
8             0.426137913950247915    ((feature_28 - feature_1) * (feature_26 * feature_14))
9             0.42663960313440219     ((feature_18 + feature_3) * (feature_14 * feature_5))
10            0.42726404880741603     ((feature_28 - feature_3) * (feature_24 / feature_21))
11            0.427609270795694052    ((feature_18 + feature_1) * (feature_14 * feature_5))
12            0.429840755408655351    ((feature_28 - feature_3) * (feature_26 * feature_14))
13            0.432725512415744751    ((feature_28 - feature_1) * (feature_14 / feature_21))
14            0.437264148987094425    ((feature_28 - feature_3) * (feature_14 / feature_21))
#-----------------------------------------------------------------------
15            0.148699248117017069    ((feature_27 - feature_21) - (feature_19 / feature_21))
16            0.149012437665947323    (|(feature_28 * feature_19) - (feature_21 + feature_19)|)
17            0.150345709491386592    ((feature_29 + feature_8) + (feature_4 / feature_16))
18            0.150575392320267704    (|(feature_28 - feature_21) - (feature_13 / feature_21)|)
19            0.15139075141887387     ((feature_29 + feature_8) + (feature_5 / feature_16))
20            0.151711736958885568    ((|feature_28 - feature_6|) * (feature_20 + feature_19))
21            0.152342836596702225    ((feature_28 - feature_21) + (exp(-1.0 * feature_19)))
22            0.153082884740807362    ((feature_28 - feature_21) - (feature_26 * feature_19))
23            0.154062285757939677    ((feature_29 + feature_8) / (feature_21 + feature_19))
24            0.155053011128613222    ((|feature_28 - feature_6|) - (feature_16 * feature_8))
25            0.155757204931138649    ((feature_29 + feature_27) / (feature_21 + feature_19))
26            0.161220362579625937    ((feature_28 - feature_21) - (feature_13 / feature_30))
27            0.162094537492084495    ((|feature_28 - feature_6|) - (feature_22 * feature_8))
28            0.176373862895354089    (|(feature_28 - feature_21) - (feature_19 / feature_21)|)
29            0.185549653306653795    (|(feature_28 - feature_21) - (feature_19 / feature_30)|)
#-----------------------------------------------------------------------
30            0.103982186379647984    ((|feature_25 - feature_8|) - cbrt(feature_25))
31            0.104118524892386141    ((feature_30 + feature_11) * (feature_29 + feature_8))
32            0.105313006447724664    ((feature_30 * feature_8) + (feature_29 + feature_11))
33            0.105334414171500718    (cbrt(feature_25) - exp(feature_8))
34            0.105463131008840819    ((feature_25 + feature_8) - cbrt(feature_25))
35            0.107257698707930976    (cbrt(feature_25) - (feature_8 / feature_29))
36            0.10734830160653891     (|(1.0 / feature_30) - (feature_29 + feature_8)|)
37            0.107382461387127065    (cbrt(feature_30) + (feature_29 + feature_8))
38            0.107405163332276676    (cbrt(feature_25) - (feature_11 + feature_8))
39            0.107506704596169511    (sqrt(feature_30) * (feature_29 + feature_8))
40            0.107535167675781682    ((feature_30 * feature_29) + cbrt(feature_8))
41            0.10937871825742769     ((feature_30 + feature_8) * (feature_29 + feature_8))
