# c0 + a0 * (|(feature_28 - feature_21) - (feature_19 / feature_30)|) + a1 * ((feature_28 - feature_3) * (feature_26 * feature_14))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.510390552755468; Max AE: 2.01017575782288
# Coefficients
# Task   a0                      a1                      c0
# all , -6.113258327551652e-01, -8.723963721212978e-02,  2.933314544090611e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         27|20|sub|18|29|div|abd; (|(feature_28 - feature_21) - (feature_19 / feature_30)|); $\left(\left|\left(feature_{28} - feature_{21}\right) - \left(\frac{ feature_{19} }{ feature_{30} } \right)\right|\right)$; abs((feature_28 - feature_21) - (feature_19 ./ feature_30)); abs((newdata$feature_28 - newdata$feature_21) - (newdata$feature_19 / newdata$feature_30)); feature_28,feature_21,feature_19,feature_30
# 1;  2; Unitless;                                         27|2|sub|25|13|mult|mult; ((feature_28 - feature_3) * (feature_26 * feature_14)); $\left(\left(feature_{28} - feature_{3}\right) \left(feature_{26} feature_{14}\right)\right)$; ((feature_28 - feature_3) .* (feature_26 .* feature_14)); ((newdata$feature_28 - newdata$feature_3) * (newdata$feature_26 * newdata$feature_14)); feature_28,feature_3,feature_26,feature_14
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
0           ,  6.200000000000000e-01,  9.817676675168145e-01,  3.420748162935427e+00, -1.600704074901740e+00
1           ,  1.560000000000000e+00,  1.384304667676513e+00,  2.547203162483745e+00, -9.354942717177191e-02
2           ,  1.240000000000000e+00,  1.634488320907545e+00,  2.079904600000000e+00,  3.132384820711658e-01
3           ,  1.280000000000000e+00,  1.491734291019341e+00,  2.708537231040622e+00, -2.455518295223066e+00
4           ,  5.800000000000001e-01,  1.496420624232924e+00,  2.909109024863409e+00, -3.914729453907213e+00
5           ,  1.160000000000000e+00,  1.314855195099194e+00,  2.891024330000000e+00, -1.706775862664569e+00
6           ,  1.400000000000000e+00,  1.056396425287587e+00,  2.814589958412373e+00,  1.791462844260010e+00
7           ,  7.000000000000000e-01,  1.315500747519725e+00,  2.952506724811416e+00, -2.145009329127064e+00
8           ,  9.200000000000002e-01,  1.120368615967947e+00,  2.420336600000001e+00,  3.820873759130119e+00
9           ,  3.200000000000000e+00,  2.668689149157317e+00,  2.732528800123689e+00, -1.611469389666749e+01
10          ,  1.900000000000000e+00,  1.438815112661328e+00,  2.252693650000000e+00,  1.345370219907800e+00
12          ,  1.640000000000000e+00,  1.005545928366258e+00,  2.692988405840691e+00,  3.226460413164710e+00
13          ,  6.200000000000000e-01,  7.867529103734675e-01,  3.286248067594975e+00,  1.577187864961249e+00
14          ,  1.920000000000000e+00,  1.737970245383657e+00,  3.117398296030689e+00, -8.143108263003720e+00
15          ,  2.520000000000000e+00,  1.836675557765602e+00,  2.109111972232587e+00, -2.209037687827194e+00
16          ,  2.620000000000001e+00,  2.088457914126953e+00,  1.763294316000001e+00, -2.671844400163133e+00
17          ,  1.120000000000000e+00,  1.471552948579471e+00,  2.775384740000000e+00, -2.692615414185581e+00
18          ,  1.240000000000000e+00,  1.482434950689189e+00,  2.130850060000000e+00,  1.699180679019572e+00
19          ,  1.260000000000000e+00,  1.440604709661495e+00,  1.960601860000000e+00,  3.371670023662047e+00
20          ,  2.180000000000000e+00,  1.466885339580740e+00,  2.145341707477129e+00,  1.775871651842282e+00
21          ,  6.799999999999999e-01,  1.083804161992727e+00,  2.919051580000000e+00,  7.452890243113267e-01
22          ,  8.800000000000001e-01,  1.357357193671731e+00,  2.311859900000000e+00,  1.864492758522049e+00
24          ,  1.320000000000001e+00,  1.512940086406710e+00,  2.396950835785757e+00, -5.151730281355084e-01
25          ,  2.260000000000000e+00,  1.801966606064179e+00,  3.007584821106101e+00, -8.107167566484465e+00
26          ,  1.960000000000000e+00,  1.594222706811558e+00,  2.350616629917743e+00, -1.122205853005761e+00
27          ,  9.800000000000000e-01,  9.836825874284717e-01,  3.261244467742920e+00, -5.049428769615754e-01
29          ,  8.400000000000000e-01,  1.223773315126901e+00,  2.110889298786291e+00,  4.804009781816730e+00
30          ,  1.200000000000000e+00,  1.246406113187411e+00,  2.339417892326109e+00,  2.943178673362336e+00
31          ,  3.840000000000000e+00,  2.787371405125474e+00,  2.080978500000000e+00, -1.290941608061123e+01
32          ,  3.000000000000000e-01,  1.381841084031440e+00,  2.664725700000000e+00, -8.888413573851794e-01
33          ,  2.600000000000001e-01,  1.137329055531009e+00,  2.580637467395267e+00,  2.503164235243368e+00
34          ,  7.800000000000002e-01,  1.449800011710257e+00,  2.482341100669372e+00, -3.897850708163573e-01
35          ,  1.160000000000000e+00,  7.591171986702402e-01,  2.274487270000000e+00,  8.983812244551910e+00
36          ,  3.800000000000000e-01,  8.549497222650898e-01,  2.226856470000000e+00,  8.219084338155033e+00
37          ,  1.080000000000000e+00,  1.130069319019625e+00,  2.645773012895148e+00,  2.129947356726063e+00
38          ,  2.020000000000000e+00,  1.101629628368870e+00,  2.527224257816340e+00,  3.286664765190543e+00
39          ,  3.500000000000000e+00,  2.835387422373787e+00,  2.563585601534715e+00, -1.684164478364258e+01
40          ,  2.860000000000000e+00,  1.871369152485733e+00,  2.879672511747204e+00, -8.006369891277176e+00
41          ,  1.200000000000000e+00,  2.049135737133397e-01,  2.904881237217110e+00,  1.091902785730775e+01
42          ,  2.640000000000001e+00,  1.357421871984452e+00,  2.722828620606787e+00, -1.016084026350785e+00
43          ,  1.900000000000000e+00,  5.045314705219178e-01,  3.302135935630580e+00,  4.700868618370999e+00
44          ,  8.000000000000003e-01,  1.455896731699084e+00,  2.565613140000000e+00, -1.043192978041333e+00
45          ,  6.400000000000000e-01,  7.078946735031990e-01,  3.196366967455270e+00,  3.110950264004325e+00
46          ,  1.320000000000001e+00,  1.666662507965387e+00,  2.327446359627944e+00, -1.790195980383928e+00
47          ,  2.300000000000000e+00,  1.706810263973084e+00,  2.571465667329736e+00, -3.960345565445601e+00
48          ,  1.040000000000000e+00,  1.473652900194985e+00,  2.512732600000000e+00, -8.761694538523063e-01
49          ,  1.600000000000000e+00,  1.078512113336872e+00,  2.309737151500582e+00,  5.075679557107734e+00
50          ,  1.840000000000000e+00,  1.588138505600978e+00,  2.506109895392686e+00, -2.142073101850057e+00
52          ,  2.200000000000000e-01,  1.186717092683859e+00,  2.864450915758304e+00, -5.175846896875792e-02
53          ,  1.420000000000000e+00,  1.467778300107577e+00,  1.868856680000000e+00,  3.703085983684742e+00
54          ,  4.999999999999999e-01,  9.895433814044301e-01,  2.967867539084200e+00,  1.483695622596108e+00
55          ,  6.799999999999999e-01,  8.765830981589705e-01,  2.872631977407135e+00,  3.445879874685089e+00
56          ,  1.540000000000000e+00,  1.679274324548452e+00,  2.236653080000000e+00, -1.298533451002191e+00
57          ,  1.180000000000000e+00,  1.268411061232706e+00,  2.968733525537411e+00, -1.718943552055261e+00
58          ,  1.880000000000000e+00,  1.803808099982774e+00,  2.485249600000000e+00, -4.468047434319322e+00
59          ,  4.999999999999999e-01,  1.126567235297492e+00,  3.073798434111550e+00, -8.292684492226343e-01
60          ,  8.200000000000000e-01,  1.246247642870739e+00,  2.801549731097169e+00, -2.933623060110152e-01
61          ,  1.280000000000000e+00,  7.149829799714720e-01,  3.099068900000001e+00,  3.711508878397590e+00
62          ,  2.080000000000000e+00,  1.177452528524671e+00,  2.533417929342782e+00,  2.374129430295244e+00
63          ,  1.380000000000000e+00,  1.225905279214764e+00,  2.794632460000000e+00, -1.171200398030441e-02
64          ,  7.200000000000000e-01,  1.510333424067299e+00,  2.715017245268327e+00, -2.714122455704814e+00
65          ,  1.520000000000000e+00,  1.361265262186069e+00,  2.282295050000001e+00,  2.026869500160128e+00
66          ,  8.400000000000000e-01,  1.511068609167766e+00,  2.662507148586347e+00, -2.354588710677536e+00
67          ,  9.600000000000000e-01,  7.203158443865318e-01,  1.800979950000000e+00,  1.274665011835192e+01
68          ,  1.020000000000000e+00,  1.604540807324929e+00,  2.974917980000000e+00, -5.615228242467076e+00
69          ,  1.200000000000000e+00,  8.957319428117801e-01,  3.017916102329187e+00,  2.208314167661759e+00
70          ,  7.600000000000002e-01,  1.058351844996421e+00,  1.845326033518837e+00,  8.561099619573568e+00
71          ,  1.180000000000000e+00,  2.148276056866449e-01,  2.886926400000000e+00,  1.093120378873494e+01
72          ,  2.460000000000000e+00,  2.046585043126771e+00,  1.935973030000000e+00, -3.401903461276511e+00
73          ,  2.020000000000000e+00,  1.803599225466077e+00,  2.455477300000000e+00, -4.257025802460975e+00
74          ,  7.600000000000002e-01,  1.385630283037978e+00,  3.149901934438431e+00, -4.332115242479478e+00
75          ,  4.999999999999999e-01,  7.699450584367259e-01,  3.285682104416586e+00,  1.773816833125888e+00
76          ,  1.800000000000000e+00,  2.123912168888620e+00,  2.350385740000000e+00, -7.192248439475795e+00
77          ,  1.400000000000000e+00,  1.270248550254611e+00,  2.445729863434831e+00,  1.924906541841701e+00
78          ,  1.600000000000000e+00,  2.310479858289628e+00,  2.583091260000000e+00, -1.096148219273137e+01
79          ,  1.600000000000000e+00,  1.455338145381991e+00,  2.589823719718536e+00, -1.206444075202555e+00
80          ,  2.400000000000000e-01,  1.030555687663573e+00,  2.369484707775326e+00,  5.206711751232510e+00
81          ,  1.120000000000000e+00,  7.815468077527549e-01,  2.869911283894948e+00,  4.554315486333643e+00
83          ,  1.500000000000000e+00,  1.530236388325664e+00,  2.021519308367160e+00,  1.917375937041258e+00
