# c0 + a0 * (|(feature_26 - feature_5) - (feature_13 / feature_14)|) + a1 * (|(feature_29 / feature_30) - (feature_29 + feature_8)|) + a2 * (|(feature_28 - feature_21) - (feature_19 / feature_30)|) + a3 * ((feature_28 - feature_3) * (feature_14 / feature_21))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.463866246781005; Max AE: 2.14751603235526
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.030682167653887e+00,  4.271888003553632e+00, -5.958994877225080e-01, -7.584984429279293e-02,  1.187942617347143e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         25|4|sub|12|13|div|abd; (|(feature_26 - feature_5) - (feature_13 / feature_14)|); $\left(\left|\left(feature_{26} - feature_{5}\right) - \left(\frac{ feature_{13} }{ feature_{14} } \right)\right|\right)$; abs((feature_26 - feature_5) - (feature_13 ./ feature_14)); abs((newdata$feature_26 - newdata$feature_5) - (newdata$feature_13 / newdata$feature_14)); feature_26,feature_5,feature_13,feature_14
# 1;  2; Unitless;                                         28|29|div|28|7|add|abd; (|(feature_29 / feature_30) - (feature_29 + feature_8)|); $\left(\left|\left(\frac{ feature_{29} }{ feature_{30} } \right) - \left(feature_{29} + feature_{8}\right)\right|\right)$; abs((feature_29 ./ feature_30) - (feature_29 + feature_8)); abs((newdata$feature_29 / newdata$feature_30) - (newdata$feature_29 + newdata$feature_8)); feature_29,feature_30,feature_29,feature_8
# 2;  2; Unitless;                                         27|20|sub|18|29|div|abd; (|(feature_28 - feature_21) - (feature_19 / feature_30)|); $\left(\left|\left(feature_{28} - feature_{21}\right) - \left(\frac{ feature_{19} }{ feature_{30} } \right)\right|\right)$; abs((feature_28 - feature_21) - (feature_19 ./ feature_30)); abs((newdata$feature_28 - newdata$feature_21) - (newdata$feature_19 / newdata$feature_30)); feature_28,feature_21,feature_19,feature_30
# 3;  2; Unitless;                                         27|2|sub|13|20|div|mult; ((feature_28 - feature_3) * (feature_14 / feature_21)); $\left(\left(feature_{28} - feature_{3}\right) \left(\frac{ feature_{14} }{ feature_{21} } \right)\right)$; ((feature_28 - feature_3) .* (feature_14 ./ feature_21)); ((newdata$feature_28 - newdata$feature_3) * (newdata$feature_14 / newdata$feature_21)); feature_28,feature_3,feature_14,feature_21
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
0           ,  6.200000000000000e-01,  9.405552117005753e-01,  1.018592353469573e-01,  4.475840052427149e-01,  3.420748162935427e+00, -1.131837030463210e+00
1           ,  1.560000000000000e+00,  1.212598570206872e+00,  1.509265168406673e-01,  4.314021088154334e-01,  2.547203162483745e+00, -8.062383758374231e-02
2           ,  1.240000000000000e+00,  1.775984023623247e+00,  4.633257102839011e-02,  4.559262806185444e-01,  2.079904600000000e+00,  3.444145630891834e-01
3           ,  1.280000000000000e+00,  1.413329356175709e+00,  1.180786880270177e-01,  4.490728903915789e-01,  2.708537231040622e+00, -2.119897301750727e+00
4           ,  5.800000000000001e-01,  1.324430202842008e+00,  1.159139017981614e-01,  4.329421066285523e-01,  2.909109024863409e+00, -3.374143577367557e+00
5           ,  1.160000000000000e+00,  1.069859620381716e+00,  1.028565627448841e-01,  4.032955968702561e-01,  2.891024330000000e+00, -1.195945578488952e+00
6           ,  1.400000000000000e+00,  1.184046660261125e+00,  6.306464541455697e-03,  4.243902487154653e-01,  2.814589958412373e+00,  1.672046015771215e+00
7           ,  7.000000000000000e-01,  1.082932390097952e+00,  1.627094155905664e-01,  4.231266525397125e-01,  2.952506724811416e+00, -2.336833476677003e+00
8           ,  9.200000000000002e-01,  7.794983811879180e-01,  2.209621798272506e-01,  4.260859235396073e-01,  2.420336600000001e+00,  4.451614715919193e+00
9           ,  3.200000000000000e+00,  2.517418181091311e+00,  5.182895674155832e-02,  4.705157183918118e-01,  2.732528800123689e+00, -1.388329496368814e+01
10          ,  1.900000000000000e+00,  2.143087478676450e+00,  4.307090507517031e-02,  5.761184888141865e-01,  2.252693650000000e+00,  1.003647264666667e+00
12          ,  1.640000000000000e+00,  1.164554368081198e+00,  1.430727353653001e-01,  5.095861905150496e-01,  2.692988405840691e+00,  4.021072452825875e+00
13          ,  6.200000000000000e-01,  8.526910872085953e-01,  3.979538089797233e-02,  4.342071373901006e-01,  3.286248067594975e+00,  1.991440885180566e+00
14          ,  1.920000000000000e+00,  1.597502426816866e+00,  1.319634530105690e-01,  4.586609828367333e-01,  3.117398296030689e+00, -7.591885560249998e+00
15          ,  2.520000000000000e+00,  1.681977757056961e+00,  8.960702750266374e-02,  4.085091360388556e-01,  2.109111972232587e+00, -2.474784233540560e+00
16          ,  2.620000000000001e+00,  2.177153712060822e+00,  5.457811171368632e-02,  4.229096765301275e-01,  1.763294316000001e+00, -4.537455573922615e+00
17          ,  1.120000000000000e+00,  1.579352452730982e+00,  3.435183624941412e-02,  4.616119418241115e-01,  2.775384740000000e+00, -1.886138676208625e+00
18          ,  1.240000000000000e+00,  2.030851622521554e+00,  3.379544954626218e-02,  5.440680187078559e-01,  2.130850060000000e+00,  1.883831964115606e+00
19          ,  1.260000000000000e+00,  1.444688920593106e+00,  1.706924716296942e-01,  4.708087162040027e-01,  1.960601860000000e+00,  3.158239854213919e+00
20          ,  2.180000000000000e+00,  2.166933804446181e+00,  8.173646157422947e-02,  6.088715886894558e-01,  2.145341707477129e+00,  2.342143883658596e+00
21          ,  6.799999999999999e-01,  9.507783408650310e-01,  1.050354854313558e-01,  4.130387779762444e-01,  2.919051580000000e+00,  6.442287282588890e-01
22          ,  8.800000000000001e-01,  1.436059759233878e+00,  9.851355533239503e-02,  4.597417971457766e-01,  2.311859900000000e+00,  1.821526163683038e+00
24          ,  1.320000000000001e+00,  1.469051119508218e+00,  5.119897880163436e-02,  4.067511119305383e-01,  2.396950835785757e+00, -9.996584142685034e-01
25          ,  2.260000000000000e+00,  1.807127259438782e+00,  1.255906225322912e-01,  4.452446234878142e-01,  3.007584821106101e+00, -1.007783701172232e+01
26          ,  1.960000000000000e+00,  1.844063387152152e+00,  6.276810818143655e-02,  4.791676026526458e-01,  2.350616629917743e+00, -1.810995938142950e+00
27          ,  9.800000000000000e-01,  9.713185248195758e-01,  3.548313201022366e-02,  4.126918411339651e-01,  3.261244467742920e+00, -4.723998261751236e-01
29          ,  8.400000000000000e-01,  1.189398301352462e+00,  1.035926180707360e-01,  4.415879236072043e-01,  2.110889298786291e+00,  5.493972192683223e+00
30          ,  1.200000000000000e+00,  1.143400875812487e+00,  3.866995757691228e-02,  3.948166134832760e-01,  2.339417892326109e+00,  3.408969152237746e+00
31          ,  3.840000000000000e+00,  3.899525751535346e+00,  7.644410845759447e-02,  6.428800755897521e-01,  2.080978500000000e+00, -1.793753400836653e+01
32          ,  3.000000000000000e-01,  1.516685845863448e+00,  2.289983911807003e-02,  4.484661462924924e-01,  2.664725700000000e+00, -6.243526681067776e-01
33          ,  2.600000000000001e-01,  1.314631027124701e+00,  1.001432232727834e-03,  4.541719959928270e-01,  2.580637467395267e+00,  3.607777426706523e+00
34          ,  7.800000000000002e-01,  1.236643170402872e+00,  1.191234240226154e-01,  4.038667120273694e-01,  2.482341100669372e+00, -5.874078514040790e-01
35          ,  1.160000000000000e+00,  1.023625834408491e+00,  2.052071413040458e-01,  5.296834254307770e-01,  2.274487270000000e+00,  8.635334433166332e+00
36          ,  3.800000000000000e-01,  8.443119110897372e-01,  2.131579070965874e-01,  4.404754774496377e-01,  2.226856470000000e+00,  6.136519171975151e+00
37          ,  1.080000000000000e+00,  1.126184400886930e+00,  4.411238954240679e-02,  4.038316600637588e-01,  2.645773012895148e+00,  1.591154416154514e+00
38          ,  2.020000000000000e+00,  1.221551881119113e+00,  1.292092249129020e-02,  4.210350437501034e-01,  2.527224257816340e+00,  3.069160700130018e+00
39          ,  3.500000000000000e+00,  2.717452934123481e+00,  5.145001095989207e-02,  4.607720372726613e-01,  2.563585601534715e+00, -1.573189445506686e+01
