# c0 + a0 * ((feature_28 + feature_20) - (feature_24 * feature_6)) + a1 * ((feature_25 - feature_12) * (feature_5 + feature_1))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.490061689294688; Max AE: 2.11565187997951
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.484279238369169e+00, -1.631981723083245e-01,  9.979055408026349e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         27|19|add|23|5|mult|sub; ((feature_28 + feature_20) - (feature_24 * feature_6)); $\left(\left(feature_{28} + feature_{20}\right) - \left(feature_{24} feature_{6}\right)\right)$; ((feature_28 + feature_20) - (feature_24 .* feature_6)); ((newdata$feature_28 + newdata$feature_20) - (newdata$feature_24 * newdata$feature_6)); feature_28,feature_20,feature_24,feature_6
# 1;  2; Unitless;                                         24|11|sub|4|0|add|mult; ((feature_25 - feature_12) * (feature_5 + feature_1)); $\left(\left(feature_{25} - feature_{12}\right) \left(feature_{5} + feature_{1}\right)\right)$; ((feature_25 - feature_12) .* (feature_5 + feature_1)); ((newdata$feature_25 - newdata$feature_12) * (newdata$feature_5 + newdata$feature_1)); feature_25,feature_12,feature_5,feature_1
# Number of Samples Per Task
# Task, n_samples               
# all , 1691                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
0           ,  1.400000000000000e+00,  1.395582322849414e+00, -2.810416712281478e-02, -3.036795946024083e+00
2           ,  7.000000000000000e-01,  1.088178778604166e+00,  4.708002011495030e-03, -4.526352415217019e-01
3           ,  2.300000000000000e+00,  1.705946387932248e+00, -6.590734431436499e-04, -4.352605381524153e+00
4           ,  1.060000000000000e+00,  8.535445356229273e-01, -4.774219591187263e-02, -1.347204844221294e-01
5           ,  1.700000000000000e+00,  1.560369194122765e+00,  7.063554518714013e-02, -1.938438925259665e+00
6           ,  1.380000000000000e+00,  1.813287125544079e+00,  1.126451484718632e-01, -2.591293925883920e+00
7           ,  1.780000000000000e+00,  2.006081288792572e+00,  7.678450396488005e-03, -6.013681825041774e+00
8           ,  1.920000000000000e+00,  2.182572643942227e+00,  3.488826059681067e-02, -6.514206905888762e+00
9           ,  1.020000000000000e+00,  1.396647973411597e+00,  2.359948844366694e-02, -1.939453245778876e+00
10          ,  2.240000000000000e+00,  1.614629960990728e+00,  3.616226034868285e-02, -3.006927101582777e+00
11          ,  1.780000000000000e+00,  1.570264795365594e+00,  1.041956575912616e-02, -3.284684934478706e+00
12          ,  2.020000000000000e+00,  1.095662568493697e+00,  3.738869537446685e-02,  1.992401440040102e-01
13          ,  1.260000000000000e+00,  1.439601960810750e+00,  7.136352398398002e-02, -1.182892996186005e+00
14          ,  1.240000000000000e+00,  1.328585469489592e+00,  3.730118194418787e-02, -1.229867908649090e+00
15          ,  2.100000000000000e+00,  1.776974806082907e+00,  1.050385004870565e-01, -2.531191329908791e+00
16          ,  8.800000000000001e-01,  1.189680495157496e+00,  1.458887516786128e-02, -8.636324629300559e-01
17          ,  5.400000000000000e-01,  1.190296186739628e+00,  1.489652132355080e-02, -8.608368830258951e-01
19          ,  8.400000000000000e-01,  1.366226426173320e+00, -4.657750868853370e-02, -3.251322759097082e+00
20          ,  7.800000000000002e-01,  1.352399701558300e+00,  4.434236739021249e-02, -1.225460848299022e+00
21          ,  3.440000000000000e+00,  1.835664000518134e+00,  4.377324319958197e-02, -4.198823109026685e+00
22          ,  3.140000000000000e+00,  2.979080372824122e+00,  2.845582392543339e-02, -1.153215608292331e+01
23          ,  1.140000000000000e+00,  1.072089666892722e+00, -2.341807595210138e-02, -9.545403586888093e-01
24          ,  8.200000000000000e-01,  7.239513583124664e-01, -6.583951318341678e-02,  2.729867192182014e-01
26          ,  2.100000000000000e+00,  2.107743583506255e+00,  3.781074719533853e-02, -5.993295313478127e+00
27          ,  2.720000000000000e+00,  1.030319618924228e+00, -4.962045294716725e-02, -1.258014040353379e+00
28          ,  2.040000000000000e+00,  2.199256834617149e+00,  9.510874644452771e-02, -5.330732880677934e+00
29          ,  1.600000000000000e+00,  1.639184962887015e+00,  9.566336982151938e-03, -3.725211037300416e+00
30          ,  1.400000000000000e+00,  1.422000316234445e+00,  9.415660949441673e-02, -5.884064414260732e-01
31          ,  2.600000000000001e-01,  1.082178264497262e+00,  2.724166148605098e-02,  6.522641577008902e-02
32          ,  1.720000000000000e+00,  1.665702122566855e+00,  9.669426433083420e-02, -2.027515133329935e+00
33          ,  1.460000000000000e+00,  1.403182710113057e+00,  1.008258509005076e-01, -3.307129581384696e-01
34          ,  1.380000000000000e+00,  1.561767841368426e+00,  8.106866758631100e-02, -1.724262111716077e+00
36          ,  2.440000000000000e+00,  1.845839142026582e+00,  1.047777947263134e-01, -2.958724963565766e+00
37          ,  2.400000000000000e+00,  1.834752780244985e+00,  1.286566813580388e-02, -4.853115986940631e+00
38          ,  1.780000000000000e+00,  1.765880558433313e+00,  6.217601273609803e-02, -3.378324766334360e+00
39          ,  3.500000000000000e+00,  2.713879305164139e+00,  1.146573677498714e-01, -8.066729300726474e+00
40          ,  1.640000000000000e+00,  1.502704823101308e+00, -1.353780286956401e-02, -3.382199444779409e+00
41          ,  4.220000000000000e+00,  3.727712318616975e+00,  2.365169413460345e-01, -1.167731036815396e+01
42          ,  1.960000000000000e+00,  1.912889137507416e+00,  2.468609560477105e-02, -5.079532047372056e+00
46          ,  1.260000000000000e+00,  1.412962595602852e+00,  8.005507894045659e-03, -2.372352731505713e+00
47          ,  8.000000000000003e-01,  1.258750107454251e+00, -1.701051758754427e-02, -1.961504564591755e+00
49          ,  1.220000000000000e+00,  1.152323879402318e+00,  2.621588857829420e-02, -3.864924552694635e-01
51          ,  1.240000000000000e+00,  1.325817738639862e+00, -1.845708154939549e-02, -2.403346914569988e+00
52          ,  1.260000000000000e+00,  1.078308411666543e+00,  1.033092380122687e-02, -2.721050543766051e-01
53          ,  1.260000000000000e+00,  1.934658290741425e+00,  9.710339772909012e-02, -3.666814332489272e+00
54          ,  8.400000000000000e-01,  8.471948811787732e-01, -2.163411648864190e-02,  4.615943649154716e-01
55          ,  3.260000000000000e+00,  1.985082852760025e+00,  2.046068862234869e-02, -5.612112846812114e+00
56          , -1.999999999999999e-01,  7.179638303933137e-01, -5.450469190357470e-02,  5.516737273619295e-01
57          ,  4.999999999999999e-01,  1.246616420696112e+00,  7.230951144547451e-02,  1.982650618472889e-02
