# c0 + a0 * (|(|feature_22 - feature_9|) - (feature_18 + feature_1)|) + a1 * (|(feature_30 * feature_16) - (exp(-1.0 * feature_21))|) + a2 * ((feature_19 + feature_15) * (feature_18 - feature_17)) + a3 * ((feature_28 + feature_20) - (feature_24 * feature_6)) + a4 * ((feature_25 - feature_12) * (feature_7 + feature_5))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.451715453356021; Max AE: 1.94725824791895
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.145454700070197e-01,  1.898150775362456e-01, -1.211810529427612e+00,  3.699695935634590e+00, -1.671450031660873e-01,  1.017330950415001e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         21|8|abd|17|0|add|abd; (|(|feature_22 - feature_9|) - (feature_18 + feature_1)|); $\left(\left|\left(\left|feature_{22} - feature_{9}\right|\right) - \left(feature_{18} + feature_{1}\right)\right|\right)$; abs(abs(feature_22 - feature_9) - (feature_18 + feature_1)); abs(abs(newdata$feature_22 - newdata$feature_9) - (newdata$feature_18 + newdata$feature_1)); feature_22,feature_9,feature_18,feature_1
# 1;  2; Unitless;                                         29|15|mult|20|nexp|abd; (|(feature_30 * feature_16) - (exp(-1.0 * feature_21))|); $\left(\left|\left(feature_{30} feature_{16}\right) - \left(\exp{ \left(-feature_{21} \right) } \right)\right|\right)$; abs((feature_30 .* feature_16) - exp(-1.0 * (feature_21))); abs((newdata$feature_30 * newdata$feature_16) - exp(-1.0 * (newdata$feature_21))); feature_30,feature_16,feature_21
# 2;  2; Unitless;                                         18|14|add|17|16|sub|mult; ((feature_19 + feature_15) * (feature_18 - feature_17)); $\left(\left(feature_{19} + feature_{15}\right) \left(feature_{18} - feature_{17}\right)\right)$; ((feature_19 + feature_15) .* (feature_18 - feature_17)); ((newdata$feature_19 + newdata$feature_15) * (newdata$feature_18 - newdata$feature_17)); feature_19,feature_15,feature_18,feature_17
# 3;  2; Unitless;                                         27|19|add|23|5|mult|sub; ((feature_28 + feature_20) - (feature_24 * feature_6)); $\left(\left(feature_{28} + feature_{20}\right) - \left(feature_{24} feature_{6}\right)\right)$; ((feature_28 + feature_20) - (feature_24 .* feature_6)); ((newdata$feature_28 + newdata$feature_20) - (newdata$feature_24 * newdata$feature_6)); feature_28,feature_20,feature_24,feature_6
# 4;  2; Unitless;                                         24|11|sub|6|4|add|mult; ((feature_25 - feature_12) * (feature_7 + feature_5)); $\left(\left(feature_{25} - feature_{12}\right) \left(feature_{7} + feature_{5}\right)\right)$; ((feature_25 - feature_12) .* (feature_7 + feature_5)); ((newdata$feature_25 - newdata$feature_12) * (newdata$feature_7 + newdata$feature_5)); feature_25,feature_12,feature_7,feature_5
# Number of Samples Per Task
# Task, n_samples               
# all , 1691                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
0           ,  1.400000000000000e+00,  1.305486646188255e+00,  1.504703601298447e+00,  7.276288881544533e-01, -3.282738945838589e-02, -2.810416712281478e-02, -3.213164556634396e+00
2           ,  7.000000000000000e-01,  5.293623834330199e-01,  2.337944535862314e+00,  7.956395145226274e-01,  1.991427708579623e-01,  4.708002011495030e-03, -5.175601735886212e-01
3           ,  2.300000000000000e+00,  1.880296945211823e+00,  2.205007179330176e-01,  7.419371374885764e-01, -2.567516096155020e-02, -6.590734431436499e-04, -4.431885468260636e+00
4           ,  1.060000000000000e+00,  9.285648422399457e-01,  6.586364378916560e-01,  8.565233010580391e-01, -3.644094090886698e-02, -4.774219591187263e-02, -1.342092853936374e-01
5           ,  1.700000000000000e+00,  1.604104545250398e+00,  1.038911583690256e+00,  8.421233646610159e-01, -8.809414963210027e-03,  7.063554518714013e-02, -2.260398269098185e+00
6           ,  1.380000000000000e+00,  1.807947451353978e+00,  1.109281595422561e+00,  1.132980652527171e+00,  1.279290134764077e-03,  1.126451484718632e-01, -2.383250970906386e+00
7           ,  1.780000000000000e+00,  2.256867381820719e+00,  5.323589302344178e-02,  9.388101270422951e-01, -3.455233986766026e-02,  7.678450396488005e-03, -5.997659481637894e+00
8           ,  1.920000000000000e+00,  2.495188218796268e+00,  1.199757961433196e+00,  1.883106150841033e+00, -7.914957013679609e-02,  3.488826059681067e-02, -6.897171341176097e+00
9           ,  1.020000000000000e+00,  1.334061123655244e+00,  1.395996690948958e+00,  1.252782591359150e+00,  2.537221533223250e-02,  2.359948844366694e-02, -1.925712972764213e+00
10          ,  2.240000000000000e+00,  1.938678930720079e+00,  2.163811112221126e-01,  1.787903002175826e+00,  1.699689903427518e-02,  3.616226034868285e-02, -3.082403089236238e+00
11          ,  1.780000000000000e+00,  1.575471975163492e+00,  1.082629343774964e+00,  7.957491737111675e-01, -1.898397200248866e-02,  1.041956575912616e-02, -3.456967554198700e+00
12          ,  2.020000000000000e+00,  1.253003752568906e+00,  5.639296084050447e-01,  1.075377512731345e+00, -4.307053495846443e-02,  3.738869537446685e-02,  2.272377414022699e-01
13          ,  1.260000000000000e+00,  1.402386138013832e+00,  9.394602718534195e-01,  4.918194802082291e-01, -2.015926022362496e-03,  7.136352398398002e-02, -1.356852529806652e+00
14          ,  1.240000000000000e+00,  1.279441610060900e+00,  1.330826447448386e+00,  1.133328116536439e+00,  2.073740897431631e-02,  3.730118194418787e-02, -1.314053403640862e+00
15          ,  2.100000000000000e+00,  1.858854865087926e+00,  1.661414385527593e+00,  1.848752165452988e+00,  2.801334239335318e-02,  1.050385004870565e-01, -2.945874240176626e+00
16          ,  8.800000000000001e-01,  1.012597915305963e+00,  1.538848713680122e+00,  5.955048147865923e-01, -9.582782711625376e-03,  1.458887516786128e-02, -8.782630106159209e-01
