# c0 + a0 * ((feature_25 - feature_14) - (feature_6 * feature_3))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.531823067112317; Max AE: 2.34728162381123
# Coefficients
# Task   a0                      c0
# all , -2.110202108360461e-01,  1.237674209460531e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         24|13|sub|5|2|mult|sub; ((feature_25 - feature_14) - (feature_6 * feature_3)); $\left(\left(feature_{25} - feature_{14}\right) - \left(feature_{6} feature_{3}\right)\right)$; ((feature_25 - feature_14) - (feature_6 .* feature_3)); ((newdata$feature_25 - newdata$feature_14) - (newdata$feature_6 * newdata$feature_3)); feature_25,feature_14,feature_6,feature_3
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
1           ,  1.180000000000000e+00,  8.825847514246183e-01,  1.682727245077971e+00
2           ,  9.800000000000000e-01,  1.254590606467722e+00, -8.016481900084127e-02
3           ,  1.300000000000000e+00,  1.571556210135900e+00, -1.582227594942465e+00
5           ,  8.600000000000001e-01,  1.407651679148392e+00, -8.055032691628133e-01
6           ,  1.100000000000000e+00,  1.297187037230670e+00, -2.820243024796273e-01
7           ,  1.600000000000000e+00,  1.647471250848283e+00, -1.941980058517463e+00
8           ,  1.120000000000000e+00,  1.550717155527526e+00, -1.483473762189615e+00
9           ,  1.320000000000001e+00,  1.870905744528892e+00, -3.000809887164582e+00
10          ,  4.200000000000001e-01,  9.997888755048343e-01,  1.127310663813730e+00
11          ,  1.700000000000000e+00,  1.456647833034428e+00, -1.037690289031274e+00
12          ,  1.020000000000000e+00,  1.026059576226451e+00,  1.002816897943941e+00
13          ,  8.800000000000001e-01,  8.391282579917704e-01,  1.888662464556127e+00
14          ,  2.160000000000000e+00,  2.279240728646543e+00, -4.935861427961827e+00
15          , -3.999999999999990e-02,  1.093184915897361e+00,  6.847177954695167e-01
16          ,  1.920000000000000e+00,  1.711153758158231e+00, -2.243763982709575e+00
17          ,  8.800000000000001e-01,  1.370197940822173e+00, -6.280144012585014e-01
18          ,  3.440000000000000e+00,  2.209305000575142e+00, -4.604444224868715e+00
20          ,  9.800000000000000e-01,  2.066663273860212e+00, -3.928481831741565e+00
21          ,  1.820000000000000e+00,  1.265430475945168e+00, -1.315336875774570e-01
22          ,  1.980000000000000e+00,  1.735291595397167e+00, -2.358150358987482e+00
23          ,  8.400000000000000e-01,  1.793807267084444e+00, -2.635449255881964e+00
24          ,  5.400000000000000e-01,  8.560157660339917e-01,  1.808634546967976e+00
26          ,  1.040000000000000e+00,  1.174047134670796e+00,  3.015212359880065e-01
27          ,  1.600000000000000e-01,  1.160392091072472e+00,  3.662308841502558e-01
28          ,  1.660000000000000e+00,  1.404775266097665e+00, -7.918722854796352e-01
29          ,  1.960000000000000e+00,  1.334180342240282e+00, -4.573312309631464e-01
30          ,  8.200000000000000e-01,  9.351339342589966e-01,  1.433702838239486e+00
31          ,  4.799999999999998e-01,  1.055156739545124e+00,  8.649288577254600e-01
32          ,  1.380000000000000e+00,  1.482162924361756e+00, -1.158603310709340e+00
33          ,  8.000000000000003e-01,  1.303238189675652e+00, -3.107000033568460e-01
35          ,  3.920000000000000e+00,  3.479108452795716e+00, -1.062189367764724e+01
36          ,  1.440000000000000e+00,  1.214227524739778e+00,  1.111110856531659e-01
37          ,  1.220000000000000e+00,  1.316052919483311e+00, -3.714275031393889e-01
38          ,  1.380000000000000e+00,  8.537800805240698e-01,  1.819229198073025e+00
40          ,  1.960000000000000e+00,  1.289068348152634e+00, -2.435507882798695e-01
41          ,  1.320000000000001e+00,  1.234413129144115e+00,  1.545387668553433e-02
42          ,  2.020000000000000e+00,  2.235796387523191e+00, -4.729983796851384e+00
43          ,  1.120000000000000e+00,  6.928088025763692e-01,  2.582053182135711e+00
44          ,  1.640000000000000e+00,  1.372553832118095e+00, -6.391786934681845e-01
45          ,  1.240000000000000e+00,  9.981317320550536e-01,  1.135163672031356e+00
46          ,  1.600000000000000e+00,  1.304626426162509e+00, -3.172786930537081e-01
47          ,  1.360000000000000e+00,  1.293032592100959e+00, -2.623368748476866e-01
48          ,  8.200000000000000e-01,  9.370543478209773e-01,  1.424602223874766e+00
49          ,  5.600000000000001e-01,  1.172676048123038e+00,  3.080186541373232e-01
50          ,  1.820000000000000e+00,  1.001124002367100e+00,  1.120983654391383e+00
51          ,  5.800000000000001e-01,  1.186783785596966e+00,  2.411637428563884e-01
52          ,  1.180000000000000e+00,  1.633608354755188e+00, -1.876285421789676e+00
53          ,  1.840000000000000e+00,  1.145480942078776e+00,  4.368930682823786e-01
54          ,  4.200000000000000e+00,  3.400979416972270e+00, -1.025164935122038e+01
55          ,  1.080000000000000e+00,  1.107481538974291e+00,  6.169677774959398e-01
56          ,  1.000000000000000e+00,  1.033671028705833e+00,  9.667471184226968e-01
57          ,  1.100000000000000e+00,  9.502926136349833e-01,  1.361867636692065e+00
58          ,  2.280000000000000e+00,  1.905153841120467e+00, -3.163107595312471e+00
59          ,  3.940000000000000e+00,  2.786280380176203e+00, -7.338662797180478e+00
60          ,  2.560000000000000e+00,  1.540196394830708e+00, -1.433617112652896e+00
61          ,  1.620000000000000e+00,  1.671247121268911e+00, -2.054651116547546e+00
62          ,  1.220000000000000e+00,  1.266610245022554e+00, -1.371244747002250e-01
63          ,  1.280000000000000e+00,  1.485983743175697e+00, -1.176709722407077e+00
66          ,  1.680000000000000e+00,  1.437095700352923e+00, -9.450350281724189e-01
67          ,  2.140000000000000e+00,  1.865255501511321e+00, -2.974034048986874e+00
68          ,  1.280000000000000e+00,  6.944273275701176e-01,  2.574383182246430e+00
69          , -6.000000000000000e-02,  1.324368916124755e+00, -4.108360347131988e-01
70          ,  6.000000000000000e-01,  1.219502783001723e+00,  8.611225619960261e-02
71          ,  1.020000000000000e+00,  1.370106096425298e+00, -6.275791614465868e-01
72          ,  2.500000000000000e+00,  2.248631971541173e+00, -4.790810122287835e+00
74          ,  9.000000000000001e-01,  1.377427447094271e+00, -6.622741825536442e-01
75          ,  1.000000000000000e+00,  1.572818576474787e+00, -1.588209800788463e+00
76          ,  2.400000000000000e+00,  1.502035048047393e+00, -1.252774971361677e+00
77          ,  1.940000000000000e+00,  1.237349263743008e+00,  1.539879598427107e-03
78          ,  1.940000000000000e+00,  1.532258973848012e+00, -1.396002606671460e+00
79          ,  9.800000000000000e-01,  1.388684037621262e+00, -7.156178432503797e-01
80          ,  2.020000000000000e+00,  1.765473358593749e+00, -2.501178190667702e+00
81          ,  7.600000000000002e-01,  1.251027805687743e+00, -6.328112446815648e-02
82          ,  1.360000000000000e+00,  1.087558450890638e+00,  7.113809524459552e-01
83          ,  1.520000000000000e+00,  9.473192092144173e-01,  1.375958251087651e+00
84          ,  6.400000000000000e-01,  1.029776098739350e+00,  9.852047341697947e-01
85          ,  2.860000000000000e+00,  2.256916144417490e+00, -4.830067844775629e+00
86          ,  1.380000000000000e+00,  9.768221473666064e-01,  1.236147291581447e+00
88          ,  1.120000000000000e+00,  1.389911062631406e+00, -7.214325706894353e-01
89          ,  1.420000000000000e+00,  1.754019929732426e+00, -2.446901736218408e+00
90          ,  1.160000000000000e+00,  1.097830843631583e+00,  6.627012894873860e-01
91          ,  5.199999999999999e-01,  1.043826183927214e+00,  9.186230303026673e-01
92          ,  2.340000000000000e+00,  1.483965356463318e+00, -1.167144824787165e+00
93          ,  1.280000000000000e+00,  1.131397730745153e+00,  5.036317530644026e-01
94          ,  1.180000000000000e+00,  1.099984862379991e+00,  6.524936475753926e-01
96          ,  1.440000000000000e+00,  1.327351658167799e+00, -4.249708990052311e-01
97          ,  9.000000000000001e-01,  1.545187938825553e+00, -1.457271453509958e+00
98          ,  1.140000000000000e+00,  1.086676304796873e+00,  7.155613391978686e-01
99          ,  1.720000000000000e+00,  1.725680999285933e+00, -2.312606872545317e+00
100         ,  1.040000000000000e+00,  1.149320462967998e+00,  4.186980296459863e-01
101         ,  1.700000000000000e+00,  1.814545207579228e+00, -2.733723920723889e+00
102         ,  1.220000000000000e+00,  1.312395284084037e+00, -3.540943984818649e-01
103         ,  1.580000000000000e+00,  1.159144520954167e+00,  3.721429724443707e-01
104         ,  2.100000000000000e+00,  2.226816782710517e+00, -4.687430504078629e+00
106         ,  1.860000000000000e+00,  1.893952327544935e+00, -3.110024937821267e+00
107         ,  8.200000000000000e-01,  1.020947756897288e+00,  1.027041209486943e+00
108         ,  1.320000000000001e+00,  1.237244244132493e+00,  2.037555200682162e-03
109         ,  1.280000000000000e+00,  1.394280593676732e+00, -7.421392652189014e-01
110         ,  1.660000000000000e+00,  1.465872868630577e+00, -1.081406649467085e+00
111         ,  1.360000000000000e+00,  1.154633893565982e+00,  3.935183059743390e-01
112         ,  2.460000000000000e+00,  2.061473225535255e+00, -3.903886802173570e+00
113         ,  3.759999999999999e+00,  3.032266929435952e+00, -8.504364169030925e+00
114         ,  6.799999999999999e-01,  8.235416229230521e-01,  1.962525697878495e+00
115         ,  6.000000000000000e-01,  1.415747653468262e+00, -8.438691407909114e-01
116         ,  1.420000000000000e+00,  1.970581406066321e+00, -3.473161142726887e+00
