# c0 + a0 * ((feature_26 / feature_20) * (|feature_22 - feature_3|)) + a1 * ((feature_25 - feature_14) - (feature_6 * feature_3))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.495736725733328; Max AE: 1.85299121805977
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.032833090154027e-03, -1.924342868215217e-01,  1.057480034494473e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         25|19|div|21|2|abd|mult; ((feature_26 / feature_20) * (|feature_22 - feature_3|)); $\left(\left(\frac{ feature_{26} }{ feature_{20} } \right) \left(\left|feature_{22} - feature_{3}\right|\right)\right)$; ((feature_26 ./ feature_20) .* abs(feature_22 - feature_3)); ((newdata$feature_26 / newdata$feature_20) * abs(newdata$feature_22 - newdata$feature_3)); feature_26,feature_20,feature_22,feature_3
# 1;  2; Unitless;                                         24|13|sub|5|2|mult|sub; ((feature_25 - feature_14) - (feature_6 * feature_3)); $\left(\left(feature_{25} - feature_{14}\right) - \left(feature_{6} feature_{3}\right)\right)$; ((feature_25 - feature_14) - (feature_6 .* feature_3)); ((newdata$feature_25 - newdata$feature_14) - (newdata$feature_6 * newdata$feature_3)); feature_25,feature_14,feature_6,feature_3
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
1           ,  1.180000000000000e+00,  7.546003575408815e-01,  2.026923862887670e+01,  1.682727245077971e+00
2           ,  9.800000000000000e-01,  1.075719252988184e+00,  2.723342956303784e+00, -8.016481900084127e-02
3           ,  1.300000000000000e+00,  1.367962172090340e+00,  5.816330664702708e+00, -1.582227594942465e+00
5           ,  8.600000000000001e-01,  1.308299411510536e+00,  9.276709934615310e+01, -8.055032691628133e-01
6           ,  1.100000000000000e+00,  1.401453617170512e+00,  2.804929856757703e+02, -2.820243024796273e-01
7           ,  1.600000000000000e+00,  1.522607942967010e+00,  8.851804009927552e+01, -1.941980058517463e+00
8           ,  1.120000000000000e+00,  1.422876979787608e+00,  7.738494303645668e+01, -1.483473762189615e+00
9           ,  1.320000000000001e+00,  1.656738014443983e+00,  2.110628487200424e+01, -3.000809887164582e+00
10          ,  4.200000000000001e-01,  1.170593408076559e+00,  3.195546311845578e+02,  1.127310663813730e+00
11          ,  1.700000000000000e+00,  1.323682745986031e+00,  6.440103576686015e+01, -1.037690289031274e+00
12          ,  1.020000000000000e+00,  9.746273859588932e-01,  1.066229452586676e+02,  1.002816897943941e+00
13          ,  8.800000000000001e-01,  7.888988362946652e-01,  9.184660824478563e+01,  1.888662464556127e+00
14          ,  2.160000000000000e+00,  2.039304055141955e+00,  3.097794523897357e+01, -4.935861427961827e+00
15          , -3.999999999999990e-02,  9.835182977434817e-01,  5.596397370031016e+01,  6.847177954695167e-01
16          ,  1.920000000000000e+00,  2.141693424029536e+00,  6.316957444007049e+02, -2.243763982709575e+00
17          ,  8.800000000000001e-01,  1.268785188112927e+00,  8.757818766741897e+01, -6.280144012585014e-01
18          ,  3.440000000000000e+00,  2.264229738968528e+00,  3.105020229397800e+02, -4.604444224868715e+00
20          ,  9.800000000000000e-01,  1.860141852353455e+00,  4.520306206448758e+01, -3.928481831741565e+00
21          ,  1.820000000000000e+00,  1.475183712698399e+00,  3.799181983832800e+02, -1.315336875774570e-01
22          ,  1.980000000000000e+00,  1.722945177688677e+00,  2.049471135873130e+02, -2.358150358987482e+00
23          ,  8.400000000000000e-01,  1.618079221231870e+00,  5.174929931754053e+01, -2.635449255881964e+00
24          ,  5.400000000000000e-01,  7.576297357591369e-01,  4.666097638682907e+01,  1.808634546967976e+00
26          ,  1.040000000000000e+00,  1.019548051188673e+00,  1.945235962579385e+01,  3.015212359880065e-01
27          ,  1.600000000000000e-01,  1.048186536725965e+00,  5.923694914329111e+01,  3.662308841502558e-01
28          ,  1.660000000000000e+00,  1.356237685122404e+00,  1.417211294964426e+02, -7.918722854796352e-01
29          ,  1.960000000000000e+00,  1.431314083050435e+00,  2.767415587369834e+02, -4.573312309631464e-01
30          ,  8.200000000000000e-01,  8.626708540535378e-01,  7.850678248271464e+01,  1.433702838239486e+00
31          ,  4.799999999999998e-01,  9.871204206402314e-01,  9.302795867934705e+01,  8.649288577254600e-01
32          ,  1.380000000000000e+00,  1.355388730636437e+00,  7.257096529060789e+01, -1.158603310709340e+00
33          ,  8.000000000000003e-01,  1.426629154167843e+00,  2.995254403262930e+02, -3.107000033568460e-01
35          ,  3.920000000000000e+00,  3.651675516690687e+00,  5.326891178148537e+02, -1.062189367764724e+01
36          ,  1.440000000000000e+00,  1.369450467437673e+00,  3.227549723635593e+02,  1.111110856531659e-01
37          ,  1.220000000000000e+00,  1.492639513901060e+00,  3.521228126800466e+02, -3.714275031393889e-01
38          ,  1.380000000000000e+00,  8.385653453736237e-01,  1.269976586010247e+02,  1.819229198073025e+00
40          ,  1.960000000000000e+00,  1.491705593084663e+00,  3.750441770654030e+02, -2.435507882798695e-01
41          ,  1.320000000000001e+00,  1.287867001943167e+00,  2.259424348541173e+02,  1.545387668553433e-02
