# c0 + a0 * (|(feature_29^3) - (feature_11 + feature_5)|) + a1 * ((feature_26 / feature_12) * (|feature_7 - feature_3|)) + a2 * ((feature_25 - feature_14) - (feature_6 * feature_3))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.47134890043173; Max AE: 1.97720706215841
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -5.429373266287238e-01,  2.146257360398137e-03, -1.896380642834478e-01,  1.343175459290565e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         28|cb|10|4|add|abd; (|(feature_29^3) - (feature_11 + feature_5)|); $\left(\left|\left(feature_{29}^3\right) - \left(feature_{11} + feature_{5}\right)\right|\right)$; abs((feature_29).^3 - (feature_11 + feature_5)); abs((newdata$feature_29)^3 - (newdata$feature_11 + newdata$feature_5)); feature_29,feature_11,feature_5
# 1;  2; Unitless;                                         25|11|div|6|2|abd|mult; ((feature_26 / feature_12) * (|feature_7 - feature_3|)); $\left(\left(\frac{ feature_{26} }{ feature_{12} } \right) \left(\left|feature_{7} - feature_{3}\right|\right)\right)$; ((feature_26 ./ feature_12) .* abs(feature_7 - feature_3)); ((newdata$feature_26 / newdata$feature_12) * abs(newdata$feature_7 - newdata$feature_3)); feature_26,feature_12,feature_7,feature_3
# 2;  2; Unitless;                                         24|13|sub|5|2|mult|sub; ((feature_25 - feature_14) - (feature_6 * feature_3)); $\left(\left(feature_{25} - feature_{14}\right) - \left(feature_{6} feature_{3}\right)\right)$; ((feature_25 - feature_14) - (feature_6 .* feature_3)); ((newdata$feature_25 - newdata$feature_14) - (newdata$feature_6 * newdata$feature_3)); feature_25,feature_14,feature_6,feature_3
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
1           ,  1.180000000000000e+00,  4.974202076431376e-01,  1.168091599711286e+00,  5.011254391735284e+01,  1.682727245077971e+00
2           ,  9.800000000000000e-01,  9.086938544779017e-01,  8.282981833142233e-01,  1.402226452094081e-02, -8.016481900084127e-02
3           ,  1.300000000000000e+00,  1.554371714066030e+00,  1.774879671971254e-01,  3.499356121999091e+00, -1.582227594942465e+00
5           ,  8.600000000000001e-01,  1.295632672066148e+00,  6.662820420028194e-01,  7.522514572686001e+01, -8.055032691628133e-01
6           ,  1.100000000000000e+00,  1.102311489925792e+00,  9.825519001629880e-01,  1.114114244603965e+02, -2.820243024796273e-01
7           ,  1.600000000000000e+00,  1.465250263376097e+00,  6.534749906753252e-01,  5.059851226186131e+01, -1.941980058517463e+00
8           ,  1.120000000000000e+00,  1.414761638385279e+00,  5.181050867271642e-01,  3.334254243624656e+01, -1.483473762189615e+00
9           ,  1.320000000000001e+00,  1.823150596055877e+00,  2.576705076034930e-01,  2.367204230375781e+01, -3.000809887164582e+00
10          ,  4.200000000000001e-01,  1.034329577331776e+00,  8.180716091629457e-01,  1.626537194858894e+02,  1.127310663813730e+00
11          ,  1.700000000000000e+00,  1.478288484500582e+00,  1.868956622484780e-01,  1.854394511416174e+01, -1.037690289031274e+00
12          ,  1.020000000000000e+00,  1.307714162459186e+00,  2.838010812309653e-01,  1.438770412910970e+02,  1.002816897943941e+00
13          ,  8.800000000000001e-01,  5.530360904949824e-01,  1.008501871010575e+00,  5.385012857579920e+01,  1.888662464556127e+00
14          ,  2.160000000000000e+00,  2.367476702892175e+00,  2.825301840162835e-02,  4.827643554011892e+01, -4.935861427961827e+00
15          , -3.999999999999990e-02,  7.159627871515167e-01,  1.090430546512146e+00,  4.410996216887143e+01,  6.847177954695167e-01
16          ,  1.920000000000000e+00,  2.559510788096155e+00,  3.486207235630505e-01,  4.566607398343448e+02, -2.243763982709575e+00
17          ,  8.800000000000001e-01,  1.084913755302224e+00,  8.850003592734571e-01,  4.805695330271421e+01, -6.280144012585014e-01
18          ,  3.440000000000000e+00,  2.349862532275951e+00,  8.608861854787990e-01,  2.799833972586446e+02, -4.604444224868715e+00
20          ,  9.800000000000000e-01,  1.735637522932489e+00,  7.142603132610662e-01,  1.643370415287737e+01, -3.928481831741565e+00
21          ,  1.820000000000000e+00,  1.493482307082255e+00,  1.679033219987520e-01,  1.008844692462024e+02, -1.315336875774570e-01
