# c0 + a0 * ((feature_22 + feature_16) * (|feature_21 - feature_19|))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.538632597056442; Max AE: 2.14055636922971
# Coefficients
# Task   a0                      c0
# all ,  1.930439371167228e-01,  9.863621753757937e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         21|15|add|20|18|abd|mult; ((feature_22 + feature_16) * (|feature_21 - feature_19|)); $\left(\left(feature_{22} + feature_{16}\right) \left(\left|feature_{21} - feature_{19}\right|\right)\right)$; ((feature_22 + feature_16) .* abs(feature_21 - feature_19)); ((newdata$feature_22 + newdata$feature_16) * abs(newdata$feature_21 - newdata$feature_19)); feature_22,feature_16,feature_21,feature_19
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
0           ,  1.160000000000000e+00,  1.230819390805199e+00,  1.266329412260151e+00
1           ,  1.300000000000000e+00,  1.498387094982220e+00,  2.652375035724814e+00
2           ,  1.280000000000000e+00,  1.024766437864352e+00,  1.989405265047885e-01
3           ,  2.960000000000000e+00,  1.922757941294684e+00,  4.850687257547514e+00
5           ,  1.240000000000000e+00,  1.404266977601202e+00,  2.164817028015365e+00
6           ,  4.200000000000001e-01,  1.249544451900172e+00,  1.363328372054737e+00
7           ,  1.000000000000000e+00,  1.207251741415165e+00,  1.144245032185663e+00
8           ,  1.600000000000000e+00,  1.388423822903861e+00,  2.082746827137925e+00
9           ,  2.220000000000000e+00,  1.495718517420040e+00,  2.638551355986214e+00
10          ,  6.200000000000000e-01,  9.890071690315607e-01,  1.370151114441751e-02
11          ,  1.860000000000000e+00,  1.430697930115758e+00,  2.301733798929411e+00
12          ,  1.160000000000000e+00,  1.095488447173993e+00,  5.652924066308117e-01
14          ,  1.540000000000000e+00,  1.913152154549476e+00,  4.800927669711299e+00
15          ,  1.300000000000000e+00,  1.138680672321732e+00,  7.890353834517974e-01
16          ,  7.000000000000000e-01,  1.011973048702047e+00,  1.326686230542845e-01
17          ,  1.000000000000000e+00,  1.297735728083297e+00,  1.612967272415467e+00
18          ,  1.920000000000000e+00,  2.050109975453321e+00,  5.510392172712158e+00
19          ,  1.140000000000000e+00,  1.554224527297344e+00,  2.941622308387733e+00
20          ,  1.100000000000000e+00,  1.281623222868313e+00,  1.529501790641535e+00
21          ,  1.780000000000000e+00,  1.633335589179020e+00,  3.351430889083237e+00
22          ,  1.480000000000000e+00,  1.269431290725636e+00,  1.466345535517579e+00
23          ,  1.260000000000000e+00,  1.171132399345223e+00,  9.571407770123814e-01
24          ,  1.640000000000000e+00,  1.454738637928809e+00,  2.426268701046099e+00
25          ,  1.020000000000000e+00,  1.049968646191904e+00,  3.294921962643704e-01
26          ,  6.799999999999999e-01,  1.026023548175582e+00,  2.054525689444869e-01
27          ,  5.600000000000001e-01,  1.001333117749510e+00,  7.755199462526677e-02
28          ,  9.200000000000002e-01,  1.009498301005276e+00,  1.198490145561686e-01
29          ,  1.400000000000000e+00,  1.877761027571178e+00,  4.617595690956128e+00
30          , -6.000000000000000e-02,  1.193815094663683e+00,  1.074640946441403e+00
31          ,  1.360000000000000e+00,  1.119772495209641e+00,  6.910878519493817e-01
32          ,  1.620000000000000e+00,  1.330550989441583e+00,  1.782955834855762e+00
33          ,  2.800000000000000e+00,  1.710174547870491e+00,  3.749469593841992e+00
34          ,  1.500000000000000e+00,  1.429346313766040e+00,  2.294732199345887e+00
35          ,  7.800000000000002e-01,  1.372762581566250e+00,  2.001618968001164e+00
36          ,  1.660000000000000e+00,  1.628663656429548e+00,  3.327229493176939e+00
37          ,  1.140000000000000e+00,  1.145368166588296e+00,  8.236777263631951e-01
38          ,  1.960000000000000e+00,  1.328419778047383e+00,  1.771915802073422e+00
39          ,  1.140000000000000e+00,  1.021862309106730e+00,  1.838966520324920e-01
40          ,  1.220000000000000e+00,  1.386512549200736e+00,  2.072846108515671e+00
42          ,  3.660000000000000e+00,  2.515179802647253e+00,  7.919531947522754e+00
43          ,  8.000000000000003e-01,  1.167818267297349e+00,  9.399730166704937e-01
44          ,  3.840000000000000e+00,  2.094470500044564e+00,  5.740187136769592e+00
45          ,  1.260000000000000e+00,  1.019538993454349e+00,  1.718614869447813e-01
46          ,  3.200000000000000e-01,  1.098247746146802e+00,  5.795860385056144e-01
47          ,  2.600000000000001e-01,  1.000270376150117e+00,  7.204681474100742e-02
48          , -2.000000000000000e-02,  1.103223314231935e+00,  6.053603164210326e-01
49          ,  1.160000000000000e+00,  9.972972743841393e-01,  5.664564850712592e-02
50          ,  2.120000000000000e+00,  2.090430172168176e+00,  5.719257560131581e+00
51          ,  4.999999999999999e-01,  1.002879916797917e+00,  8.556467335276091e-02
52          ,  1.280000000000000e+00,  1.602523322033222e+00,  3.191818172900559e+00
53          ,  2.440000000000000e+00,  1.501283622918493e+00,  2.667379536666594e+00
54          ,  1.120000000000000e+00,  1.174677943813573e+00,  9.755072925388750e-01
55          ,  1.960000000000000e+00,  1.952873033893008e+00,  5.006688492541568e+00
56          ,  1.580000000000000e+00,  1.023756687086087e+00,  1.937098479693897e-01
57          ,  1.260000000000000e+00,  1.352213559331851e+00,  1.895171583321196e+00
58          ,  2.560000000000000e+00,  2.202339016037306e+00,  6.298964157192256e+00
59          ,  1.440000000000000e+00,  9.876082875342963e-01,  6.455070162338648e-03
61          ,  1.260000000000000e+00,  1.033483426032553e+00,  2.440959885120220e-01
62          ,  1.360000000000000e+00,  1.130215928698702e+00,  7.451865905321232e-01
63          ,  1.040000000000000e+00,  1.062721525028022e+00,  3.955542494248758e-01
64          ,  2.200000000000000e-01,  1.236943720675365e+00,  1.298054469061408e+00
65          , -3.999999999999990e-02,  1.176612836373736e+00,  9.855303608054208e-01
66          ,  1.780000000000000e+00,  1.207780617608968e+00,  1.146984699650500e+00
67          ,  6.799999999999999e-01,  1.327821320228370e+00,  1.768815690109529e+00
68          ,  3.940000000000000e+00,  2.785857103921880e+00,  9.321685805952212e+00
69          ,  9.000000000000001e-01,  1.269348143188320e+00,  1.465914817316538e+00
70          ,  1.620000000000000e+00,  1.550355499783200e+00,  2.921580096381850e+00
71          ,  1.260000000000000e+00,  1.046765100828273e+00,  3.128972935107370e-01
72          ,  1.860000000000000e+00,  1.615665377430378e+00,  3.259896225977196e+00
74          ,  1.400000000000000e+00,  1.482427985492864e+00,  2.569704169559737e+00
75          ,  1.260000000000000e+00,  2.020148315971586e+00,  5.355185747018410e+00
76          ,  8.400000000000000e-01,  1.404210998056538e+00,  2.164527044576878e+00
77          ,  9.600000000000000e-01,  9.602595004181342e-01, -1.352162380623057e-01
78          ,  1.300000000000000e+00,  1.445727279619673e+00,  2.379588352293745e+00
79          ,  1.920000000000000e+00,  1.858206296051659e+00,  4.516298899087984e+00
80          ,  1.540000000000000e+00,  1.413122674463435e+00,  2.210691024342316e+00
83          ,  8.400000000000000e-01,  1.552731384565596e+00,  2.933887578387663e+00
84          ,  9.800000000000000e-01,  1.022955789340956e+00,  1.895610632051950e-01
85          ,  1.240000000000000e+00,  1.836472623396650e+00,  4.403714826365372e+00
86          ,  1.640000000000000e+00,  1.264793901444964e+00,  1.442323080578379e+00
87          ,  2.080000000000000e+00,  2.560420315082359e+00,  8.153885396332448e+00
88          ,  1.460000000000000e+00,  1.375005764635455e+00,  2.013239032856395e+00
89          ,  2.100000000000000e+00,  1.530030817371810e+00,  2.816294829644356e+00
90          ,  4.000000000000000e-01,  1.093196357356768e+00,  5.534189966110047e-01
91          ,  1.320000000000001e+00,  2.589911877412455e+00,  8.306656639866837e+00
92          ,  3.600000000000000e-01,  1.009200761707951e+00,  1.183077110489521e-01
93          ,  1.380000000000000e+00,  1.057128098700039e+00,  3.665793620933906e-01
94          ,  1.720000000000000e+00,  1.453450301280671e+00,  2.419594900939341e+00
95          ,  5.199999999999999e-01,  1.117996039287480e+00,  6.818855120639961e-01
96          ,  1.600000000000000e+00,  1.419615749191933e+00,  2.244326241409881e+00
97          ,  2.400000000000000e-01,  1.145960284442801e+00,  8.267449962466715e-01
98          ,  1.580000000000000e+00,  1.143223339502488e+00,  8.125671620127010e-01
99          ,  9.800000000000000e-01,  1.173248518937803e+00,  9.681026317289066e-01
100         ,  2.320000000000000e+00,  2.090533224441353e+00,  5.719791388205731e+00
102         ,  1.640000000000000e+00,  1.058287666171213e+00,  3.725861162473609e-01
103         ,  2.160000000000000e+00,  2.096007828319765e+00,  5.748150755302048e+00
104         ,  1.240000000000000e+00,  1.612461667631641e+00,  3.243300471422112e+00
105         ,  1.680000000000000e+00,  2.335252428108794e+00,  6.987477943518123e+00
106         ,  1.660000000000000e+00,  1.707893740843923e+00,  3.737654630571797e+00
107         ,  1.240000000000000e+00,  1.414613416403693e+00,  2.218413317839449e+00
108         ,  3.440000000000000e+00,  2.770467932719501e+00,  9.241967315787594e+00
109         ,  3.800000000000000e+00,  4.118972624110729e+00,  1.622744798683225e+01
110         ,  7.400000000000001e-01,  1.008315849035472e+00,  1.137237148577450e-01
111         ,  1.160000000000000e+00,  1.284640167770750e+00,  1.545130071682096e+00
112         ,  6.400000000000000e-01,  1.500901714290910e+00,  2.665401185865800e+00
115         ,  1.460000000000000e+00,  9.920827247947670e-01,  2.963340628260396e-02
116         ,  2.040000000000000e+00,  1.897605513819980e+00,  4.720393460962250e+00
117         ,  1.780000000000000e+00,  2.156468422700159e+00,  6.061346783540102e+00
119         ,  1.400000000000000e+00,  1.498129661442270e+00,  2.651041486773241e+00
120         ,  1.520000000000000e+00,  1.307254359209811e+00,  1.662275379516280e+00
122         ,  2.200000000000000e+00,  1.736693302283993e+00,  3.886841193331631e+00
123         ,  1.420000000000000e+00,  1.023723655127749e+00,  1.935387368802184e-01
124         ,  2.200000000000000e-01,  1.076965007808296e+00,  4.693378812395445e-01
125         ,  1.020000000000000e+00,  1.649350377834059e+00,  3.434390182673253e+00
126         ,  1.220000000000000e+00,  1.004974168846964e+00,  9.641325052294335e-02
127         ,  8.200000000000000e-01,  1.027195745192748e+00,  2.115247462667751e-01
128         ,  6.799999999999999e-01,  9.975767434193034e-01,  5.809334502294599e-02
129         ,  1.620000000000000e+00,  1.629263341611898e+00,  3.330335963088955e+00
131         ,  1.680000000000000e+00,  1.361132023192469e+00,  1.941370723236300e+00
132         ,  9.600000000000000e-01,  1.361896715522404e+00,  1.945331957872087e+00
133         ,  1.700000000000000e+00,  1.330875156461335e+00,  1.784635074435068e+00
134         ,  4.999999999999999e-01,  1.082398627683067e+00,  4.974849443171343e-01
135         ,  1.280000000000000e+00,  1.345957975201854e+00,  1.862766607420742e+00
136         ,  7.600000000000002e-01,  1.119889724977217e+00,  6.916951218244526e-01
137         ,  1.220000000000000e+00,  9.989209644186257e-01,  6.505663544998193e-02
138         ,  1.080000000000000e+00,  1.728349250205491e+00,  3.843617602872759e+00
139         ,  9.000000000000001e-01,  9.865278414129764e-01,  8.581778824916344e-04
141         ,  1.380000000000000e+00,  2.282019455759422e+00,  6.711722210681071e+00
142         ,  1.700000000000000e+00,  1.457022244695313e+00,  2.438098167439144e+00
143         ,  1.380000000000000e+00,  1.433356952999134e+00,  2.315507983827890e+00
144         ,  1.840000000000000e+00,  1.081048025497623e+00,  4.904885982747979e-01
145         ,  1.400000000000000e+00,  1.508845930358196e+00,  2.706553558667248e+00
146         ,  1.360000000000000e+00,  2.104673069221481e+00,  5.793038157782222e+00
147         ,  1.180000000000000e+00,  1.062120075562708e+00,  3.924386402309430e-01
148         ,  9.200000000000002e-01,  1.138360741594764e+00,  7.873780885802431e-01
149         ,  1.840000000000000e+00,  1.044989772734496e+00,  3.037007959657043e-01
150         ,  2.920000000000000e+00,  2.756971718797174e+00,  9.172054662098983e+00
152         ,  1.020000000000000e+00,  1.056231518652394e+00,  3.619349269402562e-01
153         ,  2.040000000000000e+00,  1.687143893949704e+00,  3.630166940442100e+00
154         ,  1.160000000000000e+00,  1.547079937589851e+00,  2.904612134361011e+00
155         ,  7.000000000000000e-01,  1.255893274920378e+00,  1.396216341058220e+00
156         ,  2.080000000000000e+00,  1.964641517512921e+00,  5.067651213234514e+00
157         ,  2.200000000000000e+00,  1.744798145150223e+00,  3.928825639915572e+00
159         ,  1.140000000000000e+00,  1.297629964273201e+00,  1.612419398124899e+00
160         ,  8.600000000000001e-01,  1.004182440998744e+00,  9.231196736406712e-02
161         ,  1.680000000000000e+00,  1.228835894173482e+00,  1.256054566743932e+00
162         ,  5.400000000000000e-01,  9.941798911852998e-01,  4.049708023090684e-02
163         ,  1.500000000000000e+00,  1.096898249983847e+00,  5.725954218454335e-01
164         ,  9.800000000000000e-01,  9.946717129611548e-01,  4.304479959055499e-02
165         ,  2.440000000000000e+00,  1.168627424256468e+00,  9.441645855496027e-01
167         ,  1.600000000000000e+00,  9.703755147595784e-01, -8.281358562713706e-02
168         ,  4.000000000000000e-01,  9.900147991458668e-01,  1.892120428451708e-02
169         ,  6.200000000000000e-01,  1.008318953250052e+00,  1.137397952103639e-01
170         ,  4.180000000000000e+00,  2.039443630770287e+00,  5.455138716725169e+00
171         ,  2.240000000000000e+00,  1.409631342314109e+00,  2.192605337728831e+00
173         ,  2.620000000000001e+00,  2.916123570347163e+00,  9.996487969495520e+00
175         ,  6.000000000000000e-01,  1.172164193722816e+00,  9.624856450926930e-01
177         ,  4.399999999999999e-01,  1.190402193112203e+00,  1.056961543490682e+00
178         ,  1.440000000000000e+00,  1.774502482020392e+00,  4.082699091285389e+00
179         ,  1.000000000000000e+00,  1.416126844871548e+00,  2.226253131357862e+00
180         ,  1.360000000000000e+00,  1.008302450224152e+00,  1.136543067658823e-01
181         ,  1.880000000000000e+00,  1.999192841196852e+00,  5.246632869949480e+00
183         ,  2.060000000000000e+00,  1.027426934543422e+00,  2.127223459123644e-01
184         ,  1.460000000000000e+00,  1.493716994475959e+00,  2.628183131145922e+00
185         ,  2.220000000000000e+00,  1.954475979851207e+00,  5.014992021687007e+00
186         ,  1.660000000000000e+00,  1.287024222887440e+00,  1.557479877391087e+00
187         ,  1.080000000000000e+00,  1.147202388248300e+00,  8.331793024675780e-01
188         ,  1.960000000000000e+00,  1.633263918985365e+00,  3.351059625449031e+00
189         ,  1.380000000000000e+00,  1.079269872619736e+00,  4.812774678738861e-01
190         ,  1.100000000000000e+00,  1.346250748669306e+00,  1.864283223129190e+00
191         ,  2.280000000000000e+00,  1.189154604692734e+00,  1.050498826048721e+00
192         ,  2.080000000000000e+00,  2.020571983848410e+00,  5.357380417740277e+00
193         ,  1.160000000000000e+00,  1.087721253218773e+00,  5.250570380860657e-01
195         ,  1.900000000000000e+00,  1.356473048255607e+00,  1.917236450974518e+00
196         ,  3.000000000000000e+00,  3.091174612221856e+00,  1.090328175172578e+01
197         ,  2.620000000000001e+00,  3.275993157484461e+00,  1.186067284114837e+01
198         ,  1.760000000000000e+00,  1.775572401913442e+00,  4.088241455935792e+00
199         ,  1.600000000000000e+00,  1.363719109650613e+00,  1.954772265376315e+00
200         ,  1.260000000000000e+00,  2.239566481746921e+00,  6.491808678836595e+00
201         ,  1.360000000000000e+00,  1.152843676947092e+00,  8.624021249143703e-01
202         ,  5.800000000000001e-01,  9.873276007542641e-01,  5.001065523682100e-03
203         ,  1.280000000000000e+00,  1.364684189307739e+00,  1.959771540005401e+00
204         ,  2.480000000000000e+00,  2.417482672474188e+00,  7.413444413087555e+00
205         ,  1.600000000000000e+00,  1.748048588512255e+00,  3.945663482173553e+00
206         ,  8.600000000000001e-01,  1.002465690402805e+00,  8.341891109107524e-02
207         ,  1.640000000000000e+00,  1.847558441324729e+00,  4.461141224177468e+00
208         ,  1.460000000000000e+00,  1.081323688839675e+00,  4.919165806614442e-01
209         ,  1.360000000000000e+00,  1.345749370077306e+00,  1.861685997857636e+00
210         ,  1.420000000000000e+00,  1.510058357792960e+00,  2.712834136306065e+00
211         ,  2.920000000000000e+00,  1.895468515693070e+00,  4.709323451933076e+00
212         ,  1.680000000000000e+00,  1.488530860229218e+00,  2.601318085166232e+00
213         ,  1.380000000000000e+00,  1.175176804395758e+00,  9.780914740968961e-01
214         ,  1.440000000000000e+00,  1.112319063366071e+00,  6.524778238133353e-01
