# c0 + a0 * ((feature_28 * feature_2) - cbrt(feature_1)) + a1 * ((feature_21 / feature_9) * (feature_20 + feature_18))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.499845776841448; Max AE: 1.83190401070012
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.451907979813562e+00,  2.419413346317459e-01,  1.172469868934732e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         27|1|mult|0|cbrt|sub; ((feature_28 * feature_2) - cbrt(feature_1)); $\left(\left(feature_{28} feature_{2}\right) - \left(\sqrt[3]{ feature_{1} }\right)\right)$; ((feature_28 .* feature_2) - nthroot(feature_1, 3)); ((newdata$feature_28 * newdata$feature_2) - nthroot(newdata$feature_1, 3)); feature_28,feature_2,feature_1
# 1;  2; Unitless;                                         20|8|div|19|17|add|mult; ((feature_21 / feature_9) * (feature_20 + feature_18)); $\left(\left(\frac{ feature_{21} }{ feature_{9} } \right) \left(feature_{20} + feature_{18}\right)\right)$; ((feature_21 ./ feature_9) .* (feature_20 + feature_18)); ((newdata$feature_21 / newdata$feature_9) * (newdata$feature_20 + newdata$feature_18)); feature_21,feature_9,feature_20,feature_18
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
0           ,  1.160000000000000e+00,  1.311111959628051e+00,  0.000000000000000e+00,  5.730401169537406e-01
1           ,  1.300000000000000e+00,  1.430026539934986e+00,  0.000000000000000e+00,  1.064541829498776e+00
2           ,  1.280000000000000e+00,  1.031938217977653e+00, -4.785264807562019e-02, -2.936828031846042e-01
3           ,  2.960000000000000e+00,  2.057355490806205e+00,  0.000000000000000e+00,  3.657438788697850e+00
5           ,  1.240000000000000e+00,  1.166309386998319e+00, -1.747479716067814e-01,  1.023212891143671e+00
6           ,  4.200000000000001e-01,  1.208536955642722e+00,  0.000000000000000e+00,  1.490736866558467e-01
7           ,  1.000000000000000e+00,  1.130444262790461e+00,  0.000000000000000e+00, -1.737016380778287e-01
8           ,  1.600000000000000e+00,  1.942372742589520e+00,  0.000000000000000e+00,  3.182188255787885e+00
9           ,  2.220000000000000e+00,  1.634804226031559e+00,  1.422779611168556e-01,  1.057115148963480e+00
10          ,  6.200000000000000e-01,  7.980296779264953e-01, -2.214203894498933e-01, -2.188884373689857e-01
11          ,  1.860000000000000e+00,  1.247221460291222e+00, -8.354780826255612e-02,  8.103423962971881e-01
12          ,  1.160000000000000e+00,  1.235678482074493e+00,  0.000000000000000e+00,  2.612559496539506e-01
14          ,  1.540000000000000e+00,  1.911943081267046e+00,  0.000000000000000e+00,  3.056415363905684e+00
15          ,  1.300000000000000e+00,  9.921150473198517e-01, -1.393351207931844e-01,  9.071187511813984e-02
16          ,  7.000000000000000e-01,  1.138747374681008e+00,  0.000000000000000e+00, -1.393829388642995e-01
17          ,  1.000000000000000e+00,  9.890473877291905e-01, -1.896824826536801e-01,  3.801707927675275e-01
18          ,  1.920000000000000e+00,  2.066039812923978e+00,  0.000000000000000e+00,  3.693333118746870e+00
19          ,  1.140000000000000e+00,  1.329062144435955e+00, -6.227893895013567e-02,  1.020972973936945e+00
20          ,  1.100000000000000e+00,  1.392781638686619e+00,  0.000000000000000e+00,  9.105999604706635e-01
21          ,  1.780000000000000e+00,  1.516451550822499e+00,  0.000000000000000e+00,  1.421756569258144e+00
22          ,  1.480000000000000e+00,  1.199065094554882e+00,  0.000000000000000e+00,  1.099242742486728e-01
23          ,  1.260000000000000e+00,  1.186494843265043e+00,  0.000000000000000e+00,  5.796849203819608e-02
24          ,  1.640000000000000e+00,  1.425890801558965e+00, -7.803995322089179e-02,  1.515771432806686e+00
25          ,  1.020000000000000e+00,  1.183779279899960e+00,  0.000000000000000e+00,  4.674443489551688e-02
26          ,  6.799999999999999e-01,  5.822137477058101e-01, -3.963958728345513e-01, -6.086512797694739e-02
27          ,  5.600000000000001e-01,  9.234875280180121e-01, -1.615140582986948e-01, -5.984422150439737e-02
28          ,  9.200000000000002e-01,  1.383752459496827e+00,  1.338629578959542e-01,  6.995866918430864e-02
29          ,  1.400000000000000e+00,  2.098864307934532e+00,  0.000000000000000e+00,  3.829004417165208e+00
30          , -6.000000000000000e-02,  1.235083981645663e+00, -5.910651735048606e-02,  6.135013561738645e-01
31          ,  1.360000000000000e+00,  9.917090823832880e-01, -1.378800958565351e-01,  8.030221421110233e-02
32          ,  1.620000000000000e+00,  1.123199530704497e+00, -1.435218439493095e-01,  6.576394749557916e-01
33          ,  2.800000000000000e+00,  2.586411025822883e+00,  6.262024312551531e-01,  2.086261327517330e+00
34          ,  1.500000000000000e+00,  1.356513675464705e+00,  0.000000000000000e+00,  7.606960043024587e-01
35          ,  7.800000000000002e-01,  1.243645945061065e+00, -8.583366406852175e-02,  8.092815484467661e-01
36          ,  1.660000000000000e+00,  1.461534180152945e+00,  0.000000000000000e+00,  1.194770259733386e+00
37          ,  1.140000000000000e+00,  1.194546947614125e+00, -3.397956877622649e-02,  2.951636430579957e-01
38          ,  1.960000000000000e+00,  1.338248634206936e+00,  0.000000000000000e+00,  6.852023261115451e-01
39          ,  1.140000000000000e+00,  1.126555562209308e+00,  0.000000000000000e+00, -1.897745451198262e-01
40          ,  1.220000000000000e+00,  1.190429304697781e+00, -1.534938222354395e-01,  9.953584057280354e-01
42          ,  3.660000000000000e+00,  2.608250338000848e+00, -4.161017116353577e-02,  6.184121497458010e+00
43          ,  8.000000000000003e-01,  1.199580426034522e+00,  0.000000000000000e+00,  1.120542595214439e-01
44          ,  3.840000000000000e+00,  3.361396758985147e+00,  1.018321153291380e+00,  2.936324554276869e+00
45          ,  1.260000000000000e+00,  1.125270803876812e+00,  0.000000000000000e+00, -1.950847511433305e-01
46          ,  3.200000000000000e-01,  8.600806157471600e-01, -2.205352386055306e-01,  3.227071383139208e-02
47          ,  2.600000000000001e-01,  1.151062691531765e+00,  0.000000000000000e+00, -8.848086018683170e-02
48          , -2.000000000000000e-02,  1.220569256646155e+00,  0.000000000000000e+00,  1.988059947864393e-01
49          ,  1.160000000000000e+00,  1.182277458236780e+00,  0.000000000000000e+00,  4.053705546832716e-02
50          ,  2.120000000000000e+00,  1.985926669387297e+00,  0.000000000000000e+00,  3.362206799804226e+00
51          ,  4.999999999999999e-01,  9.055769748665583e-01, -1.354679032043685e-01, -2.901776354338074e-01
52          ,  1.280000000000000e+00,  1.584458589623671e+00,  0.000000000000000e+00,  1.702845532021302e+00
53          ,  2.440000000000000e+00,  1.907045783616132e+00,  0.000000000000000e+00,  3.036173689789238e+00
