# c0 + a0 * ((feature_27 + feature_2) - (feature_15 / feature_5)) + a1 * ((|feature_20 - feature_9|) * (feature_6 * feature_5)) + a2 * ((feature_22 * feature_16) + (|feature_21 - feature_19|))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.469389284396825; Max AE: 2.05593259845243
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  3.250720810490258e+00,  3.472381857569687e-06,  3.957339791577962e-01, -2.077614414795649e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         26|1|add|14|4|div|sub; ((feature_27 + feature_2) - (feature_15 / feature_5)); $\left(\left(feature_{27} + feature_{2}\right) - \left(\frac{ feature_{15} }{ feature_{5} } \right)\right)$; ((feature_27 + feature_2) - (feature_15 ./ feature_5)); ((newdata$feature_27 + newdata$feature_2) - (newdata$feature_15 / newdata$feature_5)); feature_27,feature_2,feature_15,feature_5
# 1;  2; Unitless;                                         19|8|abd|5|4|mult|mult; ((|feature_20 - feature_9|) * (feature_6 * feature_5)); $\left(\left(\left|feature_{20} - feature_{9}\right|\right) \left(feature_{6} feature_{5}\right)\right)$; (abs(feature_20 - feature_9) .* (feature_6 .* feature_5)); (abs(newdata$feature_20 - newdata$feature_9) * (newdata$feature_6 * newdata$feature_5)); feature_20,feature_9,feature_6,feature_5
# 2;  2; Unitless;                                         21|15|mult|20|18|abd|add; ((feature_22 * feature_16) + (|feature_21 - feature_19|)); $\left(\left(feature_{22} feature_{16}\right) + \left(\left|feature_{21} - feature_{19}\right|\right)\right)$; ((feature_22 .* feature_16) + abs(feature_21 - feature_19)); ((newdata$feature_22 * newdata$feature_16) + abs(newdata$feature_21 - newdata$feature_19)); feature_22,feature_16,feature_21,feature_19
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
0           ,  1.160000000000000e+00,  1.441815837313456e+00,  8.355736636928149e-01,  9.731402200584635e+04,  1.175795192859872e+00
1           ,  1.300000000000000e+00,  1.371046632522877e+00,  7.988743131054098e-01,  3.761407701005442e+04,  1.822267715490187e+00
2           ,  1.280000000000000e+00,  6.877046019600450e-01,  7.773173047281212e-01,  4.686259779766690e+04,  1.914231466598010e-01
3           ,  2.960000000000000e+00,  2.267204257198422e+00,  7.813936428634481e-01,  1.664826938821097e+05,  3.099644394267166e+00
5           ,  1.240000000000000e+00,  1.280717974328883e+00,  7.881205446516195e-01,  5.853883974130134e+04,  1.498742487647810e+00
6           ,  4.200000000000001e-01,  1.287661732699468e+00,  8.044420562717923e-01,  7.896199173645773e+04,  1.203013771546144e+00
7           ,  1.000000000000000e+00,  1.817985825359015e+00,  9.707817033262043e-01,  8.189365103499753e+04,  1.151010402428190e+00
8           ,  1.600000000000000e+00,  1.389176215436448e+00,  8.192059132649959e-01,  1.251893177967310e+04,  1.921266427348762e+00
9           ,  2.220000000000000e+00,  1.656505685609927e+00,  9.863439246940442e-01,  1.258843475434738e+04,  1.223244783468017e+00
10          ,  6.200000000000000e-01,  8.350992692585537e-01,  7.990757591080909e-01,  9.788037174933749e+04, -6.250800692927372e-02
11          ,  1.860000000000000e+00,  1.499138466448424e+00,  7.874123166550597e-01,  6.425751256971344e+04,  2.006319138647700e+00
12          ,  1.160000000000000e+00,  1.193763914581290e+00,  8.033271429899732e-01,  8.671375939921460e+04,  9.068788681023325e-01
14          ,  1.540000000000000e+00,  1.589181878223447e+00,  7.805399981002759e-01,  1.100586871908517e+04,  2.757564819755913e+00
15          ,  1.300000000000000e+00,  1.422330786242500e+00,  8.527213960762867e-01,  1.251469018813807e+05,  7.414783594352304e-01
16          ,  7.000000000000000e-01,  8.551611083107751e-01,  7.938686595012371e-01,  2.903890317750236e+04,  6.350124162885281e-01
17          ,  1.000000000000000e+00,  1.374084332328362e+00,  8.421841828371265e-01,  4.533008121208435e+04,  1.406474488976579e+00
18          ,  1.920000000000000e+00,  2.161346626634602e+00,  7.960758067878505e-01,  3.335692186031750e+04,  3.879658963206777e+00
19          ,  1.140000000000000e+00,  1.368332525581980e+00,  7.887479575310460e-01,  5.251848339702460e+04,  1.767812087184746e+00
20          ,  1.100000000000000e+00,  1.446522492321935e+00,  7.914591283502049e-01,  8.785415192599762e+04,  1.633069482818900e+00
21          ,  1.780000000000000e+00,  1.493698538782906e+00,  7.934474616510624e-01,  2.898538390064974e+04,  2.252494108958058e+00
22          ,  1.480000000000000e+00,  1.817445496571224e+00,  9.611211455466595e-01,  1.118133146906237e+05,  9.664696410038460e-01
23          ,  1.260000000000000e+00,  1.180869674879115e+00,  8.317285502332114e-01,  6.739581712961959e+04,  8.105009601611751e-01
24          ,  1.640000000000000e+00,  1.333745244246104e+00,  7.770718673821090e-01,  6.561971018344819e+04,  1.661366756414064e+00
25          ,  1.020000000000000e+00,  1.459892799428928e+00,  8.033314568696519e-01,  2.043178313280282e+05,  5.474167253379409e-01
26          ,  6.799999999999999e-01,  6.123680559550315e-01,  7.486633071220735e-01,  4.274116442826172e+04,  2.725907806450563e-01
27          ,  5.600000000000001e-01,  9.210190821230707e-01,  7.809454463467403e-01,  1.111683600547555e+05,  1.869409500526154e-01
28          ,  9.200000000000002e-01,  1.384289456460539e+00,  9.312532280731017e-01,  9.982643979653988e+04,  2.224325155367797e-01
29          ,  1.400000000000000e+00,  2.011627211014603e+00,  8.054152308777680e-01,  3.867939926455745e+04,  3.377905360280200e+00
30          , -6.000000000000000e-02,  8.769985752838360e-01,  7.817056656542982e-01,  8.887911711375407e+02,  1.037110570071720e+00
31          ,  1.360000000000000e+00,  1.368380064712532e+00,  8.550357417044444e-01,  1.156627488742906e+05,  6.693556363610218e-01
32          ,  1.620000000000000e+00,  1.178788923182084e+00,  7.954271119595367e-01,  3.127377250682258e+04,  1.420392034134925e+00
33          ,  2.800000000000000e+00,  2.073732638403369e+00,  9.832768796078567e-01,  5.152473324751084e+03,  2.367997525215533e+00
34          ,  1.500000000000000e+00,  1.317388145926341e+00,  7.904822401998740e-01,  4.041989166834592e+04,  1.730991599773799e+00
35          ,  7.800000000000002e-01,  1.255074773672023e+00,  8.215886450144662e-01,  9.468814577002417e+03,  1.589589410152592e+00
36          ,  1.660000000000000e+00,  1.874207912273862e+00,  9.545092358776162e-01,  3.409695681332336e+04,  1.846143304436223e+00
37          ,  1.140000000000000e+00,  1.057962104420010e+00,  7.878022140127880e-01,  6.855081739071589e+04,  8.506139747243462e-01
38          ,  1.960000000000000e+00,  1.982711888313708e+00,  9.622641334786510e-01,  9.339074420320410e+04,  1.536350087196740e+00
39          ,  1.140000000000000e+00,  7.172185996330926e-01,  7.785477401806351e-01,  3.251470260125848e+04,  3.817923605348521e-01
40          ,  1.220000000000000e+00,  1.694810793558549e+00,  7.988474380051922e-01,  1.212416188301668e+05,  1.906831506411414e+00
42          ,  3.660000000000000e+00,  3.035662168803168e+00,  7.900364789519805e-01,  3.651580333709543e+05,  3.227219540050653e+00
43          ,  8.000000000000003e-01,  1.074666061522026e+00,  7.926107743834626e-01,  7.686201071699405e+04,  7.803976967502058e-01
44          ,  3.840000000000000e+00,  2.844582512299596e+00,  1.047586512249401e+00,  1.004630371449460e+05,  2.951325094409045e+00
45          ,  1.260000000000000e+00,  7.395040624884760e-01,  7.809210839759271e-01,  4.714499534754518e+04,  2.902369717591201e-01
46          ,  3.200000000000000e-01,  8.912878064770493e-01,  7.739032499916085e-01,  6.176314378431314e+04,  6.031668086319109e-01
47          ,  2.600000000000001e-01,  1.076948676424395e+00,  8.501357916686072e-01,  1.005138216527899e+05,  1.060980683223255e-01
48          , -2.000000000000000e-02,  7.445523604076565e-01,  7.812814559923049e-01,  8.661602224983955e+03,  6.377074252571171e-01
49          ,  1.160000000000000e+00,  1.155031688095328e+00,  9.464134255866932e-01,  2.461951811175905e+04,  1.784833264150808e-01
50          ,  2.120000000000000e+00,  1.754515422912142e+00,  7.912997518613326e-01,  2.554429104167767e+04,  2.959401506818287e+00
51          ,  4.999999999999999e-01,  9.595248643950611e-01,  8.405476571614436e-01,  6.730102474510392e+04,  1.795616860539871e-01
52          ,  1.280000000000000e+00,  1.859968612527085e+00,  9.426268694531055e-01,  1.187717420015364e+04,  2.102736196227993e+00
53          ,  2.440000000000000e+00,  1.929673797817921e+00,  8.393364452896882e-01,  1.285092395852220e+05,  2.103955320221985e+00
54          ,  1.120000000000000e+00,  9.763438056209331e-01,  8.278999039846470e-01,  1.736316580856708e+04,  7.641376467866645e-01
55          ,  1.960000000000000e+00,  1.898212062733347e+00,  8.221897349956286e-01,  1.627395459546930e+04,  3.150115675616368e+00
56          ,  1.580000000000000e+00,  8.105259350073346e-01,  7.927343903741777e-01,  6.639102481151087e+04,  2.037913952524895e-01
57          ,  1.260000000000000e+00,  1.298692385483742e+00,  8.215073915837513e-01,  1.923589464368123e+04,  1.614774794602298e+00
58          ,  2.560000000000000e+00,  1.887383090831501e+00,  8.670479998238613e-01,  6.892332067513043e+03,  2.836586644561523e+00
59          ,  1.440000000000000e+00,  8.821465915111067e-01,  8.283309950143396e-01,  6.942622057833390e+04,  6.573570993086077e-02
61          ,  1.260000000000000e+00,  1.019973822847506e+00,  8.593435765743176e-01,  4.590115956430197e+04,  3.656896900978376e-01
62          ,  1.360000000000000e+00,  9.315014933298688e-01,  7.895473964245386e-01,  3.429904267476711e+04,  8.172620983224642e-01
63          ,  1.040000000000000e+00,  8.398310761138806e-01,  7.992049965763381e-01,  1.526751249067715e+04,  6.732768913986675e-01
64          ,  2.200000000000000e-01,  8.042830277939914e-01,  7.666865351944439e-01,  1.596268907474796e+04,  8.444688431365548e-01
65          , -3.999999999999990e-02,  8.905626643115256e-01,  7.838052429330462e-01,  2.030776827982910e+04,  8.837470543596905e-01
66          ,  1.780000000000000e+00,  1.276071351428328e+00,  8.002322241229517e-01,  7.401194940310386e+04,  1.251741062888032e+00
67          ,  6.799999999999999e-01,  1.079361410873639e+00,  7.739308512283138e-01,  2.910932915378560e+04,  1.364714741985783e+00
68          ,  3.940000000000000e+00,  3.911627825780868e+00,  7.915327725397849e-01,  4.754533061808827e+05,  4.460660047310443e+00
69          ,  9.000000000000001e-01,  9.364783291707003e-01,  7.745022570374099e-01,  7.965854388602981e+03,  1.184486740263544e+00
70          ,  1.620000000000000e+00,  1.681362429058254e+00,  8.167622922529124e-01,  7.398679488704544e+04,  2.140327350056520e+00
71          ,  1.260000000000000e+00,  1.591042618898454e+00,  9.385028718692910e-01,  1.029976103448814e+05,  6.575103417272553e-01
72          ,  1.860000000000000e+00,  1.481731317349387e+00,  7.913210835880121e-01,  8.763922440020955e+03,  2.417154409382899e+00
74          ,  1.400000000000000e+00,  1.219124676139343e+00,  7.952147763001698e-01,  1.540317735310349e+03,  1.784959934325050e+00
75          ,  1.260000000000000e+00,  1.985112290936298e+00,  7.937758472619638e-01,  1.287121005013666e+04,  3.632969013602475e+00
76          ,  8.400000000000000e-01,  1.470907589292502e+00,  8.003266085162970e-01,  7.280842454244391e+04,  1.753867564298711e+00
77          ,  9.600000000000000e-01,  1.524411499995663e+00,  9.762324680693941e-01,  4.016583909813399e+04,  7.305301015563475e-01
78          ,  1.300000000000000e+00,  1.283159713676479e+00,  7.888724412512458e-01,  3.585571885198415e+04,  1.697770104736947e+00
79          ,  1.920000000000000e+00,  1.963979790168865e+00,  8.157410344151703e-01,  1.536768435243442e+04,  3.377231803360271e+00
80          ,  1.540000000000000e+00,  1.560425461138615e+00,  8.044192457188521e-01,  7.282406214220688e+04,  1.946318946326484e+00
83          ,  8.400000000000000e-01,  1.879811109799652e+00,  8.732177850874943e-01,  2.184810367568918e+04,  2.635541537057476e+00
84          ,  9.800000000000000e-01,  6.904783167822311e-01,  7.739140217127952e-01,  3.279473929775522e+04,  3.498270686769439e-01
85          ,  1.240000000000000e+00,  1.797276128134109e+00,  8.123578981172614e-01,  6.545860143217519e+03,  3.061177851162770e+00
86          ,  1.640000000000000e+00,  1.341448176807852e+00,  8.421070807698505e-01,  1.624008679850266e+04,  1.579889091277576e+00
87          ,  2.080000000000000e+00,  2.233385332925752e+00,  8.285870273542261e-01,  1.069940988830517e+04,  3.993445852638686e+00
88          ,  1.460000000000000e+00,  1.634078606621209e+00,  8.077997736065510e-01,  9.974406822739837e+04,  1.868457177484063e+00
89          ,  2.100000000000000e+00,  1.608498269475795e+00,  7.856985189293642e-01,  7.720545983486819e+04,  2.183131511272058e+00
90          ,  4.000000000000000e-01,  1.004257396674348e+00,  7.936676621343324e-01,  8.422484585599022e+04,  5.291913504509129e-01
91          ,  1.320000000000001e+00,  2.260233425176108e+00,  7.921814916998847e-01,  4.290474904157269e+04,  4.077752712760444e+00
92          ,  3.600000000000000e-01,  7.849654917660867e-01,  7.702916193924828e-01,  7.596636447143400e+04,  2.395363766385574e-01
93          ,  1.380000000000000e+00,  9.654340505971956e-01,  7.745572602956472e-01,  2.344766447975658e+04,  1.121358890222137e+00
94          ,  1.720000000000000e+00,  1.372598032800464e+00,  7.823993517019223e-01,  3.331085439428771e+04,  1.999278879538012e+00
95          ,  5.199999999999999e-01,  7.750821587570225e-01,  7.732700810361507e-01,  4.115952701799726e+04,  4.955092169058747e-01
96          ,  1.600000000000000e+00,  1.250547528522209e+00,  7.904740584419080e-01,  2.506133324685965e+04,  1.696920122766068e+00
97          ,  2.400000000000000e-01,  8.612835697025973e-01,  7.808342800132423e-01,  1.393444067062558e+03,  1.000129359271420e+00
98          ,  1.580000000000000e+00,  1.026557084160706e+00,  7.863498966976041e-01,  4.043969792920896e+04,  1.029847001985895e+00
99          ,  9.800000000000000e-01,  1.015951132245629e+00,  7.842029791913918e-01,  6.810354515542439e+04,  7.779445398059481e-01
100         ,  2.320000000000000e+00,  1.922378355199986e+00,  7.974889262875914e-01,  1.614011311476985e+04,  3.415259635006642e+00
102         ,  1.640000000000000e+00,  1.336206564298431e+00,  9.384337991359156e-01,  4.078510672021389e+04,  5.600055744842767e-01
103         ,  2.160000000000000e+00,  1.788348781515376e+00,  8.132596929057758e-01,  4.186232924389410e+03,  3.051915813651958e+00
104         ,  1.240000000000000e+00,  1.215844466876561e+00,  7.801286382937782e-01,  3.452058404115718e+03,  1.883820082682909e+00
105         ,  1.680000000000000e+00,  2.366717696204085e+00,  7.768189823777224e-01,  6.613323847516382e+04,  4.269207878314270e+00
106         ,  1.660000000000000e+00,  1.724041865951872e+00,  8.223786345158068e-01,  5.590016740083299e+03,  2.802191181744529e+00
107         ,  1.240000000000000e+00,  1.509001713880507e+00,  8.032729523261987e-01,  9.522416848753383e+04,  1.629239299489302e+00
108         ,  3.440000000000000e+00,  3.178753194920856e+00,  7.898844021539605e-01,  2.375483722801336e+05,  4.709768141514682e+00
109         ,  3.800000000000000e+00,  3.622719122524831e+00,  7.970729239937848e-01,  5.247161593833263e+04,  7.396560979735290e+00
110         ,  7.400000000000001e-01,  7.391264905694881e-01,  7.841470147302791e-01,  3.364016700280003e+04,  3.812823473803996e-01
111         ,  1.160000000000000e+00,  1.420009671191977e+00,  8.536712109732401e-01,  5.192548001688731e+04,  1.370294816629914e+00
112         ,  6.400000000000000e-01,  1.330835812513589e+00,  7.965886660979555e-01,  1.863466908123869e+04,  1.905967710403953e+00
115         ,  1.460000000000000e+00,  1.026599199167974e+00,  8.616340236754975e-01,  5.124350038135207e+04,  3.167404563020227e-01
116         ,  2.040000000000000e+00,  1.811646416762151e+00,  8.029275865927957e-01,  1.378432001743177e+04,  3.111441166555581e+00
117         ,  1.780000000000000e+00,  1.678310102028201e+00,  7.845216461285358e-01,  3.251120307726791e+04,  2.761381183556998e+00
119         ,  1.400000000000000e+00,  1.351693560931035e+00,  7.941704614893407e-01,  4.838024619300458e+04,  1.717534697899337e+00
120         ,  1.520000000000000e+00,  1.093973012908824e+00,  7.882752208488977e-01,  2.292915238836474e+04,  1.338035190360069e+00
122         ,  2.200000000000000e+00,  1.688097606511550e+00,  8.392633283903239e-01,  2.802045970984128e+04,  2.375847331308741e+00
123         ,  1.420000000000000e+00,  1.015724962897323e+00,  7.913403583315485e-01,  1.198796271061376e+05,  2.644325985120728e-01
124         ,  2.200000000000000e-01,  1.009272230237835e+00,  8.053583319719902e-01,  2.472627045220992e+03,  1.163169387368954e+00
125         ,  1.020000000000000e+00,  1.535326850144269e+00,  8.644946765189891e-01,  3.206523139960175e+04,  1.747051651016219e+00
126         ,  1.220000000000000e+00,  1.452027264974805e+00,  9.483781106803352e-01,  9.602466812541829e+04,  2.862905629981980e-01
127         ,  8.200000000000000e-01,  8.098021846172407e-01,  7.933657123205026e-01,  3.700667519663712e+04,  4.546105969073032e-01
128         ,  6.799999999999999e-01,  7.367999889942418e-01,  8.241804351040329e-01,  2.553912539278652e+04,  1.176353777486059e-01
129         ,  1.620000000000000e+00,  1.365037317512094e+00,  7.801369143187847e-01,  1.052181818365061e+04,  2.198721123675632e+00
131         ,  1.680000000000000e+00,  1.234136947961199e+00,  8.383240142601274e-01,  4.111005773012074e+04,  1.121572188434764e+00
132         ,  9.600000000000000e-01,  9.998758671571075e-01,  7.842297694146108e-01,  5.658506313685695e+03,  1.285029293487448e+00
133         ,  1.700000000000000e+00,  1.743012187724414e+00,  8.227551645164944e-01,  8.401585157000151e+04,  2.158884992302756e+00
134         ,  4.999999999999999e-01,  8.489283421741226e-01,  7.758344221482700e-01,  3.766045082901625e+04,  6.917530553573696e-01
135         ,  1.280000000000000e+00,  1.043674369049711e+00,  7.880690739508088e-01,  3.075094153330722e+04,  1.143993837804157e+00
136         ,  7.600000000000002e-01,  1.196297664247034e+00,  7.708999553629587e-01,  1.321766312524269e+05,  7.807361289526771e-01
137         ,  1.220000000000000e+00,  7.898296466387227e-01,  8.532012549163364e-01,  1.511254943550659e+02,  2.360176937936790e-01
138         ,  1.080000000000000e+00,  1.277956087851901e+00,  7.905671529967939e-01,  7.499568965930199e+03,  1.919511791003057e+00
139         ,  9.000000000000001e-01,  8.570548167882370e-01,  8.226343278154081e-01,  6.177516400269829e+04,  1.162592711831987e-01
141         ,  1.380000000000000e+00,  1.839653939214269e+00,  7.987366275065387e-01,  2.325819720363391e+04,  3.133512157593812e+00
142         ,  1.700000000000000e+00,  1.211626805427509e+00,  7.825978730366625e-01,  3.411649497837622e+04,  1.583812770448924e+00
143         ,  1.380000000000000e+00,  1.654791953078166e+00,  8.226381375896894e-01,  6.329070059465808e+04,  2.118771746097556e+00
144         ,  1.840000000000000e+00,  1.222706696109130e+00,  7.851312256310207e-01,  1.301846298261129e+05,  7.480478443314034e-01
145         ,  1.400000000000000e+00,  1.398163284526904e+00,  7.865616779189215e-01,  3.529877801969643e+04,  2.012246836832480e+00
146         ,  1.360000000000000e+00,  2.118469072016653e+00,  8.032000364606785e-01,  7.691275356906786e+03,  3.937992313949731e+00
147         ,  1.180000000000000e+00,  1.636449386151939e+00,  8.096015974034263e-01,  2.368333361589889e+05,  6.567524498883277e-01
148         ,  9.200000000000002e-01,  1.035910915423273e+00,  7.912090846353854e-01,  5.531497973403335e+04,  8.830446200478860e-01
149         ,  1.840000000000000e+00,  1.473571820005672e+00,  9.830128305843795e-01,  6.005823785681340e+04,  3.718175381939336e-01
150         ,  2.920000000000000e+00,  2.523447818042613e+00,  7.965575253189370e-01,  5.833517291149641e+04,  4.571541004149989e+00
152         ,  1.020000000000000e+00,  1.013843116488203e+00,  8.285466298684245e-01,  3.484822553683056e+04,  7.001607837064847e-01
153         ,  2.040000000000000e+00,  1.949850107238875e+00,  8.942483737311601e-01,  3.821775636532208e+04,  2.496136627089404e+00
154         ,  1.160000000000000e+00,  1.251598414262534e+00,  7.806566570285695e-01,  1.901603266043060e+04,  1.833264515062888e+00
155         ,  7.000000000000000e-01,  1.129023668444682e+00,  7.904396445687748e-01,  4.976265985861953e+04,  1.173375419808104e+00
156         ,  2.080000000000000e+00,  2.106015460301145e+00,  7.888878967847337e-01,  6.203620977246573e+04,  3.547236872446407e+00
157         ,  2.200000000000000e+00,  1.935471085069077e+00,  7.969180357216965e-01,  9.340265647001289e+04,  2.775090906904417e+00
159         ,  1.140000000000000e+00,  1.320733566588656e+00,  7.856334042317559e-01,  7.715887194712176e+04,  1.456908145616195e+00
160         ,  8.600000000000001e-01,  1.193685035129407e+00,  9.053060339090020e-01,  7.492474272031414e+04,  1.724263569046733e-01
161         ,  1.680000000000000e+00,  1.017528874272567e+00,  7.817200821475976e-01,  1.345279153421965e+02,  1.398723503446193e+00
162         ,  5.400000000000000e-01,  6.842004367556088e-01,  7.835081857061673e-01,  1.374722204524373e+04,  4.222859078730581e-01
163         ,  1.500000000000000e+00,  1.193651149917096e+00,  7.968643091760214e-01,  4.358312698852360e+04,  1.338133544693800e+00
164         ,  9.800000000000000e-01,  7.386713859509064e-01,  8.460019001533637e-01,  1.697687180660986e+03,  1.523114092098842e-01
165         ,  2.440000000000000e+00,  1.214447194445039e+00,  7.983281401830341e-01,  8.094339877845990e+04,  1.050840571801251e+00
167         ,  1.600000000000000e+00,  1.315351526303706e+00,  9.386904523629220e-01,  6.774844463355489e+04,  2.686069141618625e-01
168         ,  4.000000000000000e-01,  6.594451716782436e-01,  7.888654773364613e-01,  4.070779516723890e+04,  7.915709761696496e-02
169         ,  6.200000000000000e-01,  6.172692886741791e-01,  7.719200029702895e-01,  4.675455801559828e+04,  5.872027167848470e-02
170         ,  4.180000000000000e+00,  3.627208806334469e+00,  9.991573629378568e-01,  3.137343162325739e+05,  3.455443082245873e+00
171         ,  2.240000000000000e+00,  1.495511499507914e+00,  7.906855278899226e-01,  1.126702963971830e+05,  1.545466786661426e+00
173         ,  2.620000000000001e+00,  2.526394824755790e+00,  8.025114702746902e-01,  1.784355576352965e+04,  4.885374936160494e+00
175         ,  6.000000000000000e-01,  1.040791200000604e+00,  8.054684724947225e-01,  3.888698338112317e+03,  1.229486142535734e+00
177         ,  4.399999999999999e-01,  1.062252589489419e+00,  7.827339568912582e-01,  6.967817847069803e+04,  8.931964839192472e-01
178         ,  1.440000000000000e+00,  1.625563055042628e+00,  7.932057562322872e-01,  2.577818681242904e+04,  2.615836287416776e+00
179         ,  1.000000000000000e+00,  1.151734337656079e+00,  7.842905357902862e-01,  4.774829364365167e+03,  1.676022758625455e+00
180         ,  1.360000000000000e+00,  1.608356287179835e+00,  9.632249947396860e-01,  1.219082256374703e+05,  3.322516193291694e-01
181         ,  1.880000000000000e+00,  1.755543844076892e+00,  8.032655417485679e-01,  1.539790338771060e+04,  2.952738220962098e+00
183         ,  2.060000000000000e+00,  1.190591082445895e+00,  8.808762425783797e-01,  9.293073294339060e+04,  2.072901930656495e-01
184         ,  1.460000000000000e+00,  1.616024816046802e+00,  8.563272652298299e-01,  4.817120305715148e+04,  1.876739417720134e+00
185         ,  2.220000000000000e+00,  2.050751432443786e+00,  8.034870641918169e-01,  3.189340376747052e+04,  3.552153022302257e+00
186         ,  1.660000000000000e+00,  1.420872854171936e+00,  7.985634273606379e-01,  6.676306865190236e+04,  1.694960969070413e+00
187         ,  1.080000000000000e+00,  1.084244737292575e+00,  7.870838040690810e-01,  5.319553459693155e+04,  1.057665662811392e+00
188         ,  1.960000000000000e+00,  1.405129314319074e+00,  7.799903033506436e-01,  7.259739804318702e+02,  2.387189902580410e+00
189         ,  1.380000000000000e+00,  1.278082864753769e+00,  8.073407086442468e-01,  1.182437292050008e+05,  8.103187333653766e-01
190         ,  1.100000000000000e+00,  1.084891509616298e+00,  7.788205570719077e-01,  1.952422740875578e+02,  1.592230663415084e+00
191         ,  2.280000000000000e+00,  1.190732457528471e+00,  7.758128793064576e-01,  8.038973000688247e+04,  1.180722366827929e+00
192         ,  2.080000000000000e+00,  1.883463734288223e+00,  8.626089919458445e-01,  6.222321914577196e+03,  2.869025481050831e+00
193         ,  1.160000000000000e+00,  1.131907152553311e+00,  8.576978053811113e-01,  6.440252207421220e+04,  4.997177989956708e-01
195         ,  1.900000000000000e+00,  1.505781333192748e+00,  8.871755113300748e-01,  2.771461653724591e+04,  1.524256573521153e+00
196         ,  3.000000000000000e+00,  2.496176258118414e+00,  8.285870273542263e-01,  2.183734339732852e+04,  4.559775202021510e+00
197         ,  2.620000000000001e+00,  2.903818901959517e+00,  7.920189120444411e-01,  5.711668379569851e+04,  5.580693437530439e+00
198         ,  1.760000000000000e+00,  1.688866699604258e+00,  8.051937332949766e-01,  4.018099126636208e+04,  2.550949367950464e+00
199         ,  1.600000000000000e+00,  1.354456260719209e+00,  8.282197830470428e-01,  2.318898350457339e+04,  1.665862473802076e+00
200         ,  1.260000000000000e+00,  2.140216359247399e+00,  8.031994286662458e-01,  9.641899936744943e+03,  3.975835790597021e+00
201         ,  1.360000000000000e+00,  1.265291255824954e+00,  8.985198671548605e-01,  1.480123518836990e+04,  9.366719028588530e-01
202         ,  5.800000000000001e-01,  5.217644678010518e-01,  7.625983527242139e-01,  3.557741442189275e+04, -7.969548215248007e-03
203         ,  1.280000000000000e+00,  1.604967213204168e+00,  7.970451981032489e-01,  5.810215527762764e+04,  2.248625067896179e+00
204         ,  2.480000000000000e+00,  2.039182021463434e+00,  8.089383466113482e-01,  1.045279897695865e+04,  3.666269982894379e+00
205         ,  1.600000000000000e+00,  1.654141881506510e+00,  7.991632518564808e-01,  1.779872836108953e+04,  2.709132289691203e+00
206         ,  8.600000000000001e-01,  7.253664076513999e-01,  7.750374012019482e-01,  5.187935452159096e+04,  2.613009988388139e-01
