# c0 + a0 * ((feature_21 * feature_7) * cbrt(feature_1)) + a1 * ((feature_27 - feature_3) + sqrt(feature_2)) + a2 * ((|feature_20 - feature_9|) * (feature_6 * feature_5)) + a3 * ((feature_22 * feature_16) + (|feature_21 - feature_19|))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.454670646916766; Max AE: 1.91909919938367
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.812903619817574e-01,  1.744808971429648e+00,  3.394973533011724e-06,  3.862098867641596e-01, -7.551094291253316e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         20|6|mult|0|cbrt|mult; ((feature_21 * feature_7) * cbrt(feature_1)); $\left(\left(feature_{21} feature_{7}\right) \left(\sqrt[3]{ feature_{1} }\right)\right)$; ((feature_21 .* feature_7) .* nthroot(feature_1, 3)); ((newdata$feature_21 * newdata$feature_7) * nthroot(newdata$feature_1, 3)); feature_21,feature_7,feature_1
# 1;  2; Unitless;                                         26|2|sub|1|sqrt|add; ((feature_27 - feature_3) + sqrt(feature_2)); $\left(\left(feature_{27} - feature_{3}\right) + \left(\sqrt{ feature_{2} }\right)\right)$; ((feature_27 - feature_3) + sqrt(feature_2)); ((newdata$feature_27 - newdata$feature_3) + sqrt(newdata$feature_2)); feature_27,feature_3,feature_2
# 2;  2; Unitless;                                         19|8|abd|5|4|mult|mult; ((|feature_20 - feature_9|) * (feature_6 * feature_5)); $\left(\left(\left|feature_{20} - feature_{9}\right|\right) \left(feature_{6} feature_{5}\right)\right)$; (abs(feature_20 - feature_9) .* (feature_6 .* feature_5)); (abs(newdata$feature_20 - newdata$feature_9) * (newdata$feature_6 * newdata$feature_5)); feature_20,feature_9,feature_6,feature_5
# 3;  2; Unitless;                                         21|15|mult|20|18|abd|add; ((feature_22 * feature_16) + (|feature_21 - feature_19|)); $\left(\left(feature_{22} feature_{16}\right) + \left(\left|feature_{21} - feature_{19}\right|\right)\right)$; ((feature_22 .* feature_16) + abs(feature_21 - feature_19)); ((newdata$feature_22 * newdata$feature_16) + abs(newdata$feature_21 - newdata$feature_19)); feature_22,feature_16,feature_21,feature_19
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
0           ,  1.160000000000000e+00,  1.143714319212015e+00,  0.000000000000000e+00,  6.386610277635512e-01,  9.731402200584635e+04,  1.175795192859872e+00
1           ,  1.300000000000000e+00,  1.454193077532443e+00,  0.000000000000000e+00,  7.896714914054881e-01,  3.761407701005442e+04,  1.822267715490187e+00
2           ,  1.280000000000000e+00,  8.127472247959312e-01,  2.372787725846489e-01,  7.896831343995087e-01,  4.686259779766690e+04,  1.914231466598010e-01
3           ,  2.960000000000000e+00,  2.385070116767924e+00,  0.000000000000000e+00,  7.896921201699999e-01,  1.664826938821097e+05,  3.099644394267166e+00
5           ,  1.240000000000000e+00,  1.343265709880626e+00,  3.140993858161947e-01,  7.896287644669221e-01,  5.853883974130134e+04,  1.498742487647810e+00
6           ,  4.200000000000001e-01,  1.355297802337552e+00,  0.000000000000000e+00,  7.896093896114568e-01,  7.896199173645773e+04,  1.203013771546144e+00
7           ,  1.000000000000000e+00,  1.662120498071064e+00,  0.000000000000000e+00,  9.712648089126641e-01,  8.189365103499753e+04,  1.151010402428190e+00
8           ,  1.600000000000000e+00,  1.407288188276036e+00,  0.000000000000000e+00,  7.897048379277024e-01,  1.251893177967310e+04,  1.921266427348762e+00
9           ,  2.220000000000000e+00,  1.679696090391599e+00,  1.333300979704186e+00,  1.238733603522278e+00,  1.258843475434738e+04,  1.223244783468017e+00
10          ,  6.200000000000000e-01,  7.359457698367794e-01,  1.253822985793264e+00,  8.082266791359964e-01,  9.788037174933749e+04, -6.250800692927372e-02
11          ,  1.860000000000000e+00,  1.376274563041251e+00,  1.321333317587707e+00,  7.897232123126623e-01,  6.425751256971344e+04,  2.006319138647700e+00
12          ,  1.160000000000000e+00,  1.292351108368003e+00,  0.000000000000000e+00,  8.039986367544912e-01,  8.671375939921460e+04,  9.068788681023325e-01
14          ,  1.540000000000000e+00,  1.724971358362238e+00,  0.000000000000000e+00,  7.896092811620796e-01,  1.100586871908517e+04,  2.757564819755913e+00
15          ,  1.300000000000000e+00,  1.399358843453337e+00,  3.117148194220498e-01,  8.595453695636746e-01,  1.251469018813807e+05,  7.414783594352304e-01
16          ,  7.000000000000000e-01,  9.664390280078906e-01,  0.000000000000000e+00,  7.896074003450492e-01,  2.903890317750236e+04,  6.350124162885281e-01
