# c0 + a0 * ((feature_26 - feature_12) * (feature_11 / feature_30)) + a1 * ((feature_21 * feature_7) * cbrt(feature_1)) + a2 * ((feature_27 - feature_3) + sqrt(feature_2)) + a3 * ((|feature_20 - feature_9|) * (feature_6 * feature_5)) + a4 * ((feature_22 * feature_16) + (|feature_21 - feature_19|))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.441773408811966; Max AE: 1.92291430060275
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  4.429113467218600e-02, -2.134689945525727e-01,  1.720408039609886e+00,  3.588921422996885e-06,  3.496906819585222e-01, -5.880356018050317e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         25|11|sub|10|29|div|mult; ((feature_26 - feature_12) * (feature_11 / feature_30)); $\left(\left(feature_{26} - feature_{12}\right) \left(\frac{ feature_{11} }{ feature_{30} } \right)\right)$; ((feature_26 - feature_12) .* (feature_11 ./ feature_30)); ((newdata$feature_26 - newdata$feature_12) * (newdata$feature_11 / newdata$feature_30)); feature_26,feature_12,feature_11,feature_30
# 1;  2; Unitless;                                         20|6|mult|0|cbrt|mult; ((feature_21 * feature_7) * cbrt(feature_1)); $\left(\left(feature_{21} feature_{7}\right) \left(\sqrt[3]{ feature_{1} }\right)\right)$; ((feature_21 .* feature_7) .* nthroot(feature_1, 3)); ((newdata$feature_21 * newdata$feature_7) * nthroot(newdata$feature_1, 3)); feature_21,feature_7,feature_1
# 2;  2; Unitless;                                         26|2|sub|1|sqrt|add; ((feature_27 - feature_3) + sqrt(feature_2)); $\left(\left(feature_{27} - feature_{3}\right) + \left(\sqrt{ feature_{2} }\right)\right)$; ((feature_27 - feature_3) + sqrt(feature_2)); ((newdata$feature_27 - newdata$feature_3) + sqrt(newdata$feature_2)); feature_27,feature_3,feature_2
# 3;  2; Unitless;                                         19|8|abd|5|4|mult|mult; ((|feature_20 - feature_9|) * (feature_6 * feature_5)); $\left(\left(\left|feature_{20} - feature_{9}\right|\right) \left(feature_{6} feature_{5}\right)\right)$; (abs(feature_20 - feature_9) .* (feature_6 .* feature_5)); (abs(newdata$feature_20 - newdata$feature_9) * (newdata$feature_6 * newdata$feature_5)); feature_20,feature_9,feature_6,feature_5
# 4;  2; Unitless;                                         21|15|mult|20|18|abd|add; ((feature_22 * feature_16) + (|feature_21 - feature_19|)); $\left(\left(feature_{22} feature_{16}\right) + \left(\left|feature_{21} - feature_{19}\right|\right)\right)$; ((feature_22 .* feature_16) + abs(feature_21 - feature_19)); ((newdata$feature_22 * newdata$feature_16) + abs(newdata$feature_21 - newdata$feature_19)); feature_22,feature_16,feature_21,feature_19
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
0           ,  1.160000000000000e+00,  1.223856098199330e+00, -1.067546999303904e+00,  0.000000000000000e+00,  6.386610277635512e-01,  9.731402200584635e+04,  1.175795192859872e+00
1           ,  1.300000000000000e+00,  1.527162206075893e+00, -3.518397446248486e-01,  0.000000000000000e+00,  7.896714914054881e-01,  3.761407701005442e+04,  1.822267715490187e+00
2           ,  1.280000000000000e+00,  8.354548641832865e-01, -2.699415106904993e+00,  2.372787725846489e-01,  7.896831343995087e-01,  4.686259779766690e+04,  1.914231466598010e-01
3           ,  2.960000000000000e+00,  2.379684703505311e+00, -1.631984284747301e+00,  0.000000000000000e+00,  7.896921201699999e-01,  1.664826938821097e+05,  3.099644394267166e+00
5           ,  1.240000000000000e+00,  1.057484445888404e+00, -8.581869223872536e+00,  3.140993858161947e-01,  7.896287644669221e-01,  5.853883974130134e+04,  1.498742487647810e+00
6           ,  4.200000000000001e-01,  1.407235103794184e+00, -1.518378945594343e+00,  0.000000000000000e+00,  7.896093896114568e-01,  7.896199173645773e+04,  1.203013771546144e+00
7           ,  1.000000000000000e+00,  1.607566439881214e+00, -3.878366101976034e+00,  0.000000000000000e+00,  9.712648089126641e-01,  8.189365103499753e+04,  1.151010402428190e+00
8           ,  1.600000000000000e+00,  1.423804191272997e+00, -1.434896376954415e+00,  0.000000000000000e+00,  7.897048379277024e-01,  1.251893177967310e+04,  1.921266427348762e+00
9           ,  2.220000000000000e+00,  1.731759608982359e+00,  7.906192147280845e-03,  1.333300979704186e+00,  1.238733603522278e+00,  1.258843475434738e+04,  1.223244783468017e+00
10          ,  6.200000000000000e-01,  4.260609143957081e-01, -9.892664232287569e+00,  1.253822985793264e+00,  8.082266791359964e-01,  9.788037174933749e+04, -6.250800692927372e-02
11          ,  1.860000000000000e+00,  1.337615537126389e+00, -1.877070924214995e+00,  1.321333317587707e+00,  7.897232123126623e-01,  6.425751256971344e+04,  2.006319138647700e+00
12          ,  1.160000000000000e+00,  1.426947756613637e+00,  7.770587318230950e-02,  0.000000000000000e+00,  8.039986367544912e-01,  8.671375939921460e+04,  9.068788681023325e-01
14          ,  1.540000000000000e+00,  1.736494815519869e+00, -8.514945215548559e-01,  0.000000000000000e+00,  7.896092811620796e-01,  1.100586871908517e+04,  2.757564819755913e+00
15          ,  1.300000000000000e+00,  1.448390697363196e+00, -1.901768535057901e+00,  3.117148194220498e-01,  8.595453695636746e-01,  1.251469018813807e+05,  7.414783594352304e-01
16          ,  7.000000000000000e-01,  1.026173515334457e+00, -1.592058313466792e+00,  0.000000000000000e+00,  7.896074003450492e-01,  2.903890317750236e+04,  6.350124162885281e-01
17          ,  1.000000000000000e+00,  9.471702074116654e-01,  6.528935004277375e-02,  2.697997895202189e+00,  8.449947986577554e-01,  4.533008121208435e+04,  1.406474488976579e+00
18          ,  1.920000000000000e+00,  2.265850776847322e+00,  4.300145266250148e-01,  0.000000000000000e+00,  7.896060446047714e-01,  3.335692186031750e+04,  3.879658963206777e+00
19          ,  1.140000000000000e+00,  1.431730749460892e+00, -1.057629048766085e+00,  4.623100321602339e-01,  7.897118845328629e-01,  5.251848339702460e+04,  1.767812087184746e+00
20          ,  1.100000000000000e+00,  1.233905240392288e+00, -1.779035584573341e+00,  0.000000000000000e+00,  5.896075200923001e-01,  8.785415192599762e+04,  1.633069482818900e+00
21          ,  1.780000000000000e+00,  1.657683763168173e+00, -1.046681666258437e-01,  0.000000000000000e+00,  7.897270526829647e-01,  2.898538390064974e+04,  2.252494108958058e+00
22          ,  1.480000000000000e+00,  1.552058061628102e+00, -5.581392935300700e+00,  0.000000000000000e+00,  9.579385955661514e-01,  1.118133146906237e+05,  9.664696410038460e-01
23          ,  1.260000000000000e+00,  1.238472640380673e+00, -3.162641334659974e+00,  0.000000000000000e+00,  8.377560769723568e-01,  6.739581712961959e+04,  8.105009601611751e-01
24          ,  1.640000000000000e+00,  1.316915793980539e+00, -2.133107848369073e+00,  8.228571013373061e-01,  7.897052047472995e-01,  6.561971018344819e+04,  1.661366756414064e+00
25          ,  1.020000000000000e+00,  1.533199125343876e+00, -4.491172788856364e+00,  0.000000000000000e+00,  8.111137962016722e-01,  2.043178313280282e+05,  5.474167253379409e-01
26          ,  6.799999999999999e-01,  7.699118085947023e-01, -1.628162010853209e+00,  8.035564512634054e-01,  7.863703105427132e-01,  4.274116442826172e+04,  2.725907806450563e-01
27          ,  5.600000000000001e-01,  1.025666090107680e+00, -1.830350444790452e+00,  7.076405347174316e-01,  8.029974600993152e-01,  1.111683600547555e+05,  1.869409500526154e-01
28          ,  9.200000000000002e-01,  1.556741263381067e+00, -3.236693563887305e+00,  1.201450198538287e+00,  1.225612870111208e+00,  9.982643979653988e+04,  2.224325155367797e-01
29          ,  1.400000000000000e+00,  1.864633263311815e+00, -5.101852314265380e+00,  0.000000000000000e+00,  7.896942516478236e-01,  3.867939926455745e+04,  3.377905360280200e+00
30          , -6.000000000000000e-02,  6.921648949889092e-01, -8.976064187501112e+00,  2.183776267834381e-01,  7.896497118727671e-01,  8.887911711375407e+02,  1.037110570071720e+00
31          ,  1.360000000000000e+00,  1.389881777791456e+00, -2.057614132472992e+00,  2.994906090793814e-01,  8.624764724688815e-01,  1.156627488742906e+05,  6.693556363610218e-01
32          ,  1.620000000000000e+00,  1.316596962523712e+00, -1.277187499192082e+00,  1.114893531028660e-01,  7.998469927439705e-01,  3.127377250682258e+04,  1.420392034134925e+00
33          ,  2.800000000000000e+00,  2.378130174407154e+00, -1.882984847892360e-01,  0.000000000000000e+00,  1.236885197814902e+00,  5.152473324751084e+03,  2.367997525215533e+00
34          ,  1.500000000000000e+00,  1.501119993052507e+00, -4.479851043696160e-01,  0.000000000000000e+00,  7.897091178679156e-01,  4.041989166834592e+04,  1.730991599773799e+00
35          ,  7.800000000000002e-01,  1.109011307961311e+00, -2.058364086530236e+00,  7.507931993660014e-01,  7.897183647577001e-01,  9.468814577002417e+03,  1.589589410152592e+00
36          ,  1.660000000000000e+00,  1.782542238424908e+00,  2.225564806747346e-01,  0.000000000000000e+00,  9.258095257713284e-01,  3.409695681332336e+04,  1.846143304436223e+00
37          ,  1.140000000000000e+00,  1.153594488568816e+00, -3.108310747768313e+00,  1.059653286000641e-01,  7.896067114204425e-01,  6.855081739071589e+04,  8.506139747243462e-01
38          ,  1.960000000000000e+00,  1.959949327839121e+00,  7.900709784245701e-01,  0.000000000000000e+00,  9.535949608854480e-01,  9.339074420320410e+04,  1.536350087196740e+00
39          ,  1.140000000000000e+00,  9.574964108155188e-01, -1.428642562788069e+00,  0.000000000000000e+00,  7.897000233883302e-01,  3.251470260125848e+04,  3.817923605348521e-01
40          ,  1.220000000000000e+00,  1.598771321893171e+00,  3.206747950302136e-01,  1.349120229406147e+00,  7.897378573864873e-01,  1.212416188301668e+05,  1.906831506411414e+00
42          ,  3.660000000000000e+00,  2.829175049595010e+00, -7.438243511674151e+00,  2.381633771161493e-01,  7.896076229251815e-01,  3.651580333709543e+05,  3.227219540050653e+00
43          ,  8.000000000000003e-01,  1.253802981535515e+00, -1.475713552689940e+00,  0.000000000000000e+00,  7.896092439187092e-01,  7.686201071699405e+04,  7.803976967502058e-01
44          ,  3.840000000000000e+00,  3.237095582609144e+00,  4.872790172418663e+00,  0.000000000000000e+00,  1.288476277980485e+00,  1.004630371449460e+05,  2.951325094409045e+00
45          ,  1.260000000000000e+00,  9.826506976912355e-01, -1.323456593977692e+00,  0.000000000000000e+00,  7.897026833628861e-01,  4.714499534754518e+04,  2.902369717591201e-01
46          ,  3.200000000000000e-01,  7.422331661606287e-01, -1.503745675963573e+00,  1.991471672348263e+00,  8.076014011067133e-01,  6.176314378431314e+04,  6.031668086319109e-01
47          ,  2.600000000000001e-01,  1.256309999330693e+00, -1.414481298565581e+00,  0.000000000000000e+00,  8.772086821106061e-01,  1.005138216527899e+05,  1.060980683223255e-01
48          , -2.000000000000000e-02,  7.096943647882776e-01, -7.109313092438453e+00,  0.000000000000000e+00,  7.896518295127203e-01,  8.661602224983955e+03,  6.377074252571171e-01
49          ,  1.160000000000000e+00,  7.439365877970496e-01, -1.007915429834699e+01,  0.000000000000000e+00,  9.460650383112116e-01,  2.461951811175905e+04,  1.784833264150808e-01
50          ,  2.120000000000000e+00,  1.619189500613675e+00, -6.274832605410178e+00,  0.000000000000000e+00,  7.896922954599265e-01,  2.554429104167767e+04,  2.959401506818287e+00
51          ,  4.999999999999999e-01,  1.041133939900719e+00, -1.231025125660534e+00,  6.031308376736569e-01,  8.766022955971886e-01,  6.730102474510392e+04,  1.795616860539871e-01
52          ,  1.280000000000000e+00,  1.613165950339122e+00, -4.466753153093665e+00,  0.000000000000000e+00,  9.422797271939048e-01,  1.187717420015364e+04,  2.102736196227993e+00
