# c0 + a0 * ((feature_27 + feature_16) * (feature_8 * feature_3))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.52016659816262; Max AE: 2.60338503628002
# Coefficients
# Task   a0                      c0
# all ,  6.987230353202433e-03,  1.055894664417821e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         26|15|add|7|2|mult|mult; ((feature_27 + feature_16) * (feature_8 * feature_3)); $\left(\left(feature_{27} + feature_{16}\right) \left(feature_{8} feature_{3}\right)\right)$; ((feature_27 + feature_16) .* (feature_8 .* feature_3)); ((newdata$feature_27 + newdata$feature_16) * (newdata$feature_8 * newdata$feature_3)); feature_27,feature_16,feature_8,feature_3
# Number of Samples Per Task
# Task, n_samples               
# all , 1696                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
0           ,  1.480000000000000e+00,  1.060451737461171e+00,  6.522002013661339e-01
1           ,  1.060000000000000e+00,  1.180087620489013e+00,  1.777427532702871e+01
2           ,  1.160000000000000e+00,  1.305117182759307e+00,  3.566828424760045e+01
3           ,  6.600000000000000e-01,  9.753980034969675e-01, -1.152053916241068e+01
4           ,  1.340000000000000e+00,  1.567164894489895e+00,  7.317208739765475e+01
5           ,  7.000000000000000e-01,  1.168065750491685e+00,  1.605372664183793e+01
6           ,  8.600000000000001e-01,  1.199875144006110e+00,  2.060623055346943e+01
7           ,  1.480000000000000e+00,  1.430192011647883e+00,  5.356877164619475e+01
8           ,  3.740000000000000e+00,  3.520961744521818e+00,  3.527960229583946e+02
9           ,  8.200000000000000e-01,  1.270601811056792e+00,  3.072850554305329e+01
10          ,  2.300000000000000e+00,  2.250232696357114e+00,  1.709315381869293e+02
11          ,  1.060000000000000e+00,  1.059844032189650e+00,  5.652265020887646e-01
12          ,  2.320000000000000e+00,  1.719106478883005e+00,  9.491769713320204e+01
13          ,  1.080000000000000e+00,  1.346887476832807e+00,  4.164637455835654e+01
14          ,  2.580000000000001e+00,  2.365249152709190e+00,  1.873924891700840e+02
15          ,  1.700000000000000e+00,  1.338044766755779e+00,  4.038082159530369e+01
16          ,  1.380000000000000e+00,  1.438854115597449e+00,  5.480847658101152e+01
17          ,  1.900000000000000e+00,  1.427221368634981e+00,  5.314361849355251e+01
18          ,  1.500000000000000e+00,  1.662701447028349e+00,  8.684510914004896e+01
19          ,  1.420000000000000e+00,  1.426742666436442e+00,  5.307510748499246e+01
20          ,  2.520000000000000e+00,  1.801494636926930e+00,  1.067089440048848e+02
21          ,  1.780000000000000e+00,  1.659008534292874e+00,  8.631658602734204e+01
22          ,  1.860000000000000e+00,  4.302852745479186e+00,  4.646988745080084e+02
24          ,  4.180000000000000e+00,  3.928775640433273e+00,  4.111616235320959e+02
