# c0 + a0 * (|(feature_15 + feature_3) - sqrt(feature_12)|) + a1 * ((feature_30 - feature_16) * (feature_8 * feature_3))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.476021649771633; Max AE: 2.63948705562155
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.498402393556368e-02, -6.977817589956253e-03,  8.322223313480971e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         14|2|add|11|sqrt|abd; (|(feature_15 + feature_3) - sqrt(feature_12)|); $\left(\left|\left(feature_{15} + feature_{3}\right) - \left(\sqrt{ feature_{12} }\right)\right|\right)$; abs((feature_15 + feature_3) - sqrt(feature_12)); abs((newdata$feature_15 + newdata$feature_3) - sqrt(newdata$feature_12)); feature_15,feature_3,feature_12
# 1;  2; Unitless;                                         29|15|sub|7|2|mult|mult; ((feature_30 - feature_16) * (feature_8 * feature_3)); $\left(\left(feature_{30} - feature_{16}\right) \left(feature_{8} feature_{3}\right)\right)$; ((feature_30 - feature_16) .* (feature_8 .* feature_3)); ((newdata$feature_30 - newdata$feature_16) * (newdata$feature_8 * newdata$feature_3)); feature_30,feature_16,feature_8,feature_3
# Number of Samples Per Task
# Task, n_samples               
# all , 1696                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
0           ,  1.480000000000000e+00,  1.019803985559860e+00,  1.671835231350392e+01,  9.018082832595288e+00
1           ,  1.060000000000000e+00,  9.532964119333739e-01,  8.068178178667893e+00, -2.583983278439108e-02
2           ,  1.160000000000000e+00,  1.289658431723319e+00,  2.347339635798414e+01, -1.514945986125689e+01
3           ,  6.600000000000000e-01,  9.729875760833974e-01,  5.039398836880487e+00, -9.351745169801781e+00
4           ,  1.340000000000000e+00,  1.342661384148196e+00,  1.080533622948560e+01, -4.994851636811829e+01
5           ,  7.000000000000000e-01,  7.364285483349681e-01,  7.539376610018572e+00,  2.991823444874332e+01
6           ,  8.600000000000001e-01,  1.118042699712883e+00,  6.184291855588349e+00, -2.768126118030981e+01
7           ,  1.480000000000000e+00,  1.770392699316621e+00,  6.124067087594170e+00, -1.212997028416619e+02
8           ,  3.740000000000000e+00,  3.272909056378258e+00,  1.576376631272251e+01, -3.159271570037582e+02
9           ,  8.200000000000000e-01,  1.030991119020281e+00,  2.460924819459772e+01,  2.435959010401154e+01
10          ,  2.300000000000000e+00,  1.836157996965186e+00,  2.222600872274426e+01, -9.614762929445510e+01
11          ,  1.060000000000000e+00,  8.333456559337405e-01,  1.624052489765731e+00,  3.326472280821483e+00
12          ,  2.320000000000000e+00,  1.552348015449589e+00,  2.145660158035363e+01, -5.712666565250787e+01
13          ,  1.080000000000000e+00,  1.064342304903329e+00,  1.211254573765522e+00, -3.066438800834432e+01
14          ,  2.580000000000001e+00,  2.180972678512733e+00,  2.993796532928273e+01, -1.290029649648998e+02
15          ,  1.700000000000000e+00,  1.565381692632233e+00,  3.604097477957984e+01, -2.767635152914269e+01
16          ,  1.380000000000000e+00,  1.731491883093159e+00,  2.911617832005258e+01, -6.635198368493842e+01
17          ,  1.900000000000000e+00,  1.309567981861956e+00,  4.498385759943091e+00, -5.874927587753742e+01
18          ,  1.500000000000000e+00,  1.730511063363753e+00,  3.263925680651620e+01, -5.864603387982412e+01
19          ,  1.420000000000000e+00,  1.119525318594327e+00,  5.357037778237512e+00, -2.967016581966829e+01
20          ,  2.520000000000000e+00,  1.544064841546816e+00,  9.756272894085214e+00, -8.106464182240134e+01
21          ,  1.780000000000000e+00,  1.426230617908945e+00,  1.110929345794444e+01, -6.127221899512107e+01
22          ,  1.860000000000000e+00,  3.633265748906408e+00,  4.404457782931072e+01, -3.068406964684706e+02
24          ,  4.180000000000000e+00,  3.794716739742208e+00,  2.220027098210876e+01, -3.768864666808639e+02
25          ,  5.400000000000000e-01,  9.500430941911846e-01,  1.794456342955500e+01,  2.164874663906946e+01
26          ,  1.400000000000000e+00,  1.875213814907833e+00,  1.330640820111961e+01, -1.208985379314090e+02
27          ,  2.040000000000000e+00,  2.145235032295703e+00,  3.179271915735242e+00, -1.813424323797058e+02
28          ,  1.500000000000000e+00,  1.232779162778014e+00,  1.227845692971041e+01, -3.103780460169737e+01
