# c0 + a0 * ((|feature_26 - feature_2|) - (feature_1 / feature_7)) + a1 * (|(feature_15 + feature_3) - sqrt(feature_12)|) + a2 * ((feature_30 - feature_16) * (feature_8 * feature_3))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.460582852221748; Max AE: 2.66146520912552
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -3.101098066766531e-01,  1.468628787808457e-02, -6.249450290748301e-03,  9.492157730014661e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         25|1|abd|0|6|div|sub; ((|feature_26 - feature_2|) - (feature_1 / feature_7)); $\left(\left(\left|feature_{26} - feature_{2}\right|\right) - \left(\frac{ feature_{1} }{ feature_{7} } \right)\right)$; (abs(feature_26 - feature_2) - (feature_1 ./ feature_7)); (abs(newdata$feature_26 - newdata$feature_2) - (newdata$feature_1 / newdata$feature_7)); feature_26,feature_2,feature_1,feature_7
# 1;  2; Unitless;                                         14|2|add|11|sqrt|abd; (|(feature_15 + feature_3) - sqrt(feature_12)|); $\left(\left|\left(feature_{15} + feature_{3}\right) - \left(\sqrt{ feature_{12} }\right)\right|\right)$; abs((feature_15 + feature_3) - sqrt(feature_12)); abs((newdata$feature_15 + newdata$feature_3) - sqrt(newdata$feature_12)); feature_15,feature_3,feature_12
# 2;  2; Unitless;                                         29|15|sub|7|2|mult|mult; ((feature_30 - feature_16) * (feature_8 * feature_3)); $\left(\left(feature_{30} - feature_{16}\right) \left(feature_{8} feature_{3}\right)\right)$; ((feature_30 - feature_16) .* (feature_8 .* feature_3)); ((newdata$feature_30 - newdata$feature_16) * (newdata$feature_8 * newdata$feature_3)); feature_30,feature_16,feature_8,feature_3
# Number of Samples Per Task
# Task, n_samples               
# all , 1696                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
0           ,  1.480000000000000e+00,  9.023839455386667e-01,  7.610346300724457e-01,  1.671835231350392e+01,  9.018082832595288e+00
1           ,  1.060000000000000e+00,  1.095600176764307e+00, -8.942423306739189e-02,  8.068178178667893e+00, -2.583983278439108e-02
2           ,  1.160000000000000e+00,  1.367448868198205e+00,  6.829760643362587e-02,  2.347339635798414e+01, -1.514945986125689e+01
3           ,  6.600000000000000e-01,  9.897851353674723e-01,  2.962949390089203e-01,  5.039398836880487e+00, -9.351745169801781e+00
4           ,  1.340000000000000e+00,  1.541667875879613e+00, -3.921548162455998e-01,  1.080533622948560e+01, -4.994851636811829e+01
5           ,  7.000000000000000e-01,  3.545782404062404e-01,  1.671635200744873e+00,  7.539376610018572e+00,  2.991823444874332e+01
6           ,  8.600000000000001e-01,  9.369345220252544e-01,  8.903240119359604e-01,  6.184291855588349e+00, -2.768126118030981e+01
7           ,  1.480000000000000e+00,  1.608298306886494e+00,  6.091833843118906e-01,  6.124067087594170e+00, -1.212997028416619e+02
8           ,  3.740000000000000e+00,  3.172023228170630e+00, -5.457802849458571e-02,  1.576376631272251e+01, -3.159271570037582e+02
9           ,  8.200000000000000e-01,  1.012173557780200e+00,  4.715319156765838e-01,  2.460924819459772e+01,  2.435959010401154e+01
10          ,  2.300000000000000e+00,  1.914383233161503e+00, -1.221504996373785e-01,  2.222600872274426e+01, -9.614762929445510e+01
11          ,  1.060000000000000e+00,  8.497838857483189e-01,  3.305105619935786e-01,  1.624052489765731e+00,  3.326472280821483e+00
12          ,  2.320000000000000e+00,  1.540218654670053e+00,  2.616015409728247e-01,  2.145660158035363e+01, -5.712666565250787e+01
13          ,  1.080000000000000e+00,  1.011935743165462e+00,  4.730725330053929e-01,  1.211254573765522e+00, -3.066438800834432e+01
14          ,  2.580000000000001e+00,  2.249410165581698e+00, -1.751611757948123e-01,  2.993796532928273e+01, -1.290029649648998e+02
15          ,  1.700000000000000e+00,  1.680871867883715e+00, -9.475992090292501e-02,  3.604097477957984e+01, -2.767635152914269e+01
16          ,  1.380000000000000e+00,  1.850229892124373e+00, -1.894236086982383e-01,  2.911617832005258e+01, -6.635198368493842e+01
17          ,  1.900000000000000e+00,  1.363592695837487e+00,  6.074733603942534e-02,  4.498385759943091e+00, -5.874927587753742e+01
18          ,  1.500000000000000e+00,  1.664790588756537e+00,  4.201098337064219e-01,  3.263925680651620e+01, -5.864603387982412e+01
19          ,  1.420000000000000e+00,  1.372736187335494e+00, -5.140862543151020e-01,  5.357037778237512e+00, -2.967016581966829e+01
20          ,  2.520000000000000e+00,  1.651349782329468e+00, -1.684600952860918e-01,  9.756272894085214e+00, -8.106464182240134e+01
21          ,  1.780000000000000e+00,  1.519107964384506e+00, -7.681222009379951e-02,  1.110929345794444e+01, -6.127221899512107e+01
22          ,  1.860000000000000e+00,  3.609598820097084e+00, -3.093936915300652e-01,  4.404457782931072e+01, -3.068406964684706e+02
24          ,  4.180000000000000e+00,  3.814136220819388e+00, -5.918795035615975e-01,  2.220027098210876e+01, -3.768864666808639e+02
25          ,  5.400000000000000e-01,  9.576273548445332e-01,  3.864265946191346e-01,  1.794456342955500e+01,  2.164874663906946e+01
26          ,  1.400000000000000e+00,  1.806379151641768e+00,  3.024985467452406e-01,  1.330640820111961e+01, -1.208985379314090e+02
27          ,  2.040000000000000e+00,  2.057972122297162e+00,  2.296795152180547e-01,  3.179271915735242e+00, -1.813424323797058e+02
28          ,  1.500000000000000e+00,  1.250122553597597e+00,  2.366496898340447e-01,  1.227845692971041e+01, -3.103780460169737e+01
29          ,  7.800000000000002e-01,  1.222699447751820e+00,  5.535111545817722e-01,  5.417568948701920e+00, -5.849617449590066e+01
30          ,  1.040000000000000e+00,  7.411526513948161e-01,  1.173755126830836e+00,  1.280933031472566e+01,  5.151118445505865e+00
31          ,  1.360000000000000e+00,  1.154870112606921e+00,  5.739108958131082e-01,  1.357947152226865e+01, -2.947422572831410e+01
32          ,  1.140000000000000e+00,  8.291552870549246e-01,  6.768778552841688e-01,  2.190092512957150e+00, -9.229875123545719e+00
33          ,  3.200000000000000e+00,  3.968979393379055e+00, -5.250595436458050e-01,  6.790523081211720e+01, -2.975720506845813e+02
34          ,  8.000000000000003e-01,  1.310700692814309e+00,  5.906411693119396e-03,  1.550011579516434e+01, -2.171029242213130e+01
35          ,  2.100000000000000e+00,  1.639594036653867e+00,  4.469650438202544e-02,  2.217305682753554e+01, -6.058119909195788e+01
36          ,  3.000000000000000e-01,  1.073153797425436e+00,  2.088462668386971e-01,  3.111940176248819e+00, -2.288208465029156e+01
37          ,  4.200000000000001e-01,  1.316678988804814e+00,  1.735722681963354e-01,  8.869754816868095e+00, -4.656824074917839e+01
38          ,  1.640000000000000e+00,  2.220391675448599e+00, -5.319804980176625e-01,  3.441501450289088e+01, -9.613241081741266e+01
39          ,  3.920000000000000e+00,  3.420013964498998e+00, -8.382182976782615e-02,  1.588043945973500e+01, -3.538838476418978e+02
40          ,  1.600000000000000e+00,  2.390464035899219e+00,  1.179537562837303e-01,  8.488125806322422e+00, -2.165258954570562e+02
41          ,  1.380000000000000e+00,  1.735662233417795e+00,  7.478962086233865e-02,  2.077049242708410e+01, -8.074278546973076e+01
42          ,  4.999999999999999e-01,  6.466898966061272e-01,  1.049917752864942e+00,  1.155891335488628e+01,  2.347304279431864e+01
43          ,  1.480000000000000e+00,  1.027827889030355e+00,  2.650220991780347e-01,  5.421264511762626e+00, -1.298991317799894e+01
44          ,  1.280000000000000e+00,  1.384699559466195e+00, -1.706533903207909e-01,  1.146972889897005e+01, -3.426137438147941e+01
45          ,  1.440000000000000e+00,  1.574967429760164e+00,  2.755165923463135e-01,  2.646538926517385e+01, -5.160673553495757e+01
46          ,  2.300000000000000e+00,  2.417027969937604e+00, -4.064799225377598e-01,  3.795574316276331e+01, -1.255038090607991e+02
47          ,  1.060000000000000e+00,  1.069003490471547e+00,  3.072248456677515e-01,  1.608517946257881e+01,  3.387565338835451e+00
48          ,  1.260000000000000e+00,  2.292571392644970e+00,  6.162943647855812e-02,  9.199695654571279e+00, -1.963945749466391e+02
