# c0 + a0 * ((feature_19 - feature_16) * (feature_2^2)) + a1 * ((|feature_26 - feature_2|) - (feature_1 / feature_7)) + a2 * (|(feature_15 + feature_3) - sqrt(feature_12)|) + a3 * ((feature_30 - feature_16) * (feature_8 * feature_3))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.452119090933544; Max AE: 2.68292001820433
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.605018300809737e-01, -3.397359025459544e-01,  1.501296326338309e-02, -6.276406349817894e-03,  9.248390972659258e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|15|sub|1|sq|mult; ((feature_19 - feature_16) * (feature_2^2)); $\left(\left(feature_{19} - feature_{16}\right) \left(feature_{2}^2\right)\right)$; ((feature_19 - feature_16) .* (feature_2)^2); ((newdata$feature_19 - newdata$feature_16) * (newdata$feature_2)^2); feature_19,feature_16,feature_2
# 1;  2; Unitless;                                         25|1|abd|0|6|div|sub; ((|feature_26 - feature_2|) - (feature_1 / feature_7)); $\left(\left(\left|feature_{26} - feature_{2}\right|\right) - \left(\frac{ feature_{1} }{ feature_{7} } \right)\right)$; (abs(feature_26 - feature_2) - (feature_1 ./ feature_7)); (abs(newdata$feature_26 - newdata$feature_2) - (newdata$feature_1 / newdata$feature_7)); feature_26,feature_2,feature_1,feature_7
# 2;  2; Unitless;                                         14|2|add|11|sqrt|abd; (|(feature_15 + feature_3) - sqrt(feature_12)|); $\left(\left|\left(feature_{15} + feature_{3}\right) - \left(\sqrt{ feature_{12} }\right)\right|\right)$; abs((feature_15 + feature_3) - sqrt(feature_12)); abs((newdata$feature_15 + newdata$feature_3) - sqrt(newdata$feature_12)); feature_15,feature_3,feature_12
# 3;  2; Unitless;                                         29|15|sub|7|2|mult|mult; ((feature_30 - feature_16) * (feature_8 * feature_3)); $\left(\left(feature_{30} - feature_{16}\right) \left(feature_{8} feature_{3}\right)\right)$; ((feature_30 - feature_16) .* (feature_8 .* feature_3)); ((newdata$feature_30 - newdata$feature_16) * (newdata$feature_8 * newdata$feature_3)); feature_30,feature_16,feature_8,feature_3
# Number of Samples Per Task
# Task, n_samples               
# all , 1696                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
0           ,  1.480000000000000e+00,  8.606791671027822e-01,  0.000000000000000e+00,  7.610346300724457e-01,  1.671835231350392e+01,  9.018082832595288e+00
1           ,  1.060000000000000e+00,  1.077383000891581e+00,  1.897575967364981e-03, -8.942423306739189e-02,  8.068178178667893e+00, -2.583983278439108e-02
2           ,  1.160000000000000e+00,  1.343390359158052e+00, -1.245378851623496e-02,  6.829760643362587e-02,  2.347339635798414e+01, -1.514945986125689e+01
3           ,  6.600000000000000e-01,  1.034762549191791e+00,  1.655450925422149e-01,  2.962949390089203e-01,  5.039398836880487e+00, -9.351745169801781e+00
4           ,  1.340000000000000e+00,  1.531039758909882e+00, -5.962430049655250e-03, -3.921548162455998e-01,  1.080533622948560e+01, -4.994851636811829e+01
5           ,  7.000000000000000e-01,  2.726703293112571e-01, -2.098506689084773e-02,  1.671635200744873e+00,  7.539376610018572e+00,  2.991823444874332e+01
6           ,  8.600000000000001e-01,  7.572397507975585e-01, -2.860090796443974e-01,  8.903240119359604e-01,  6.184291855588349e+00, -2.768126118030981e+01
7           ,  1.480000000000000e+00,  1.571144249735702e+00,  0.000000000000000e+00,  6.091833843118906e-01,  6.124067087594170e+00, -1.212997028416619e+02
8           ,  3.740000000000000e+00,  3.162929271879474e+00,  0.000000000000000e+00, -5.457802849458571e-02,  1.576376631272251e+01, -3.159271570037582e+02
9           ,  8.200000000000000e-01,  9.901137936358756e-01,  1.933535039979809e-02,  4.715319156765838e-01,  2.460924819459772e+01,  2.435959010401154e+01
10          ,  2.300000000000000e+00,  1.911312352151266e+00,  1.701296425547816e-02, -1.221504996373785e-01,  2.222600872274426e+01, -9.614762929445510e+01
11          ,  1.060000000000000e+00,  8.163730271406566e-01,  6.876961459992711e-04,  3.305105619935786e-01,  1.624052489765731e+00,  3.326472280821483e+00
12          ,  2.320000000000000e+00,  1.723531848549430e+00,  4.492725871441579e-01,  2.616015409728247e-01,  2.145660158035363e+01, -5.712666565250787e+01
13          ,  1.080000000000000e+00,  8.086353917567020e-01, -3.607600463544791e-01,  4.730725330053929e-01,  1.211254573765522e+00, -3.066438800834432e+01
14          ,  2.580000000000001e+00,  2.324868463492407e+00,  1.767381118605304e-01, -1.751611757948123e-01,  2.993796532928273e+01, -1.290029649648998e+02
