# c0 + a0 * ((feature_26 - feature_11) - (feature_26 * feature_2))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.509927701394661; Max AE: 2.04636094037992
# Coefficients
# Task   a0                      c0
# all , -1.761449097859407e-02,  1.084829923865081e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         25|10|sub|25|1|mult|sub; ((feature_26 - feature_11) - (feature_26 * feature_2)); $\left(\left(feature_{26} - feature_{11}\right) - \left(feature_{26} feature_{2}\right)\right)$; ((feature_26 - feature_11) - (feature_26 .* feature_2)); ((newdata$feature_26 - newdata$feature_11) - (newdata$feature_26 * newdata$feature_2)); feature_26,feature_11,feature_26,feature_2
# Number of Samples Per Task
# Task, n_samples               
# all , 1705                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
0           ,  1.480000000000000e+00,  9.798586248727346e-01,  5.959371696855278e+00
1           ,  4.600000000000000e-01,  1.280159738699173e+00, -1.108915466654507e+01
2           ,  1.760000000000000e+00,  1.272667185149397e+00, -1.066379161978537e+01
3           ,  1.680000000000000e+00,  1.508020210962625e+00, -2.402512156677274e+01
4           ,  1.300000000000000e+00,  1.497589107217831e+00, -2.343293279688604e+01
5           ,  1.280000000000000e+00,  1.045054712975009e+00,  2.258095958515549e+00
6           ,  1.240000000000000e+00,  4.510084204933132e-01,  3.598295881169749e+01
7           ,  2.040000000000000e+00,  2.126119348304777e+00, -5.911549903458003e+01
10          ,  1.320000000000001e+00,  1.505948499639743e+00, -2.390750753379277e+01
11          ,  1.440000000000000e+00,  1.715147858685808e+00, -3.578405618344114e+01
12          ,  2.380000000000000e+00,  2.293953340666356e+00, -6.864367629303946e+01
13          ,  1.020000000000000e+00,  1.390784241460131e+00, -1.736946687627024e+01
14          ,  1.000000000000000e+00,  1.408540501342880e+00, -1.837751530096367e+01
15          ,  5.600000000000001e-01,  1.118737658791412e+00, -1.924990904791813e+00
16          ,  8.800000000000001e-01,  1.221280082413523e+00, -7.746471851742015e+00
17          ,  1.000000000000000e+00,  1.504167633191782e+00, -2.380640518288607e+01
19          ,  9.000000000000001e-01,  1.309112566799993e+00, -1.273284838077187e+01
20          ,  5.600000000000001e-01,  1.092391520738780e+00, -4.292827356117286e-01
21          ,  1.980000000000000e+00,  2.072588704581822e+00, -5.607648736015765e+01
22          ,  1.740000000000000e+00,  2.206362553504979e+00, -6.367102126327893e+01
24          ,  1.200000000000000e+00,  1.190217071350662e+00, -5.982980014219663e+00
25          ,  1.400000000000000e+00,  1.626055771596611e+00, -3.072617019641684e+01
26          ,  1.660000000000000e+00,  1.625060404589850e+00, -3.066966177911593e+01
27          ,  1.020000000000000e+00,  1.307959979276266e+00, -1.266741432848345e+01
28          ,  6.400000000000000e-01,  1.227010266857432e+00, -8.071782668323220e+00
29          ,  9.000000000000001e-01,  1.183494173242687e+00, -5.601311414420527e+00
30          ,  1.440000000000000e+00,  1.153449957056397e+00, -3.895658028080794e+00
31          ,  1.660000000000000e+00,  1.396833451488310e+00, -1.771288923434630e+01
32          ,  1.620000000000000e+00,  1.406382804068655e+00, -1.825501972179269e+01
33          ,  2.600000000000001e-01,  1.074032768395318e+00,  6.129700530593709e-01
34          ,  7.800000000000002e-01,  1.396771801561965e+00, -1.770938927931382e+01
35          , -2.000000000000000e-02,  9.567833821254913e-01,  7.269386432750025e+00
36          ,  1.220000000000000e+00,  8.214934635303013e-01,  1.494998979276766e+01
37          ,  2.400000000000000e+00,  1.855196289557653e+00, -4.373480713287465e+01
38          ,  1.320000000000001e+00,  1.177515578500834e+00, -5.261897987764087e+00
39          ,  1.540000000000000e+00,  1.430916881180053e+00, -1.964785458379425e+01
41          ,  1.260000000000000e+00,  1.286875451673103e+00, -1.147041535594512e+01
42          ,  1.900000000000000e+00,  1.060061251774466e+00,  1.406153156552456e+00
43          ,  9.200000000000002e-01,  1.153045625770745e+00, -3.872703559164060e+00
44          ,  2.900000000000000e+00,  2.427705643675993e+00, -7.623698700364581e+01
45          ,  2.200000000000000e-01,  1.219658373042653e+00, -7.654405077127783e+00
46          ,  1.260000000000000e+00,  1.557308457918013e+00, -2.682328627191722e+01
47          ,  1.260000000000000e+00,  1.356674544567047e+00, -1.543301030000381e+01
48          ,  9.399999999999998e-01,  1.033093978154962e+00,  2.937124085674164e+00
49          ,  3.200000000000000e-01,  1.134633092656560e+00, -2.827397558748753e+00
50          ,  8.200000000000000e-01,  1.310656545236583e+00, -1.282050225839266e+01
51          ,  4.600000000000000e-01,  1.326815345225535e+00, -1.373786058618018e+01
52          ,  1.620000000000000e+00,  1.611515565709210e+00, -2.990070178492141e+01
53          ,  1.120000000000000e+00,  1.374885480664360e+00, -1.646687134767435e+01
54          ,  9.600000000000000e-01,  1.223675354833034e+00, -7.882454913780052e+00
55          ,  2.799999999999999e-01,  1.171946665003112e+00, -4.945742754865835e+00
56          ,  1.700000000000000e+00,  7.090911022027557e-01,  2.133123359164564e+01
57          ,  1.500000000000000e+00,  1.258187257093736e+00, -9.841745267537245e+00
58          ,  1.520000000000000e+00,  1.641874233453415e+00, -3.162420703869785e+01
59          ,  1.020000000000000e+00,  1.475808557641726e+00, -2.219641965537238e+01
60          ,  1.580000000000000e+00,  1.519820454634332e+00, -2.469503838049429e+01
