# c0 + a0 * ((|feature_17 - feature_6|) + (feature_14 / feature_28)) + a1 * ((feature_26 - feature_11) - (feature_26 * feature_2))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.475955534536125; Max AE: 1.84918226356713
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.155472090666722e-01, -1.485510656221009e-02,  5.483538065783281e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         16|5|abd|13|27|div|add; ((|feature_17 - feature_6|) + (feature_14 / feature_28)); $\left(\left(\left|feature_{17} - feature_{6}\right|\right) + \left(\frac{ feature_{14} }{ feature_{28} } \right)\right)$; (abs(feature_17 - feature_6) + (feature_14 ./ feature_28)); (abs(newdata$feature_17 - newdata$feature_6) + (newdata$feature_14 / newdata$feature_28)); feature_17,feature_6,feature_14,feature_28
# 1;  2; Unitless;                                         25|10|sub|25|1|mult|sub; ((feature_26 - feature_11) - (feature_26 * feature_2)); $\left(\left(feature_{26} - feature_{11}\right) - \left(feature_{26} feature_{2}\right)\right)$; ((feature_26 - feature_11) - (feature_26 .* feature_2)); ((newdata$feature_26 - newdata$feature_11) - (newdata$feature_26 * newdata$feature_2)); feature_26,feature_11,feature_26,feature_2
# Number of Samples Per Task
# Task, n_samples               
# all , 1705                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
0           ,  1.480000000000000e+00,  1.051330917829029e+00,  5.119156210082062e+00,  5.959371696855278e+00
1           ,  4.600000000000000e-01,  1.257863055694065e+00,  4.714771384439379e+00, -1.108915466654507e+01
2           ,  1.760000000000000e+00,  1.232822533108875e+00,  4.552744890254258e+00, -1.066379161978537e+01
3           ,  1.680000000000000e+00,  1.605031453527435e+00,  6.056242392673138e+00, -2.402512156677274e+01
4           ,  1.300000000000000e+00,  1.450609962370459e+00,  4.795939655362210e+00, -2.343293279688604e+01
5           ,  1.280000000000000e+00,  1.020409649949426e+00,  4.375701529673509e+00,  2.258095958515549e+00
6           ,  1.240000000000000e+00,  8.909101463159758e-01,  7.590724470055702e+00,  3.598295881169749e+01
7           ,  2.040000000000000e+00,  1.929568173398490e+00,  4.353608652658876e+00, -5.911549903458003e+01
10          ,  1.320000000000001e+00,  1.631706627170550e+00,  6.302222740150367e+00, -2.390750753379277e+01
11          ,  1.440000000000000e+00,  1.375681448316731e+00,  2.559574361805823e+00, -3.578405618344114e+01
12          ,  2.380000000000000e+00,  2.166201084257651e+00,  5.176569441666338e+00, -6.864367629303946e+01
13          ,  1.020000000000000e+00,  1.292331616259039e+00,  4.205662189768141e+00, -1.736946687627024e+01
14          ,  1.000000000000000e+00,  1.459379884863687e+00,  5.521778806208537e+00, -1.837751530096367e+01
15          ,  5.600000000000001e-01,  1.128391383433378e+00,  4.772435754072552e+00, -1.924990904791813e+00
16          ,  8.800000000000001e-01,  1.102296568570197e+00,  3.798171333587539e+00, -7.746471851742015e+00
17          ,  1.000000000000000e+00,  1.263258635095376e+00,  3.126498212983010e+00, -2.380640518288607e+01
19          ,  9.000000000000001e-01,  1.213895335806026e+00,  4.122935668796488e+00, -1.273284838077187e+01
20          ,  5.600000000000001e-01,  1.218828877699733e+00,  5.747417317153745e+00, -4.292827356117286e-01
21          ,  1.980000000000000e+00,  1.836079164527645e+00,  3.935215452217271e+00, -5.607648736015765e+01
22          ,  1.740000000000000e+00,  2.484428997017289e+00,  8.569963676723946e+00, -6.367102126327893e+01
24          ,  1.200000000000000e+00,  1.138950677671586e+00,  4.342113232115831e+00, -5.982980014219663e+00
25          ,  1.400000000000000e+00,  1.494728910967708e+00,  4.240124671382632e+00, -3.072617019641684e+01
26          ,  1.660000000000000e+00,  1.569099518976352e+00,  4.891027857853490e+00, -3.066966177911593e+01
27          ,  1.020000000000000e+00,  1.216383409640407e+00,  4.152881036424768e+00, -1.266741432848345e+01
28          ,  6.400000000000000e-01,  1.210976518263693e+00,  4.696915870008328e+00, -8.071782668323220e+00
29          ,  9.000000000000001e-01,  1.049147193907308e+00,  3.613980058477118e+00, -5.601311414420527e+00
30          ,  1.440000000000000e+00,  1.057869261802529e+00,  3.908749018996439e+00, -3.895658028080794e+00
31          ,  1.660000000000000e+00,  1.301961830700254e+00,  4.244855163382390e+00, -1.771288923434630e+01
32          ,  1.620000000000000e+00,  1.557372403795490e+00,  6.385600655477040e+00, -1.825501972179269e+01
33          ,  2.600000000000001e-01,  1.284022342315593e+00,  6.445627524981253e+00,  6.129700530593709e-01
34          ,  7.800000000000002e-01,  1.540720056511583e+00,  6.311631331714612e+00, -1.770938927931382e+01
35          , -2.000000000000000e-02,  9.803205808990930e-01,  4.673018836046404e+00,  7.269386432750025e+00
36          ,  1.220000000000000e+00,  1.144620273571914e+00,  7.082387926798865e+00,  1.494998979276766e+01
37          ,  2.400000000000000e+00,  1.694223782817426e+00,  4.294216708568303e+00, -4.373480713287465e+01
38          ,  1.320000000000001e+00,  1.426388711708383e+00,  6.922441972101695e+00, -5.261897987764087e+00
39          ,  1.540000000000000e+00,  1.208172454677882e+00,  3.184392574347447e+00, -1.964785458379425e+01
41          ,  1.260000000000000e+00,  1.744950000295826e+00,  8.881235294051899e+00, -1.147041535594512e+01
42          ,  1.900000000000000e+00,  1.241363987213699e+00,  6.178416089711154e+00,  1.406153156552456e+00
43          ,  9.200000000000002e-01,  1.042698371987702e+00,  3.780404086628298e+00, -3.872703559164060e+00
44          ,  2.900000000000000e+00,  2.487714511366617e+00,  6.982878646612234e+00, -7.623698700364581e+01
45          ,  2.200000000000000e-01,  1.068590193009901e+00,  3.518296864322751e+00, -7.654405077127783e+00
46          ,  1.260000000000000e+00,  1.529173461337126e+00,  5.039990870785751e+00, -2.682328627191722e+01
47          ,  1.260000000000000e+00,  1.384427533971792e+00,  5.251660509264935e+00, -1.543301030000381e+01
48          ,  9.399999999999998e-01,  1.065139856433041e+00,  4.850115772250876e+00,  2.937124085674164e+00
49          ,  3.200000000000000e-01,  1.022255355303084e+00,  3.737868358608286e+00, -2.827397558748753e+00
50          ,  8.200000000000000e-01,  1.203040081796614e+00,  4.017720131352870e+00, -1.282050225839266e+01
51          ,  4.600000000000000e-01,  1.169466751708701e+00,  3.609222287188656e+00, -1.373786058618018e+01
52          ,  1.620000000000000e+00,  1.467462397133902e+00,  4.110272183049092e+00, -2.990070178492141e+01
53          ,  1.120000000000000e+00,  1.270353672305081e+00,  4.131495178177694e+00, -1.646687134767435e+01
54          ,  9.600000000000000e-01,  1.443894627806840e+00,  6.737039516578194e+00, -7.882454913780052e+00
