# c0 + a0 * ((|feature_21 - feature_16|) / (feature_28 + feature_26)) + a1 * ((|feature_17 - feature_6|) + (feature_14 / feature_28)) + a2 * ((feature_26 - feature_11) - (feature_26 * feature_2))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.460996194158359; Max AE: 1.5993434953967
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.823474002380698e+01,  1.350699882247025e-01, -1.331291809499860e-02,  3.166630211478047e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         20|15|abd|27|25|add|div; ((|feature_21 - feature_16|) / (feature_28 + feature_26)); $\left(\frac{ \left(\left|feature_{21} - feature_{16}\right|\right) }{ \left(feature_{28} + feature_{26}\right) } \right)$; (abs(feature_21 - feature_16) ./ (feature_28 + feature_26)); (abs(newdata$feature_21 - newdata$feature_16) / (newdata$feature_28 + newdata$feature_26)); feature_21,feature_16,feature_28,feature_26
# 1;  2; Unitless;                                         16|5|abd|13|27|div|add; ((|feature_17 - feature_6|) + (feature_14 / feature_28)); $\left(\left(\left|feature_{17} - feature_{6}\right|\right) + \left(\frac{ feature_{14} }{ feature_{28} } \right)\right)$; (abs(feature_17 - feature_6) + (feature_14 ./ feature_28)); (abs(newdata$feature_17 - newdata$feature_6) + (newdata$feature_14 / newdata$feature_28)); feature_17,feature_6,feature_14,feature_28
# 2;  2; Unitless;                                         25|10|sub|25|1|mult|sub; ((feature_26 - feature_11) - (feature_26 * feature_2)); $\left(\left(feature_{26} - feature_{11}\right) - \left(feature_{26} feature_{2}\right)\right)$; ((feature_26 - feature_11) - (feature_26 .* feature_2)); ((newdata$feature_26 - newdata$feature_11) - (newdata$feature_26 * newdata$feature_2)); feature_26,feature_11,feature_26,feature_2
# Number of Samples Per Task
# Task, n_samples               
# all , 1705                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
0           ,  1.480000000000000e+00,  9.718183178153416e-01,  2.360744101260834e-03,  5.119156210082062e+00,  5.959371696855278e+00
1           ,  4.600000000000000e-01,  1.199947763641601e+00,  5.419963167442285e-03,  4.714771384439379e+00, -1.108915466654507e+01
2           ,  1.760000000000000e+00,  1.186924698656131e+00,  6.216501810679938e-03,  4.552744890254258e+00, -1.066379161978537e+01
3           ,  1.680000000000000e+00,  1.493837051645983e+00,  2.155937849495903e-03,  6.056242392673138e+00, -2.402512156677274e+01
4           ,  1.300000000000000e+00,  1.359727808933014e+00,  4.569111478953038e-03,  4.795939655362210e+00, -2.343293279688604e+01
5           ,  1.280000000000000e+00,  8.934149509414787e-01,  8.658101092537184e-04,  4.375701529673509e+00,  2.258095958515549e+00
6           ,  1.240000000000000e+00,  8.973627829276174e-01,  1.889737962991313e-03,  7.590724470055702e+00,  3.598295881169749e+01
7           ,  2.040000000000000e+00,  2.074956490667474e+00,  2.101767301191965e-02,  4.353608652658876e+00, -5.911549903458003e+01
10          ,  1.320000000000001e+00,  1.577853984741824e+00,  5.027278838076520e-03,  6.302222740150367e+00, -2.390750753379277e+01
11          ,  1.440000000000000e+00,  1.384743242641809e+00,  1.348899590487876e-02,  2.559574361805823e+00, -3.578405618344114e+01
12          ,  2.380000000000000e+00,  2.375094639184318e+00,  2.442507015158797e-02,  5.176569441666338e+00, -6.864367629303946e+01
13          ,  1.020000000000000e+00,  1.644215682440328e+00,  2.896973734071367e-02,  4.205662189768141e+00, -1.736946687627024e+01
14          ,  1.000000000000000e+00,  1.518707997847576e+00,  1.160203118323871e-02,  5.521778806208537e+00, -1.837751530096367e+01
15          ,  5.600000000000001e-01,  1.054383730334553e+00,  3.700662677055307e-03,  4.772435754072552e+00, -1.924990904791813e+00
16          ,  8.800000000000001e-01,  1.006670881347063e+00,  4.050551722278580e-03,  3.798171333587539e+00, -7.746471851742015e+00
