# c0 + a0 * ((feature_19 / feature_29) - sqrt(feature_18)) + a1 * ((feature_22 * feature_12) * (feature_11 + feature_8))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.493213065814132; Max AE: 2.36846524924758
# Coefficients
# Task   a0                      a1                      c0
# all ,  4.216806886573654e-02,  3.614506967782150e-03,  9.221023402328943e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|28|div|17|sqrt|sub; ((feature_19 / feature_29) - sqrt(feature_18)); $\left(\left(\frac{ feature_{19} }{ feature_{29} } \right) - \left(\sqrt{ feature_{18} }\right)\right)$; ((feature_19 ./ feature_29) - sqrt(feature_18)); ((newdata$feature_19 / newdata$feature_29) - sqrt(newdata$feature_18)); feature_19,feature_29,feature_18
# 1;  2; Unitless;                                         21|11|mult|10|7|add|mult; ((feature_22 * feature_12) * (feature_11 + feature_8)); $\left(\left(feature_{22} feature_{12}\right) \left(feature_{11} + feature_{8}\right)\right)$; ((feature_22 .* feature_12) .* (feature_11 + feature_8)); ((newdata$feature_22 * newdata$feature_12) * (newdata$feature_11 + newdata$feature_8)); feature_22,feature_12,feature_11,feature_8
# Number of Samples Per Task
# Task, n_samples               
# all , 1694                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
0           ,  6.200000000000000e-01,  9.091163208747145e-01, -1.050425688902564e+01,  1.189534872540201e+02
1           ,  1.200000000000000e+00,  1.122079207424722e+00,  1.174184156810804e+00,  4.162774899800440e+01
2           ,  8.200000000000000e-01,  7.628214594810754e-01, -5.402864371958590e+00,  1.896454392484567e+01
3           ,  9.800000000000000e-01,  1.170056735326483e+00,  1.397513606245526e+00,  5.229591387967598e+01
4           ,  9.800000000000000e-01,  9.490964146425112e-01, -7.497283815530604e+00,  9.493412454518882e+01
5           ,  8.400000000000000e-01,  8.963363082794326e-01, -3.692994945817565e+00,  3.595523107328070e+01
6           ,  6.400000000000000e-01,  1.515391654207158e+00,  1.930037679208865e+00,  1.416246688045589e+02
7           ,  8.200000000000000e-01,  3.964381963775307e-01, -1.511563451076683e+01,  3.091236900077546e+01
9           ,  2.160000000000000e+00,  2.257683461088651e+00,  2.367667340382641e+00,  3.418837402749822e+02
10          , -3.999999999999990e-02,  6.329890606263050e-01, -9.674960319113724e+00,  3.288446099634978e+01
11          ,  1.120000000000000e+00,  1.363982284540324e+00,  1.343682893470449e+00,  1.065759272164924e+02
12          ,  1.520000000000000e+00,  1.407910051502647e+00,  5.366599642184525e+00,  7.179639444505261e+01
13          ,  2.320000000000000e+00,  2.256782773473279e+00,  1.210221009431735e+01,  2.280680634740676e+02
14          ,  8.200000000000000e-01,  1.259060819952358e+00,  3.854133827388840e+00,  4.826027467181790e+01
15          ,  8.000000000000003e-01,  1.323275115057192e+00,  2.362000352641125e+00,  8.343372525804718e+01
16          ,  1.280000000000000e+00,  1.293530899335513e+00,  1.005972625245399e+00,  9.102448524704420e+01
18          ,  1.180000000000000e+00,  1.069624001910230e+00,  7.504375586367158e-01,  3.205891150803591e+01
19          ,  3.440000000000000e+00,  2.239463946878332e+00,  1.470101465152974e+00,  3.473143856168958e+02
20          ,  9.200000000000002e-01,  1.202222560722874e+00,  4.364633433308167e+00,  2.657957451925854e+01
21          ,  5.400000000000000e-01,  9.991479286128847e-01,  1.062057614223810e+00,  8.925330633354951e+00
22          ,  8.400000000000000e-01,  1.052631520131083e+00,  1.791652499655152e+00,  1.521055413623846e+01
23          ,  8.600000000000001e-01,  5.740315896414799e-01, -8.848816689234758e+00,  6.935042915658449e+00
24          ,  7.800000000000002e-01,  2.049224328607446e+00,  3.088266418271745e+00,  2.758040768101823e+02
25          ,  1.220000000000000e+00,  1.078627698162389e+00,  4.120122972885157e+00, -4.761996997059771e+00
26          ,  8.000000000000003e-01,  9.614004598235296e-01, -1.114581297955699e+00,  2.387541683790011e+01
27          ,  1.540000000000000e+00,  2.188782975042229e+00,  1.327405906092871e+01,  1.955838526530812e+02
28          ,  1.940000000000000e+00,  1.514209610574256e+00,  6.128877996240075e+00,  9.231254052083032e+01
29          ,  1.860000000000000e+00,  2.321504333069579e+00,  1.999841673699305e+00,  3.638317876107144e+02
30          ,  1.440000000000000e+00,  1.325840851956310e+00,  4.138513248033891e+00,  6.341816522191171e+01
31          ,  2.280000000000000e+00,  2.050320131661445e+00,  1.002883673361748e+00,  3.004360299496757e+02
32          ,  4.200000000000001e-01,  1.605575928859915e+00,  2.429525300607649e+00,  1.607481196243103e+02
33          ,  1.640000000000000e+00,  1.567407486966957e+00,  4.044279122938192e+00,  1.313500597446790e+02
