# c0 + a0 * (|(feature_22 + feature_5) - sqrt(feature_14)|) + a1 * ((feature_19 / feature_22) + (exp(-1.0 * feature_18))) + a2 * ((feature_22 * feature_12) * (feature_11 + feature_8))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.471239922448851; Max AE: 2.51817463975217
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.474462054198730e-02,  3.708016268922298e-01,  3.523402998325053e-03,  3.822774244111982e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         21|4|add|13|sqrt|abd; (|(feature_22 + feature_5) - sqrt(feature_14)|); $\left(\left|\left(feature_{22} + feature_{5}\right) - \left(\sqrt{ feature_{14} }\right)\right|\right)$; abs((feature_22 + feature_5) - sqrt(feature_14)); abs((newdata$feature_22 + newdata$feature_5) - sqrt(newdata$feature_14)); feature_22,feature_5,feature_14
# 1;  2; Unitless;                                         18|21|div|17|nexp|add; ((feature_19 / feature_22) + (exp(-1.0 * feature_18))); $\left(\left(\frac{ feature_{19} }{ feature_{22} } \right) + \left(\exp{ \left(-feature_{18} \right) } \right)\right)$; ((feature_19 ./ feature_22) + exp(-1.0 * (feature_18))); ((newdata$feature_19 / newdata$feature_22) + exp(-1.0 * (newdata$feature_18))); feature_19,feature_22,feature_18
# 2;  2; Unitless;                                         21|11|mult|10|7|add|mult; ((feature_22 * feature_12) * (feature_11 + feature_8)); $\left(\left(feature_{22} feature_{12}\right) \left(feature_{11} + feature_{8}\right)\right)$; ((feature_22 .* feature_12) .* (feature_11 + feature_8)); ((newdata$feature_22 * newdata$feature_12) * (newdata$feature_11 + newdata$feature_8)); feature_22,feature_12,feature_11,feature_8
# Number of Samples Per Task
# Task, n_samples               
# all , 1694                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
0           ,  6.200000000000000e-01,  8.280933251518280e-01,  6.410163494774110e-01,  4.650272006317765e-02,  1.189534872540201e+02
1           ,  1.200000000000000e+00,  1.051868839837708e+00,  7.100612040424465e+00,  1.127892164731647e+00,  4.162774899800440e+01
2           ,  8.200000000000000e-01,  6.256249382283544e-01,  7.481699912493589e+00,  1.785670608478599e-01,  1.896454392484567e+01
3           ,  9.800000000000000e-01,  1.171873767184160e+00,  9.240405302116752e+00,  1.265071291911080e+00,  5.229591387967598e+01
4           ,  9.800000000000000e-01,  1.164197287129681e+00,  2.223746338706830e+01,  3.223980574084354e-01,  9.493412454518882e+01
5           ,  8.400000000000000e-01,  9.100847389502902e-01,  2.069974821420813e+01,  2.586628695259816e-01,  3.595523107328070e+01
6           ,  6.400000000000000e-01,  1.685845130451685e+00,  2.493418408799898e+01,  1.178316945634913e+00,  1.416246688045589e+02
7           ,  8.200000000000000e-01,  1.028773336078846e+00,  2.580656962316915e+01,  4.235987387041094e-01,  3.091236900077546e+01
9           ,  2.160000000000000e+00,  2.111969381951768e+00,  4.800055135655370e+00,  1.225244814131581e+00,  3.418837402749822e+02
10          , -3.999999999999990e-02,  6.502196461538868e-01,  6.799417161174087e+00,  1.397571735485391e-01,  3.288446099634978e+01
11          ,  1.120000000000000e+00,  1.242424271226505e+00,  2.826467686578823e+00,  1.194605631887895e+00,  1.065759272164924e+02
12          ,  1.520000000000000e+00,  1.516697566383080e+00,  1.625622597365443e+01,  1.730738434099278e+00,  7.179639444505261e+01
13          ,  2.320000000000000e+00,  2.668799577499126e+00,  8.615731791266629e+00,  3.656701211997461e+00,  2.280680634740676e+02
14          ,  8.200000000000000e-01,  1.198095575297510e+00,  5.497298537228545e+00,  1.522976525759184e+00,  4.826027467181790e+01
