--- Feature Importance and SHAP-Feature Correlation (Fold 0) ---

Correlation Threshold for Meaningful Features: 0.1

Feature                                                      Importance      Correlation     Meaningful (Corr > Threshold) 
------------------------------------------------------------ --------------- --------------- ------------------------------
MVL32_Eform_MP_2019_3                                        0.065734        -0.929221       Yes                           
MVL16_Eform_MP_2019_15                                       0.053081        -0.899796       Yes                           
SISSO_matbench_glass_11                                      0.027875        -0.729567       Yes                           
MVL32_Eform_MP_2019_16                                       0.023723        -0.793908       Yes                           
MVL32_Eform_MP_2019_10                                       0.010230        0.735471        Yes                           
SISSO_matbench_log_kvrh_4                                    0.010172        -0.638447       Yes                           
SISSO_matbench_log_kvrh_3                                    0.008816        -0.616652       Yes                           
MVL32_Eform_MP_2019_22                                       0.008577        0.617097        Yes                           
MVL16_Eform_MP_2019_11                                       0.008294        0.743314        Yes                           
SISSO_matbench_mp_gap_2                                      0.007790        -0.550936       Yes                           
SISSO_noemd_hse_pbe_diff_19                                  0.007288        -0.558383       Yes                           
SISSO_matbench_mp_is_metal_7                                 0.006818        0.554955        Yes                           
SISSO_matbench_perovskites_5                                 0.005733        0.522324        Yes                           
MVL32_Eform_MP_2019_2                                        0.005302        0.535148        Yes                           
SISSO_matbench_log_gvrh_17                                   0.004549        0.456953        Yes                           
SISSO_matbench_perovskites_7                                 0.004300        0.425609        Yes                           
SISSO_matbench_perovskites_13                                0.004260        -0.394387       Yes                           
MEGNet_OFMEncoded_v1_19                                      0.004075        0.409468        Yes                           
MVL32_Eform_MP_2019_1                                        0.003905        0.508456        Yes                           
SISSO_matbench_log_kvrh_12                                   0.003734        -0.396151       Yes                           
SISSO_matbench_expt_gap_8                                    0.003597        0.429739        Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#46                    0.003319        -0.402486       Yes                           
MEGNet_OFMEncoded_v1_33                                      0.003245        -0.289045       Yes                           
SISSO_matbench_perovskites_3                                 0.003221        -0.367674       Yes                           
SISSO_matbench_mp_gap_1                                      0.003126        -0.362984       Yes                           
SISSO_matbench_log_kvrh_11                                   0.003051        0.311443        Yes                           
MEGNet_OFMEncoded_v1_55                                      0.003050        -0.391115       Yes                           
SISSO_matbench_log_kvrh_18                                   0.003033        0.379915        Yes                           
MEGNet_OFMEncoded_v1_47                                      0.003032        -0.392732       Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#33                    0.003021        0.297235        Yes                           
MEGNet_MatMinerEncoded_v1_730                                0.003006        -0.362196       Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#41                    0.003000        -0.275059       Yes                           
MEGNet_OFMEncoded_v1_94                                      0.002991        0.386741        Yes                           
MEGNet_OFMEncoded_v1_87                                      0.002969        0.307905        Yes                           
MVL32_Eform_MP_2019_6                                        0.002894        0.606132        Yes                           
SISSO_matbench_perovskites_15                                0.002668        -0.370226       Yes                           
SISSO_noemd_shg_19                                           0.002642        -0.413600       Yes                           
SISSO_matbench_perovskites_16                                0.002484        -0.287860       Yes                           
SISSO_matbench_log_gvrh_12                                   0.002474        0.317163        Yes                           
SISSO_matbench_log_gvrh_5                                    0.002349        -0.389268       Yes                           
SISSO_matbench_perovskites_6                                 0.002333        0.311368        Yes                           
SISSO_matbench_log_gvrh_8                                    0.002222        -0.287784       Yes                           
SISSO_matbench_mp_is_metal_20                                0.002122        -0.278175       Yes                           
MEGNet_MatMinerEncoded_v1_69                                 0.002098        0.270584        Yes                           
SISSO_matbench_mp_e_form_5                                   0.002047        0.325238        Yes                           
MEGNet_OFMEncoded_v1_166                                     0.002024        -0.295770       Yes                           
SISSO_matbench_mp_e_form_12                                  0.002023        -0.336781       Yes                           
MEGNet_OFMEncoded_v1_24                                      0.001943        -0.299581       Yes                           
MEGNet_OFMEncoded_v1_50                                      0.001931        -0.332807       Yes                           
SISSO_noemd_hse_pbe_diff_13                                  0.001930        0.258871        Yes                           
SISSO_matbench_expt_gap_11                                   0.001922        0.233760        Yes                           
SISSO_matbench_mp_e_form_10                                  0.001915        0.272894        Yes                           
SISSO_matbench_mp_gap_19                                     0.001901        -0.429581       Yes                           
MEGNet_MatMinerEncoded_v1_297                                0.001858        -0.226988       Yes                           
MEGNet_MatMinerEncoded_v1_432                                0.001828        0.347775        Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#63                    0.001821        -0.273114       Yes                           
MVL16_Efermi_MP_2019_9                                       0.001770        0.334041        Yes                           
MEGNet_MatMinerEncoded_v1_352                                0.001744        0.253690        Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#11                    0.001703        -0.256799       Yes                           
SISSO_matbench_jdft2d_9                                      0.001687        -0.129617       Yes                           
MVL32_Eform_MP_2019_29                                       0.001669        -0.127536       Yes                           
MVL32_logK_MP_2019_1                                         0.001657        0.049613        No                            
MEGNet_OFMEncoded_v1_72                                      0.001642        -0.305588       Yes                           
MEGNet_MatMinerEncoded_v1_251                                0.001625        -0.090346       No                            
SISSO_matbench_expt_is_metal_15                              0.001612        -0.294941       Yes                           
SISSO_matbench_glass_17                                      0.001578        -0.219225       Yes                           
MEGNet_MatMinerEncoded_v1_694                                0.001565        0.251057        Yes                           
MEGNet_MatMinerEncoded_v1_752                                0.001554        -0.197032       Yes                           
SISSO_matbench_glass_5                                       0.001552        0.149365        Yes                           
MEGNet_MatMinerEncoded_v1_362                                0.001531        0.120133        Yes                           
MVL32_logG_MP_2019_16                                        0.001527        -0.223431       Yes                           
MEGNet_MatMinerEncoded_v1_494                                0.001525        0.237832        Yes                           
MEGNet_MatMinerEncoded_v1_628                                0.001516        0.097820        No                            
MEGNet_OFMEncoded_v1_120                                     0.001511        0.314594        Yes                           
MEGNet_MatMinerEncoded_v1_492                                0.001510        -0.181604       Yes                           
SISSO_matbench_mp_e_form_16                                  0.001497        0.232357        Yes                           
MVL16_Eform_MP_2019_7                                        0.001490        -0.072925       No                            
MEGNet_OFMEncoded_v1_76                                      0.001483        -0.058702       No                            
SISSO_matbench_log_gvrh_10                                   0.001458        -0.163360       Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#54                    0.001455        -0.145812       Yes                           
MEGNet_OFMEncoded_v1_187                                     0.001448        0.203750        Yes                           
MEGNet_MatMinerEncoded_v1_166                                0.001438        0.213669        Yes                           
MEGNet_MatMinerEncoded_v1_686                                0.001434        -0.108974       Yes                           
MVL16_Efermi_MP_2019_11                                      0.001428        -0.099188       No                            
MEGNet_MatMinerEncoded_v1_157                                0.001428        0.047134        No                            
MEGNet_MatMinerEncoded_v1_551                                0.001426        0.193088        Yes                           
SISSO_matbench_perovskites_11                                0.001410        -0.185566       Yes                           
SISSO_noemd_hse_pbe_diff_16                                  0.001399        -0.197943       Yes                           
SISSO_matbench_expt_gap_6                                    0.001390        0.159292        Yes                           
MEGNet_MatMinerEncoded_v1_38                                 0.001386        -0.148909       Yes                           
MVL32_Bandgap_classifier_MP_2018_9                           0.001383        0.081717        No                            
MVL16_Efermi_MP_2019_1                                       0.001381        -0.038627       No                            
MEGNet_MatMinerEncoded_v1_171                                0.001378        -0.163232       Yes                           
MEGNet_OFMEncoded_v1_54                                      0.001373        0.215691        Yes                           
MEGNet_OFMEncoded_v1_84                                      0.001362        -0.303422       Yes                           
MVL32_logG_MP_2019_25                                        0.001357        0.067255        No                            
MEGNet_MatMinerEncoded_v1_53                                 0.001350        -0.046718       No                            
MEGNet_OFMEncoded_v1_134                                     0.001349        0.064954        No                            
SISSO_matbench_mp_e_form_8                                   0.001346        0.192051        Yes                           
MEGNet_MatMinerEncoded_v1_165                                0.001342        0.205388        Yes                           
SISSO_matbench_log_gvrh_6                                    0.001342        0.176760        Yes                           
MEGNet_MatMinerEncoded_v1_46                                 0.001332        0.133956        Yes                           
MEGNet_MatMinerEncoded_v1_364                                0.001329        -0.042928       No                            
ROOST_oqmd_eform_LayerMaterialPooling_#17                    0.001328        0.119381        Yes                           
MEGNet_MatMinerEncoded_v1_614                                0.001328        0.007905        No                            
MEGNet_MatMinerEncoded_v1_631                                0.001316        0.151630        Yes                           
MEGNet_MatMinerEncoded_v1_324                                0.001295        0.035565        No                            
MEGNet_OFMEncoded_v1_71                                      0.001293        0.010132        No                            
MVL16_Eform_MP_2019_10                                       0.001290        -0.203894       Yes                           
MEGNet_MatMinerEncoded_v1_440                                0.001289        0.189426        Yes                           
MEGNet_MatMinerEncoded_v1_254                                0.001282        0.002104        No                            
ROOST_oqmd_eform_LayerMaterialPooling_#60                    0.001271        0.105882        Yes                           
MVL32_Efermi_MP_2019_24                                      0.001268        -0.124221       Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#61                    0.001265        -0.004999       No                            
MEGNet_MatMinerEncoded_v1_344                                0.001261        0.090484        No                            
SISSO_matbench_log_kvrh_14                                   0.001251        0.168418        Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#22                    0.001249        0.236409        Yes                           
MEGNet_MatMinerEncoded_v1_179                                0.001244        -0.142691       Yes                           
MEGNet_OFMEncoded_v1_119                                     0.001243        -0.065244       No                            
MEGNet_MatMinerEncoded_v1_17                                 0.001241        -0.147227       Yes                           
MEGNet_MatMinerEncoded_v1_226                                0.001240        0.064214        No                            
SISSO_matbench_mp_gap_10                                     0.001238        0.007166        No                            
MEGNet_MatMinerEncoded_v1_346                                0.001237        0.247868        Yes                           
MEGNet_MatMinerEncoded_v1_522                                0.001232        0.075090        No                            
MEGNet_MatMinerEncoded_v1_751                                0.001231        0.059329        No                            
MEGNet_MatMinerEncoded_v1_470                                0.001229        0.247177        Yes                           
SISSO_matbench_mp_e_form_2                                   0.001219        -0.045982       No                            
SISSO_matbench_perovskites_12                                0.001219        -0.045490       No                            
MEGNet_MatMinerEncoded_v1_705                                0.001219        0.020219        No                            
MEGNet_MatMinerEncoded_v1_741                                0.001217        -0.106979       Yes                           
SISSO_matbench_phonons_15                                    0.001215        -0.204800       Yes                           
MEGNet_MatMinerEncoded_v1_657                                0.001214        -0.194922       Yes                           
MEGNet_OFMEncoded_v1_173                                     0.001210        -0.257298       Yes                           
ROOST_oqmd_eform_LayerOutput_#21                             0.001208        -0.047803       No                            
MEGNet_MatMinerEncoded_v1_309                                0.001204        0.135265        Yes                           
MVL32_Bandgap_classifier_MP_2018_30                          0.001204        -0.067136       No                            
MVL32_Bandgap_MP_2018_1                                      0.001202        0.076296        No                            
MEGNet_MatMinerEncoded_v1_643                                0.001201        -0.023543       No                            
MEGNet_MatMinerEncoded_v1_77                                 0.001198        0.289369        Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#52                    0.001192        -0.136788       Yes                           
MVL32_logG_MP_2019_26                                        0.001191        0.004917        No                            
MEGNet_MatMinerEncoded_v1_183                                0.001186        0.133732        Yes                           
MEGNet_MatMinerEncoded_v1_715                                0.001185        0.156208        Yes                           
MEGNet_MatMinerEncoded_v1_586                                0.001179        -0.041573       No                            
SISSO_matbench_glass_9                                       0.001176        0.045611        No                            
MVL32_Efermi_MP_2019_21                                      0.001175        -0.003550       No                            
MEGNet_MatMinerEncoded_v1_60                                 0.001175        0.139884        Yes                           
MEGNet_OFMEncoded_v1_70                                      0.001169        -0.082839       No                            
SISSO_matbench_perovskites_20                                0.001169        -0.136975       Yes                           
MEGNet_MatMinerEncoded_v1_474                                0.001168        -0.115567       Yes                           
SISSO_matbench_log_gvrh_7                                    0.001167        0.104692        Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#51                    0.001164        0.077736        No                            
SISSO_matbench_mp_e_form_6                                   0.001160        0.199110        Yes                           
MVL16_Efermi_MP_2019_10                                      0.001160        0.070332        No                            
MEGNet_OFMEncoded_v1_115                                     0.001157        -0.211276       Yes                           
ROOST_oqmd_eform_LayerMaterialPooling_#50                    0.001155        0.144282        Yes                           
