coGN_ReadoutComponent1_Feature62_fold0,coGN_ReadoutComponent2_Feature1_fold0,coGN_ReadoutComponent5_Feature7_fold0,coGN_ReadoutComponent1_Feature73_fold0,coGN_ReadoutComponent1_Feature117_fold0,coGN_ReadoutComponent1_Feature71_fold0,coGN_ReadoutComponent1_Feature3_fold0,coGN_ReadoutComponent2_Feature47_fold0,coGN_ReadoutComponent4_Feature62_fold0,coGN_ReadoutComponent3_Feature47_fold0,target
3.667467,-0.25083435,,-1.7036724,1.3268044,-0.5437765,-0.31747004,-0.9303866,,-0.07392773,2.16
4.853699,-0.78872174,,-0.21467355,3.2888465,1.2338597,0.7038826,-0.87250113,0.25113764,-0.5090068,1.52
4.1308436,-0.841675,-0.27108413,-3.1024246,4.1917396,1.4485273,0.4097996,-0.850546,-0.043567188,-0.33454692,1.48
-0.63984257,-0.8473707,0.025088131,-2.3171234,2.5465484,1.1631528,-0.32636783,-0.637554,-0.0804565,-1.5022,1.24
1.1543149,-0.22927037,-0.32599172,0.59819144,-0.33298874,-1.8473355,-0.48515418,-0.83842254,-0.2480067,-0.14611465,0.62
2.8355746,-2.5658183,-0.19211142,3.1917987,-2.0517461,-0.69923973,-1.7258145,-0.103604525,1.3019001,0.032937273,1.48
7.2005205,0.1393998,-0.44544724,-4.0879183,7.120685,0.56236696,-0.10342818,-0.635832,-0.000880003,-0.18550737,1.56
3.4603705,-0.50549424,-0.49546963,-0.25601482,-0.97415143,-0.9167361,-1.4631809,-0.81539667,-0.18030336,-0.14113235,1.2
3.6723511,-0.5287278,,-0.3274345,-1.1429403,-0.9684947,-0.8552401,-0.5683717,-0.09897441,0.050722186,1.62
6.762618,-3.3399572,-0.12147111,-0.8509428,1.2326164,1.0011252,0.6633979,-0.2149613,2.5519667,2.2497783,3.16
2.6468194,-0.2192235,-0.3943086,-2.0032415,0.12228924,-0.23929915,0.4364102,-0.9946247,-0.042544745,-0.07756733,1.4
