--- Feature Importance and SHAP-Feature Correlation (Fold 0) ---

Correlation Threshold for Meaningful Features: 0.1

Feature                                                      Importance      Correlation     Meaningful (Corr > Threshold) 
------------------------------------------------------------ --------------- --------------- ------------------------------
coGN_ReadoutComponent3_Feature71_fold0                       0.013621        0.354397        Yes                           
coGN_ReadoutComponent2_Feature126_fold0                      0.013077        -0.397928       Yes                           
coGN_ReadoutComponent3_Feature88_fold0                       0.012063        -0.390611       Yes                           
MVL32_Eform_MP_2019_20                                       0.011842        -0.477420       Yes                           
coGN_ReadoutComponent1_Feature125_fold0                      0.009895        -0.225054       Yes                           
ORB_v3_layer_2_4                                             0.009585        -0.186858       Yes                           
ORB_v3_layer_2_237                                           0.009544        -0.240192       Yes                           
ORB_v3_layer_3_235                                           0.009376        0.337254        Yes                           
ORB_v3_layer_3_113                                           0.009057        -0.239724       Yes                           
ROOST_mpgap_LayerMaterialPooling_#42                         0.009008        0.123818        Yes                           
coGN_ReadoutComponent3_Feature47_fold0                       0.008993        0.427175        Yes                           
coGN_ReadoutComponent3_Feature35_fold0                       0.008937        -0.150602       Yes                           
ORB_v3_layer_4_122                                           0.008399        -0.150640       Yes                           
SISSO_matbench_perovskites_1                                 0.008308        0.257355        Yes                           
ORB_v3_initial_atom_embedding_210                            0.008187        -0.274038       Yes                           
coGN_ReadoutComponent4_Feature54_fold0                       0.008141        0.340691        Yes                           
coGN_ReadoutComponent1_Feature103_fold0                      0.008085        -0.261588       Yes                           
coGN_ReadoutComponent3_Feature90_fold0                       0.008078        0.191895        Yes                           
coGN_ReadoutComponent4_Feature111_fold0                      0.007976        0.423674        Yes                           
coGN_ReadoutComponent3_Feature62_fold0                       0.007949        0.376166        Yes                           
SISSOresiduals_MVcoGNmodel_SISterm_high_feat_102             0.007934        0.255982        Yes                           
coGN_ReadoutComponent2_Feature115_fold0                      0.007809        -0.286972       Yes                           
ORB_v3_layer_5_143                                           0.007769        0.195054        Yes                           
coGN_ReadoutComponent4_Feature50_fold0                       0.007714        0.275366        Yes                           
SISSOlvl2_clustertop_coGNperovsk_29                          0.007525        0.147822        Yes                           
coGN_ReadoutComponent3_Feature19_fold0                       0.007478        -0.176071       Yes                           
coGN_ReadoutComponent2_Feature18_fold0                       0.007380        0.232761        Yes                           
ORB_v3_initial_atom_embedding_98                             0.007352        -0.147363       Yes                           
ORB_v3_layer_1_72                                            0.007325        0.156600        Yes                           
coGN_ReadoutComponent1_Feature38_fold0                       0.007316        0.190496        Yes                           
coGN_ReadoutComponent2_Feature17_fold0                       0.007240        -0.284191       Yes                           
ORB_v3_layer_1_128                                           0.007193        0.189612        Yes                           
coGN_ReadoutComponent2_Feature62_fold0                       0.007172        -0.152471       Yes                           
coGN_ReadoutComponent3_Feature41_fold0                       0.007134        -0.210426       Yes                           
ORB_v3_layer_4_33                                            0.007133        0.187662        Yes                           
